variavel,categoria,n,eventos_melhora,sem_melhora,proporcao_melhora,percentual_melhora
sexo,feminino,554,276,278,0.4981949458483754,49.81949458483754
sexo,masculino,64,42,22,0.65625,65.625
lenke,1,37,27,10,0.7297297297297297,72.97297297297297
lenke,2,41,29,12,0.7073170731707317,70.73170731707317
lenke,3,137,49,88,0.35766423357664234,35.76642335766424
lenke,4,60,21,39,0.35,35
lenke,5,55,36,19,0.6545454545454545,65.45454545454545
lenke,6,288,156,132,0.5416666666666666,54.166666666666664
risser,0,132,50,82,0.3787878787878788,37.878787878787875
risser,1,94,66,28,0.7021276595744681,70.2127659574468
risser,2,123,75,48,0.6097560975609756,60.97560975609756
risser,3,127,58,69,0.4566929133858268,45.66929133858268
risser,4,142,69,73,0.4859154929577465,48.59154929577465
flexibilidade,flexivel,391,227,164,0.5805626598465473,58.05626598465473
flexibilidade,rigido,227,91,136,0.4008810572687225,40.08810572687225
escoliometro_maior_10_graus,normal,146,79,67,0.541095890410959,54.109589041095894
escoliometro_maior_10_graus,lombar,203,114,89,0.5615763546798029,56.15763546798029
escoliometro_maior_10_graus,toracica,223,111,112,0.4977578475336323,49.775784753363226
escoliometro_maior_10_graus,toracica_lombar,46,14,32,0.30434782608695654,30.434782608695656
