Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
idade,1.8043726917655623,1.6286973665546667,2.029136531625533,1.3432694040160231,0.554209229924395,0.49282046053298545,0.6139876078484685
imc,1.0968005921499935,1.0379323142378951,1.247028287855641,1.0472824796347895,0.9117427608602572,0.8019064280567166,0.9634539615757631
cifose_toracica,1.4538950417565442,1.3298104954585745,1.6246638956856725,1.2057757012631098,0.6878075591975578,0.6155119238234567,0.7519868458062952
lordose_lombar,1.3662725356571377,1.2556949873617882,1.5246703181822245,1.1688766126743821,0.7319183939528059,0.6558794960947634,0.7963717384115686
correcao_colete,1.109942273022501,1.047319667495012,1.2554393138672892,1.0535379789179415,0.9009477558475942,0.796533921595599,0.9548183148243634
sexo,1.1670241552394243,1.0910390884401653,1.3064295668094081,1.0802889221127023,0.856880292931762,0.7654450154876873,0.9165574456453967
lenke,2.2615168106577554,2.0203348916462374,2.5597081669964905,1.0850255925651175,0.442181103977358,0.39066953525931813,0.4949674453155467
risser,1.9688277023322425,1.7694744258664319,2.2198288666312394,1.088368500425003,0.5079164615651311,0.45048517704771396,0.5651395608672587
flexibilidade,1.1079766078671842,1.0458926288274286,1.2540483764908117,1.0526046778668543,0.9025461303961684,0.7974174033048771,0.9561210897156052
escoliometro_maior_10_graus,2.1716867400998723,1.9433130897461277,2.4553490583866897,1.1379753722341548,0.4604715687281913,0.40727406825694246,0.5145851202652265
