Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
idade,1.9023286314733385,1.7125286952643197,2.142686553661552,1.3792492999720314,0.5256715288070432,0.4667038201603215,0.5839318212683469
imc,1.1261651865461246,1.0593483347669432,1.2682072607213992,1.061209303835075,0.8879692002084836,0.7885146465974072,0.9439765629310213
cifose_toracica,1.450328500410213,1.3267854525216236,1.6205776809121952,1.2042958525255383,0.689498965039409,0.6170639098504166,0.7537013600047008
lordose_lombar,1.3473347382252714,1.2397475487540142,1.503201893012046,1.160747491156139,0.7422060543894343,0.6652466343002312,0.8066158315900942
correcao_colete,1.151562157842461,1.0788651361703818,1.2912705005699339,1.0731086421432179,0.8683856040160053,0.7744310735501396,0.9268999122074449
sexo,1.2358061135153167,1.1467671901211884,1.3788620816770065,1.111668166997381,0.8091884228954382,0.7252356949171994,0.8720165772220269
lenke,2.4482037630909566,2.1804597587682233,2.7766756756022546,1.0936661137783137,0.40846273299468316,0.360142889134181,0.4586188742895746
risser,2.219359769246677,1.9841861433032806,2.510728693930753,1.1047867669445457,0.4505803943357199,0.39829074420399335,0.5039849730707202
flexibilidade,1.1239291165814231,1.057666475115381,1.2663319702812128,1.060155232303941,0.8897358251929893,0.7896823451262398,0.9454776373534103
escoliometro_maior_10_graus,2.333817302209485,2.0823404140831303,2.643723705152845,1.1517135486700332,0.42848255476265185,0.37825435315003375,0.4802288776786322
