grupo,n,probabilidade_media,proporcao_observada,eventos
1,62,0.04984659459475287,0.03225806451612906,2
2,62,0.12594293879696217,0.20967741935483872,13
3,62,0.21693937258664367,0.14516129032258066,9
4,62,0.33686484680312434,0.19354838709677416,12
5,62,0.45182462885121805,0.5161290322580645,32
6,62,0.5777844240688905,0.6290322580645161,39
7,62,0.6934872913661754,0.7741935483870968,48
8,62,0.8169514069521179,0.7741935483870968,48
9,61,0.9057582892546182,0.9180327868852459,56
10,61,0.9841142794671494,0.9672131147540983,59
