incluído_linear,categoria,n,percentual,variavel
FALSE,feminino,2,66.66666666666667,sexo
FALSE,masculino,1,33.333333333333336,sexo
TRUE,feminino,554,89.64401294498381,sexo
TRUE,masculino,64,10.35598705501618,sexo
FALSE,1,0,0,lenke
FALSE,2,0,0,lenke
FALSE,3,0,0,lenke
FALSE,4,0,0,lenke
FALSE,5,0,0,lenke
FALSE,6,0,0,lenke
FALSE,NA,3,100,lenke
TRUE,1,37,5.9870550161812295,lenke
TRUE,2,41,6.634304207119741,lenke
TRUE,3,137,22.168284789644012,lenke
TRUE,4,60,9.70873786407767,lenke
TRUE,5,55,8.89967637540453,lenke
TRUE,6,288,46.601941747572816,lenke
FALSE,0,0,0,risser
FALSE,1,1,33.333333333333336,risser
FALSE,2,1,33.333333333333336,risser
FALSE,3,0,0,risser
FALSE,4,1,33.333333333333336,risser
TRUE,0,132,21.359223300970875,risser
TRUE,1,94,15.210355987055015,risser
TRUE,2,123,19.902912621359224,risser
TRUE,3,127,20.550161812297734,risser
TRUE,4,142,22.977346278317153,risser
FALSE,flexivel,2,66.66666666666667,flexibilidade
FALSE,rigido,1,33.333333333333336,flexibilidade
TRUE,flexivel,391,63.26860841423948,flexibilidade
TRUE,rigido,227,36.73139158576052,flexibilidade
FALSE,normal,1,33.333333333333336,escoliometro_maior_10_graus
FALSE,lombar,1,33.333333333333336,escoliometro_maior_10_graus
FALSE,toracica,1,33.333333333333336,escoliometro_maior_10_graus
FALSE,toracica_lombar,0,0,escoliometro_maior_10_graus
TRUE,normal,146,23.624595469255663,escoliometro_maior_10_graus
TRUE,lombar,203,32.84789644012945,escoliometro_maior_10_graus
TRUE,toracica,223,36.08414239482201,escoliometro_maior_10_graus
TRUE,toracica_lombar,46,7.44336569579288,escoliometro_maior_10_graus
