"config_id","cost_complexity","tree_depth","min_n","mean_auc","sd_auc","se_auc","n_valid","mean_terminal_nodes","simplicity_order","best_mean_threshold","eligible_one_se","selected_one_se"
1,0.001,1,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,12,0.792704166214758,FALSE,FALSE
2,0.005,1,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,11,0.792704166214758,FALSE,FALSE
3,0.01,1,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,10,0.792704166214758,FALSE,FALSE
4,0.02,1,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,9,0.792704166214758,FALSE,FALSE
5,0.001,2,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,24,0.792704166214758,FALSE,FALSE
6,0.005,2,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,23,0.792704166214758,FALSE,FALSE
7,0.01,2,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,22,0.792704166214758,FALSE,FALSE
8,0.02,2,10,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,21,0.792704166214758,FALSE,FALSE
9,0.001,3,10,0.777625626345171,0.0326730231267869,0.0146118201483836,5,6.6,36,0.792704166214758,FALSE,FALSE
10,0.005,3,10,0.780365473107793,0.0280290230767575,0.012534960188508,5,5.8,35,0.792704166214758,FALSE,FALSE
11,0.01,3,10,0.772860954174514,0.0401995918472463,0.0179778040076378,5,5,34,0.792704166214758,FALSE,FALSE
12,0.02,3,10,0.767228765917855,0.035453486810236,0.015855281309416,5,3.6,33,0.792704166214758,FALSE,FALSE
13,0.001,4,10,0.76975259365752,0.0332095892874646,0.0148517798303239,5,9.8,48,0.792704166214758,FALSE,FALSE
14,0.005,4,10,0.775454961998924,0.0284903267473654,0.0127412614616579,5,9.2,47,0.792704166214758,FALSE,FALSE
15,0.01,4,10,0.77586914850686,0.0339940962922731,0.0152026220286392,5,7.8,46,0.792704166214758,FALSE,FALSE
16,0.02,4,10,0.772135521758138,0.0425341938027196,0.0190218697422063,5,4.4,45,0.792704166214758,FALSE,FALSE
17,0.001,5,10,0.779914343444534,0.0508087079216911,0.0227223449523667,5,14.8,60,0.792704166214758,FALSE,FALSE
18,0.005,5,10,0.775773150950587,0.0438325174556103,0.0196024977311381,5,13.6,59,0.792704166214758,FALSE,FALSE
19,0.01,5,10,0.775589359978926,0.0479819766986796,0.0214581923186117,5,11.4,58,0.792704166214758,FALSE,FALSE
20,0.02,5,10,0.778561199668191,0.0499723640037453,0.0223483205817476,5,5.2,57,0.792704166214758,FALSE,FALSE
21,0.001,1,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,8,0.792704166214758,FALSE,FALSE
22,0.005,1,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,7,0.792704166214758,FALSE,FALSE
23,0.01,1,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,6,0.792704166214758,FALSE,FALSE
24,0.02,1,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,5,0.792704166214758,FALSE,FALSE
25,0.001,2,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,20,0.792704166214758,FALSE,FALSE
26,0.005,2,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,19,0.792704166214758,FALSE,FALSE
27,0.01,2,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,18,0.792704166214758,FALSE,FALSE
28,0.02,2,20,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,17,0.792704166214758,FALSE,FALSE
29,0.001,3,20,0.787162348107793,0.030674586049206,0.0137180919175382,5,5.6,32,0.792704166214758,FALSE,FALSE
