"repeat_id","outer_fold","config_id","cost_complexity","tree_depth","min_n","best_mean_auc","best_se_auc","one_se_threshold","selected_mean_auc","selected_se_auc","selected_mean_terminal_nodes"
1,1,18,0.005,5,10,0.807639731754263,0.012753788632093,0.79488594312217,0.802700234163326,0.0129252311695235,10.8
1,2,57,0.001,5,40,0.816394497774835,0.0137429858403459,0.80265151193449,0.805021638652887,0.0228401223204661,8.6
1,3,29,0.001,3,20,0.808751701055574,0.0186497036797395,0.790101997375834,0.792189856191842,0.0272655142398482,5.2
1,4,53,0.001,4,40,0.821233464513835,0.0142244445191902,0.807009019994645,0.80872656834259,0.00541073034936146,6.8
1,5,52,0.02,3,40,0.809506295438106,0.0214282138374808,0.788078081600625,0.791950175928991,0.0207698955225703,4.4
1,6,55,0.01,4,40,0.814293157772138,0.0186952254377611,0.795597932334377,0.797198621991737,0.013534099962952,6
1,7,49,0.001,3,40,0.801457084360097,0.0275626849395804,0.773894399420516,0.775795971410006,0.0250174129994264,4.2
1,8,10,0.005,3,10,0.820625301476299,0.0114608428059225,0.809164458670376,0.810245311343372,0.0155974272392244,5.6
1,9,49,0.001,3,40,0.814351117317137,0.0181852163630423,0.796165900954095,0.796469752177499,0.0150205442839974,4.8
1,10,50,0.005,3,40,0.793571722083348,0.0218498170617396,0.771721905021608,0.772924310583683,0.0190977937769278,5.2
2,1,55,0.01,4,40,0.81149913567987,0.0166660965062386,0.794833039173632,0.798934005173661,0.0263530077913002,6.2
2,2,55,0.01,4,40,0.812527124940233,0.0253831243200996,0.787144000620134,0.788232373386296,0.0307545948135841,6.2
2,3,59,0.01,5,40,0.800663258425589,0.00946783783555467,0.791195420590034,0.794107298294653,0.00670951125807343,7.4
2,4,53,0.001,4,40,0.819377934703986,0.0161246339096227,0.803253300794363,0.805295646523717,0.0184570318536791,7
2,5,56,0.02,4,40,0.799165716527517,0.0224040515358105,0.776761664991707,0.781878700945235,0.00929827807570111,4.6
2,6,53,0.001,4,40,0.805688575036473,0.00996920188070783,0.795719373155765,0.795890494930548,0.0094696646113305,6.8
2,7,19,0.01,5,10,0.835502102565989,0.0104505979267606,0.825051504639228,0.835502102565989,0.0104505979267606,12.2
2,8,34,0.005,4,20,0.821632216460088,0.015485568493871,0.806146647966217,0.807382116161751,0.0174848129802455,6.6
2,9,55,0.01,4,40,0.810446764094506,0.0232658747219972,0.787180889372509,0.787373274266173,0.0298342641042233,5.8
2,10,40,0.02,5,20,0.822738499722885,0.017456841361687,0.805281658361198,0.806057121224227,0.0166323545203663,6.4
3,1,51,0.01,3,40,0.813264555518776,0.0242454245233409,0.789019130995435,0.798118724484166,0.019585992461506,5.2
3,2,57,0.001,5,40,0.805061483197862,0.0198986614816526,0.785162821716209,0.801244375789228,0.0234468360101343,8.2
3,3,52,0.02,3,40,0.793662878369929,0.0161535800637653,0.777509298306164,0.778069562445597,0.0144332972679126,3.6
3,4,55,0.01,4,40,0.821607390243603,0.0170884973472321,0.804518892896371,0.811325658660978,0.0131295560445276,5.2
