"tree_id","repeat_id","outer_fold","n_splits","n_leaves","max_depth","root_variable","no_split"
1,1,1,15,16,4,"correcao_colete",FALSE
2,1,2,8,9,4,"correcao_colete",FALSE
3,1,3,5,6,2,"correcao_colete",FALSE
4,1,4,6,7,3,"correcao_colete",FALSE
5,1,5,3,4,2,"correcao_colete",FALSE
6,1,6,3,4,2,"correcao_colete",FALSE
7,1,7,3,4,2,"correcao_colete",FALSE
8,1,8,5,6,2,"correcao_colete",FALSE
9,1,9,5,6,2,"correcao_colete",FALSE
10,1,10,3,4,2,"correcao_colete",FALSE
11,2,1,4,5,3,"correcao_colete",FALSE
12,2,2,1,2,0,"correcao_colete",FALSE
13,2,3,6,7,4,"correcao_colete",FALSE
14,2,4,6,7,3,"correcao_colete",FALSE
15,2,5,3,4,2,"correcao_colete",FALSE
16,2,6,6,7,3,"correcao_colete",FALSE
17,2,7,8,9,4,"correcao_colete",FALSE
18,2,8,8,9,3,"correcao_colete",FALSE
19,2,9,6,7,3,"correcao_colete",FALSE
20,2,10,5,6,4,"correcao_colete",FALSE
21,3,1,3,4,2,"correcao_colete",FALSE
22,3,2,11,12,4,"correcao_colete",FALSE
23,3,3,3,4,2,"correcao_colete",FALSE
24,3,4,5,6,2,"correcao_colete",FALSE
25,3,5,9,10,3,"correcao_colete",FALSE
26,3,6,5,6,4,"correcao_colete",FALSE
27,3,7,5,6,2,"correcao_colete",FALSE
28,3,8,8,9,3,"correcao_colete",FALSE
29,3,9,5,6,2,"correcao_colete",FALSE
30,3,10,4,5,3,"correcao_colete",FALSE
31,4,1,8,9,4,"correcao_colete",FALSE
32,4,2,11,12,4,"correcao_colete",FALSE
33,4,3,3,4,2,"correcao_colete",FALSE
34,4,4,11,12,4,"correcao_colete",FALSE
35,4,5,5,6,2,"correcao_colete",FALSE
36,4,6,3,4,2,"correcao_colete",FALSE
37,4,7,11,12,4,"correcao_colete",FALSE
38,4,8,5,6,4,"correcao_colete",FALSE
39,4,9,6,7,3,"correcao_colete",FALSE
40,4,10,7,8,3,"correcao_colete",FALSE
41,5,1,8,9,3,"correcao_colete",FALSE
42,5,2,7,8,3,"correcao_colete",FALSE
43,5,3,6,7,3,"correcao_colete",FALSE
44,5,4,3,4,2,"correcao_colete",FALSE
45,5,5,6,7,3,"correcao_colete",FALSE
46,5,6,11,12,4,"correcao_colete",FALSE
47,5,7,12,13,4,"correcao_colete",FALSE
48,5,8,5,6,3,"correcao_colete",FALSE
49,5,9,7,8,3,"correcao_colete",FALSE
50,5,10,11,12,4,"correcao_colete",FALSE
