"scope","variable","frequency","trees_with_variable","relative_frequency"
"all_levels","lenke",22,21,0.42
"all_levels","lordose_lombar",22,14,0.28
"all_levels","cifose_toracica",19,15,0.3
"all_levels","imc",18,12,0.24
"all_levels","sexo",6,6,0.12
"all_levels","idade",5,5,0.1
"all_levels","escoliometro_maior_10_graus",4,4,0.08
"all_levels","correcao_colete",3,3,0.06
"all_levels","risser",3,3,0.06
"first_levels","correcao_colete",80,49,0.98
"first_levels","risser",44,43,0.86
"first_levels","imc",12,12,0.24
"first_levels","escoliometro_maior_10_graus",10,10,0.2
"first_levels","cifose_toracica",6,6,0.12
"first_levels","idade",5,5,0.1
"first_levels","lenke",3,2,0.04
"first_levels","lordose_lombar",1,1,0.02
"root","correcao_colete",50,50,1
