"variavel","nivel","referencia","n"
"sexo","feminino","feminino",551
"sexo","masculino","feminino",64
"lenke","1","1",37
"lenke","2","1",41
"lenke","3","1",137
"lenke","4","1",60
"lenke","5","1",55
"lenke","6","1",285
"risser","0","0",132
"risser","1","0",92
"risser","2","0",122
"risser","3","0",127
"risser","4","0",142
"flexibilidade","flexivel","flexivel",390
"flexibilidade","rigido","flexivel",225
"escoliometro_maior_10_graus","normal","normal",146
"escoliometro_maior_10_graus","toracica","normal",222
"escoliometro_maior_10_graus","lombar","normal",201
"escoliometro_maior_10_graus","toracica_lombar","normal",46
