"family","metric","n","mean","sd","median","q025","q975"
"continuous","r2",50,0.375032384888941,0.0840897841663014,0.3982010140377,0.216755980072132,0.505234498163281
"continuous","rmse",50,4.1865046659779,0.378626730680513,4.17102443144518,3.53128336022902,4.98691623617537
"continuous","mae",50,3.33911771726394,0.295378279924089,3.34147596416665,2.79604783842069,4.00663334876186
"continuous","auc",0,,,,,
"continuous","brier_score",0,,,,,
"continuous","log_loss",0,,,,,
"continuous","calibration_intercept",50,0.822221382723309,0.95334390815471,0.770326159569813,-1.00237097793137,2.60618478261984
"continuous","calibration_slope",50,1.17439313069007,0.191823851537684,1.1558999235321,0.771508738224045,1.57406545830138
"logistic","r2",0,,,,,
"logistic","rmse",0,,,,,
"logistic","mae",0,,,,,
"logistic","auc",50,0.850194718668891,0.0410294374639352,0.853125,0.758312331989247,0.915494791666667
"logistic","brier_score",50,0.158855572224752,0.0207318096564441,0.157100979383369,0.121512890228992,0.207087718336693
"logistic","log_loss",50,0.48322788061041,0.0488362404579716,0.480690182268067,0.396409462748859,0.590130699411918
"logistic","calibration_intercept",50,0.00254483327979742,0.189080070420239,0.0316790225995896,-0.28812063839761,0.392121146746533
"logistic","calibration_slope",50,1.33739766144387,0.315006894497665,1.29793417140257,0.762258698430419,1.97812178313838
