"family","scope","repeat_id","outer_fold","n","r2","rmse","mae","calibration_intercept","calibration_slope","auc","brier_score","log_loss"
"continuous","outer_fold",1,1,62,0.196671738454073,3.85404093235017,3.08572180097745,-1.18656198899557,0.68743206184421,,,
"logistic","outer_fold",1,1,62,,,,0.147525155648753,1.26514001762236,0.861458333333333,0.149540804492256,0.458757043548492
"continuous","outer_fold",2,1,62,0.408661003863803,4.22905757201247,3.17667234810639,0.405735865869345,1.15368727115166,,,
"logistic","outer_fold",2,1,62,,,,0.170231273892585,1.1801164352972,0.863541666666667,0.151757050101541,0.465533095034934
"continuous","outer_fold",3,1,62,0.295767117220546,4.0128551786897,3.08744793041256,-0.0959840598622934,1.09954102707589,,,
"logistic","outer_fold",3,1,62,,,,0.106629909939844,1.04066837712114,0.789583333333333,0.185863508876116,0.549836696819655
"continuous","outer_fold",4,1,62,0.418072866193902,3.61416311605897,3.02429686290632,0.767461887185852,1.09044646716882,,,
"logistic","outer_fold",4,1,62,,,,-0.209760596725952,1.17419019390816,0.8375,0.162061499023681,0.485959161119018
"continuous","outer_fold",5,1,62,0.395546736235381,4.16093778681551,3.25621604114455,0.583221322029247,1.12511277858004,,,
"logistic","outer_fold",5,1,62,,,,0.0680546518002523,1.25387210506251,0.869791666666667,0.146169750415743,0.455576347856246
"continuous","outer_fold",1,2,62,0.424490684066451,3.97226590455109,3.17675190833444,1.05506804714136,1.15543417098575,,,
"logistic","outer_fold",1,2,62,,,,0.0277914908816345,0.737912710954135,0.757291666666667,0.206827562158423,0.590421539270978
"continuous","outer_fold",2,2,62,0.421644226118545,4.29200693140243,3.56672625793428,2.18606739189418,1.59674765361259,,,
"logistic","outer_fold",2,2,62,,,,-0.0160404977016445,1.81067609356914,0.875,0.151904741778238,0.470671185325185
"continuous","outer_fold",3,2,62,0.524028404090559,3.86072424331668,3.08761817401962,2.01613617188711,1.41202985733901,,,
"logistic","outer_fold",3,2,62,,,,0.0464294552698227,1.75807418376931,0.9015625,0.138749399544105,0.4339105032135
"continuous","outer_fold",4,2,62,0.314524788255201,4.81064215878358,3.96713676149696,-0.270338021861556,1.29047431551076,,,
"logistic","outer_fold",4,2,62,,,,0.568312573472511,1.12864693137023,0.905208333333333,0.121448084783469,0.395733516250905
"continuous","outer_fold",5,2,62,0.297339162345719,4.54518067111462,3.5308687045545,0.0164798017138374,0.969492653374776,,,
"logistic","outer_fold",5,2,62,,,,0.13292201758082,1.23521980854454,0.841666666666667,0.163096268687677,0.498031256661246
"continuous","outer_fold",1,3,62,0.434605571122264,3.41704392931788,2.77365470791769,2.57859520849629,1.37528465268336,,,
"logistic","outer_fold",1,3,62,,,,-0.233855067754687,1.58454656943802,0.871875,0.152602891301812,0.467044796173244
"continuous","outer_fold",2,3,62,0.42981105986793,3.81455037395784,3.07997366607147,1.0551098719716,1.15602477814684,,,
"logistic","outer_fold",2,3,62,,,,-0.110753110435687,1.27790053423628,0.863541666666667,0.149160802452215,0.456739542998663
"continuous","outer_fold",3,3,62,0.255267449014271,3.79690706676635,3.02410453381459,-1.08064752298095,0.740973776513304,,,
"logistic","outer_fold",3,3,62,,,,-0.127971189051292,1.37670207607046,0.872916666666667,0.147793966528188,0.449568529249481
"continuous","outer_fold",4,3,62,0.433402457270301,3.55251402993681,2.64696997480764,0.847537949032025,1.077397019347,,,
"logistic","outer_fold",4,3,62,,,,0.201539381960248,1.26108482505926,0.853125,0.156568691544014,0.481644845665648
"continuous","outer_fold",5,3,62,0.376628396038317,4.16782035561021,3.32803725347357,1.21613622657063,1.21812745136636,,,
"logistic","outer_fold",5,3,62,,,,-0.164481709576935,1.3137539887506,0.842708333333333,0.161852563104285,0.485396190284689
"continuous","outer_fold",1,4,62,0.308682004320152,5.0380925812246,4.03836663035056,0.0690886961611035,1.17876634699711,,,
"logistic","outer_fold",1,4,62,,,,0.0362266846255662,1.5380237244841,0.875,0.15011596965561,0.465018710643589
"continuous","outer_fold",2,4,62,0.427821878968631,3.95445312219371,3.22781318653923,1.41765972178415,1.29159578085684,,,
"logistic","outer_fold",2,4,62,,,,0.120091292263489,1.66959264865529,0.864583333333333,0.14640500104105,0.458241760618224
"continuous","outer_fold",3,4,62,0.307882998661632,4.68460739978789,3.54399426054059,1.41130204744178,1.3230307840691,,,
"logistic","outer_fold",3,4,62,,,,-0.0193233390793231,1.31008959323428,0.823958333333333,0.175753176030249,0.521830130479565
"continuous","outer_fold",4,4,62,0.436176771909064,4.28763401437302,3.43543407579285,0.739957984431207,1.04854745077073,,,
"logistic","outer_fold",4,4,62,,,,-0.12464453581388,1.28577874957086,0.852083333333333,0.152704586630605,0.469822896680097
"continuous","outer_fold",5,4,62,0.439040970831884,3.52511961741062,2.9927553528104,1.56210986545586,1.21299049671851,,,
"logistic","outer_fold",5,4,62,,,,-0.293615885042233,1.18220309139201,0.823958333333333,0.17332791142104,0.522816404193702
"continuous","outer_fold",1,5,62,0.495693915178848,4.57068718112841,3.81365610227216,3.07628553977317,1.58992629561193,,,
"logistic","outer_fold",1,5,62,,,,-0.179763872980547,2.02673504785203,0.916666666666667,0.128692017673881,0.40742478766983
"continuous","outer_fold",2,5,62,0.377770724131205,4.56855700138123,3.67735033508824,0.974935714604346,1.07823637010506,,,
"logistic","outer_fold",2,5,62,,,,0.0355665543175446,1.05597781831231,0.842708333333333,0.161322307973283,0.481047399757888
"continuous","outer_fold",3,5,62,0.331739181845207,4.40634739508652,3.48357599480752,0.773190431953775,1.12182423355533,,,
"logistic","outer_fold",3,5,62,,,,0.0486548254426859,1.61189679973435,0.878125,0.150853122368927,0.469096343461681
"continuous","outer_fold",4,5,62,0.443808011129499,4.07227984901361,3.06972865611321,-0.117466933319928,1.1420604594614,,,
"logistic","outer_fold",4,5,62,,,,0.185875472735004,2.19048864722132,0.930208333333333,0.121252685143615,0.398737722908478
"continuous","outer_fold",5,5,62,0.506285084769106,3.85823034340125,3.2358365837143,2.0754262073925,1.42769787094712,,,
"logistic","outer_fold",5,5,62,,,,-0.0682289071029972,1.24695990470828,0.853125,0.152188803729149,0.473912970102437
"continuous","outer_fold",1,6,62,0.299657193672811,4.26251253384564,3.26172708415589,0.892205874865511,1.15244868541875,,,
"logistic","outer_fold",1,6,62,,,,-0.205894726749162,1.42115493856427,0.85,0.161372413986498,0.493107513818124
"continuous","outer_fold",2,6,62,0.46884739795914,3.84849610165079,3.16281858587438,0.186076713576164,1.21773336198749,,,
"logistic","outer_fold",2,6,62,,,,0.173069675611561,1.68891934438871,0.911458333333333,0.127959602763796,0.413564260503397
"continuous","outer_fold",3,6,62,0.438382006728774,4.17422850728014,3.45513420079406,0.910801332102931,1.02017602331442,,,
"logistic","outer_fold",3,6,62,,,,-0.2626736445719,1.49813357316989,0.884375,0.142520924393446,0.444495011526522
"continuous","outer_fold",4,6,62,0.446051502186766,3.99732641650729,3.419569089163,1.90684602362306,1.37875122348779,,,
"logistic","outer_fold",4,6,62,,,,0.146609209273026,1.79003613806586,0.848958333333333,0.161024314033785,0.482060315136166
"continuous","outer_fold",5,6,62,0.473290771985762,4.05426379122161,3.35491467485973,2.61419465897829,1.51943368534282,,,
"logistic","outer_fold",5,6,62,,,,-0.204045934065062,1.6637658273938,0.889583333333333,0.141144829475764,0.439938596398666
"continuous","outer_fold",1,7,62,0.501615810965437,3.80247895349368,3.2672818293351,1.8488631769387,1.33632734706656,,,
"logistic","outer_fold",1,7,62,,,,-0.07992442770486,1.48593648740801,0.886458333333333,0.141922765929182,0.44142474315948
"continuous","outer_fold",2,7,62,0.361462698689819,4.30420952086575,3.29325900830845,0.175873184836303,1.10993237440486,,,
"logistic","outer_fold",2,7,62,,,,0.0954169026586936,1.35089833048832,0.848958333333333,0.167050102814972,0.503047050588138
"continuous","outer_fold",3,7,62,0.303017498458841,4.13563177192232,3.50035359112018,-0.131593618703183,0.91396602475964,,,
"logistic","outer_fold",3,7,62,,,,-0.078045512139902,0.873115983660878,0.792708333333333,0.187778052666927,0.54292115516206
"continuous","outer_fold",4,7,62,0.427150994712247,3.6837675265653,2.87317973237549,1.48841227171532,1.25939886345795,,,
"logistic","outer_fold",4,7,62,,,,0.059828077362977,1.50453986084467,0.870833333333333,0.149719223616486,0.460383912756714
"continuous","outer_fold",5,7,62,0.279432519730938,4.66237534201659,3.49245043321576,-0.177739213234424,1.14545997970938,,,
"logistic","outer_fold",5,7,62,,,,0.115632690301234,1.72177475953897,0.861458333333333,0.157633267222724,0.480332964778246
"continuous","outer_fold",1,8,61,0.260924096624126,4.78456754377461,3.59952503037704,0.0410607317945885,1.15577506891736,,,
"logistic","outer_fold",1,8,61,,,,0.175756203866169,0.911566379589745,0.816129032258065,0.176511064982293,0.5247557156125
"continuous","outer_fold",2,8,61,0.223643774362136,4.58637671504512,3.46765850013526,0.475594143200254,0.978347931490756,,,
"logistic","outer_fold",2,8,61,,,,-0.24430437760379,0.846117099737619,0.761827956989247,0.207163247549739,0.589128917675159
"continuous","outer_fold",3,8,61,0.422509929913442,4.4194231317054,3.73589899527566,1.2331982263368,1.27707882595297,,,
"logistic","outer_fold",3,8,61,,,,-0.18781657747946,1.47510954278281,0.909677419354839,0.121736108985793,0.383977865498353
"continuous","outer_fold",4,8,61,0.360751072972827,4.60388038775631,3.64109524999982,2.53946145753497,1.31521831337381,,,
"logistic","outer_fold",4,8,61,,,,-0.169129544602306,0.979657660771588,0.802150537634409,0.179778429042617,0.532302299998204
"continuous","outer_fold",5,8,61,0.315164093531244,4.2469866486873,3.52049135062631,0.505008591573958,0.945845975975354,,,
"logistic","outer_fold",5,8,61,,,,0.00857343512193973,1.2343760828508,0.836559139784946,0.158927022189329,0.486225972309072
"continuous","outer_fold",1,9,60,0.232224187089586,3.8989692350192,2.99896154525787,0.110222351892596,0.87668471744993,,,
"logistic","outer_fold",1,9,60,,,,0.0586625662802097,1.12428994476829,0.812013348164627,0.173568875447464,0.528039192442417
"continuous","outer_fold",2,9,60,0.368910256348631,4.1270341615165,3.36744330216066,1.51484513306435,1.21287576074155,,,
"logistic","outer_fold",2,9,60,,,,-0.269192566621686,1.44509897345773,0.829810901001112,0.165460134224195,0.498502197759045
"continuous","outer_fold",3,9,60,0.39420753380882,4.34011657783055,3.22023952695335,1.00263494690733,1.28369788128707,,,
"logistic","outer_fold",3,9,60,,,,0.145871446432157,1.17216304735477,0.85650723025584,0.154228446786044,0.48635360835525
"continuous","outer_fold",4,9,60,0.214756297858904,5.10099408808696,4.01810009990329,0.600499655300965,1.29434905914465,,,
