"family","repeat_id","outer_fold","metric","flexible","frozen","absolute_difference"
"continuous",1,1,"r2",0.196671738454073,0.160369351018215,0.0363023874358582
"continuous",1,1,"rmse",3.85404093235017,3.94016075906043,0.086119826710263
"continuous",1,1,"mae",3.08572180097745,3.20216245910109,0.116440658123637
"continuous",1,1,"auc",,,
"continuous",1,1,"brier_score",,,
"continuous",1,1,"log_loss",,,
"continuous",1,1,"calibration_intercept",-1.18656198899557,-1.53763943203222,0.351077443036651
"continuous",1,1,"calibration_slope",0.68743206184421,0.609208172472533,0.0782238893716767
"logistic",1,1,"r2",,,
"logistic",1,1,"rmse",,,
"logistic",1,1,"mae",,,
"logistic",1,1,"auc",0.861458333333333,0.865625,0.00416666666666665
"logistic",1,1,"brier_score",0.149540804492256,0.137381404743794,0.0121593997484627
"logistic",1,1,"log_loss",0.458757043548492,0.435731627962676,0.0230254155858159
"logistic",1,1,"calibration_intercept",0.147525155648753,0.140797269888298,0.00672788576045519
"logistic",1,1,"calibration_slope",1.26514001762236,0.95426864026767,0.310871377354687
"continuous",2,1,"r2",0.408661003863803,0.333487901998627,0.0751731018651757
"continuous",2,1,"rmse",4.22905757201247,4.48982440187377,0.260766829861298
"continuous",2,1,"mae",3.17667234810639,3.25903872560805,0.0823663775016574
"continuous",2,1,"auc",,,
"continuous",2,1,"brier_score",,,
"continuous",2,1,"log_loss",,,
"continuous",2,1,"calibration_intercept",0.405735865869345,-0.710452046534752,1.1161879124041
"continuous",2,1,"calibration_slope",1.15368727115166,0.93755601608076,0.216131255070901
"logistic",2,1,"r2",,,
"logistic",2,1,"rmse",,,
"logistic",2,1,"mae",,,
"logistic",2,1,"auc",0.863541666666667,0.84375,0.0197916666666667
"logistic",2,1,"brier_score",0.151757050101541,0.165885108760704,0.0141280586591631
"logistic",2,1,"log_loss",0.465533095034934,0.504397777279034,0.0388646822441001
"logistic",2,1,"calibration_intercept",0.170231273892585,0.467116491947939,0.296885218055354
"logistic",2,1,"calibration_slope",1.1801164352972,0.811063837226284,0.369052598070914
"continuous",3,1,"r2",0.295767117220546,0.185337359904646,0.1104297573159
"continuous",3,1,"rmse",4.0128551786897,4.31602783515043,0.303172656460728
"continuous",3,1,"mae",3.08744793041256,3.41860066885113,0.331152738438568
"continuous",3,1,"auc",,,
"continuous",3,1,"brier_score",,,
"continuous",3,1,"log_loss",,,
"continuous",3,1,"calibration_intercept",-0.0959840598622934,-1.39385031221974,1.29786625235745
"continuous",3,1,"calibration_slope",1.09954102707589,0.731098812241356,0.368442214834535
"logistic",3,1,"r2",,,
"logistic",3,1,"rmse",,,
"logistic",3,1,"mae",,,
"logistic",3,1,"auc",0.789583333333333,0.773958333333333,0.015625
"logistic",3,1,"brier_score",0.185863508876116,0.197071987919167,0.0112084790430506
"logistic",3,1,"log_loss",0.549836696819655,0.598106400829143,0.048269704009488
"logistic",3,1,"calibration_intercept",0.106629909939844,0.113941058302875,0.00731114836303076
"logistic",3,1,"calibration_slope",1.04066837712114,0.62052912353731,0.420139253583831
"continuous",4,1,"r2",0.418072866193902,0.373798347274424,0.044274518919478
"continuous",4,1,"rmse",3.61416311605897,3.74913043694664,0.134967320887673
"continuous",4,1,"mae",3.02429686290632,3.11163635517915,0.087339492272827
"continuous",4,1,"auc",,,
"continuous",4,1,"brier_score",,,
"continuous",4,1,"log_loss",,,
"continuous",4,1,"calibration_intercept",0.767461887185852,-0.449542809252995,1.21700469643885
"continuous",4,1,"calibration_slope",1.09044646716882,0.875376538257413,0.215069928911404
"logistic",4,1,"r2",,,
"logistic",4,1,"rmse",,,
"logistic",4,1,"mae",,,
"logistic",4,1,"auc",0.8375,0.861458333333333,0.0239583333333333
"logistic",4,1,"brier_score",0.162061499023681,0.1530908417469,0.00897065727678079
"logistic",4,1,"log_loss",0.485959161119018,0.463270089227846,0.0226890718911713
"logistic",4,1,"calibration_intercept",-0.209760596725952,-0.248501452607235,0.0387408558812834
"logistic",4,1,"calibration_slope",1.17419019390816,0.920067690427907,0.254122503480257
