"family","repeat_id","outer_fold","feature","variable","component","interaction","additional","coefficient"
"logistic",,,"idade__linear","idade","linear",FALSE,FALSE,0.034764493757207
"logistic",,,"idade__spline_1","idade","spline",FALSE,TRUE,0.33237620118503
"logistic",,,"idade__spline_2","idade","spline",FALSE,TRUE,0.414049063969195
"logistic",,,"idade__spline_3","idade","spline",FALSE,TRUE,-0.254028758999555
"logistic",,,"imc__linear","imc","linear",FALSE,FALSE,0.0430061590399638
"logistic",,,"imc__spline_1","imc","spline",FALSE,TRUE,-0.160720453417191
"logistic",,,"imc__spline_2","imc","spline",FALSE,TRUE,-0.0195659760471965
"logistic",,,"imc__spline_3","imc","spline",FALSE,TRUE,0.664619317696502
"logistic",,,"cifose_toracica__linear","cifose_toracica","linear",FALSE,FALSE,0.0764711700497873
"logistic",,,"cifose_toracica__spline_1","cifose_toracica","spline",FALSE,TRUE,0.88918036705388
"logistic",,,"cifose_toracica__spline_2","cifose_toracica","spline",FALSE,TRUE,0.21838006025608
"logistic",,,"cifose_toracica__spline_3","cifose_toracica","spline",FALSE,TRUE,-0.611984513970376
"logistic",,,"lordose_lombar__linear","lordose_lombar","linear",FALSE,FALSE,0.0246804652672168
"logistic",,,"lordose_lombar__spline_1","lordose_lombar","spline",FALSE,TRUE,-0.322024159663414
"logistic",,,"lordose_lombar__spline_2","lordose_lombar","spline",FALSE,TRUE,1.62051476657641
"logistic",,,"lordose_lombar__spline_3","lordose_lombar","spline",FALSE,TRUE,-0.0170965045044904
"logistic",,,"correcao_colete__linear","correcao_colete","linear",FALSE,FALSE,0.3653138355898
"logistic",,,"correcao_colete__spline_1","correcao_colete","spline",FALSE,TRUE,1.5262458983005
"logistic",,,"correcao_colete__spline_2","correcao_colete","spline",FALSE,TRUE,0.0966878485648492
"logistic",,,"correcao_colete__spline_3","correcao_colete","spline",FALSE,TRUE,0.972963713484094
"logistic",,,"cobb_inicial_maior__linear","cobb_inicial_maior","linear",FALSE,TRUE,0.135795708960149
"logistic",,,"cobb_inicial_maior__spline_1","cobb_inicial_maior","spline",FALSE,TRUE,0.0577903229434302
"logistic",,,"cobb_inicial_maior__spline_2","cobb_inicial_maior","spline",FALSE,TRUE,0.41732784281935
"logistic",,,"cobb_inicial_maior__spline_3","cobb_inicial_maior","spline",FALSE,TRUE,0.404585727485286
"logistic",,,"sexo__dummy_masculino","sexo","dummy",FALSE,FALSE,0.592035882056636
"logistic",,,"lenke__dummy_2","lenke","dummy",FALSE,FALSE,0.23532925605518
"logistic",,,"lenke__dummy_3","lenke","dummy",FALSE,FALSE,-0.38880866969917
"logistic",,,"lenke__dummy_4","lenke","dummy",FALSE,FALSE,-0.504550320160889
"logistic",,,"lenke__dummy_5","lenke","dummy",FALSE,FALSE,0.372801629625874
"logistic",,,"lenke__dummy_6","lenke","dummy",FALSE,FALSE,-0.131482657028708
"logistic",,,"risser__dummy_1","risser","dummy",FALSE,FALSE,0.730952449005367
"logistic",,,"risser__dummy_2","risser","dummy",FALSE,FALSE,0.225932724270289
"logistic",,,"risser__dummy_3","risser","dummy",FALSE,FALSE,-0.180388480519448
"logistic",,,"risser__dummy_4","risser","dummy",FALSE,FALSE,0.126774388465631
"logistic",,,"flexibilidade__dummy_rigido","flexibilidade","dummy",FALSE,FALSE,-0.303891160568201
"logistic",,,"escoliometro_maior_10_graus__dummy_toracica","escoliometro_maior_10_graus","dummy",FALSE,FALSE,0.0245168182738687
"logistic",,,"escoliometro_maior_10_graus__dummy_lombar","escoliometro_maior_10_graus","dummy",FALSE,FALSE,-0.0280298871528409
"logistic",,,"escoliometro_maior_10_graus__dummy_toracica_lombar","escoliometro_maior_10_graus","dummy",FALSE,FALSE,-0.740077617791778
"logistic",,,"correcao_colete_x_flexibilidade__rigido","correcao_colete_x_flexibilidade","interaction",TRUE,TRUE,0.487124581052505
"logistic",,,"correcao_colete_x_lenke__2","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.240239136089435
"logistic",,,"correcao_colete_x_lenke__3","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.27045322384727
"logistic",,,"correcao_colete_x_lenke__4","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.482256419912021
"logistic",,,"correcao_colete_x_lenke__5","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.362282993472064
"logistic",,,"correcao_colete_x_lenke__6","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.409894132032568
"logistic",,,"idade_x_risser__1","idade_x_risser","interaction",TRUE,TRUE,-0.00058625335574111
"logistic",,,"idade_x_risser__2","idade_x_risser","interaction",TRUE,TRUE,0.014727729463157
"logistic",,,"idade_x_risser__3","idade_x_risser","interaction",TRUE,TRUE,-0.00789787752002571
"logistic",,,"idade_x_risser__4","idade_x_risser","interaction",TRUE,TRUE,-0.123837216253305
