"family","repeat_id","outer_fold","config_id","alpha","lambda_fraction","lambda","lambda_max","best_mean_metric","best_se_metric","one_se_threshold","selected_mean_metric","selected_se_metric","converged","n_features"
"continuous",1,1,11,0,0.01,0.590281774101897,59.0281774101896,4.23818791551634,0.0807921097048381,4.31898002522117,4.23818791551634,0.0807921097048381,TRUE,48
"logistic",1,1,6,0,0.1,0.519377785540155,5.19377785540155,0.484978833527176,0.00970973777315678,0.494688571300333,0.488079940343461,0.00782106416873537,TRUE,48
"continuous",1,2,11,0,0.01,0.558444237746931,55.8444237746931,4.12891726925316,0.0762795814054517,4.20519685065861,4.18830141767948,0.112440763069605,TRUE,48
"logistic",1,2,6,0,0.1,0.540778824570694,5.40778824570694,0.450201006439404,0.0163755685980339,0.466576575037438,0.465457864110251,0.0143183057979768,TRUE,48
"continuous",1,3,11,0,0.01,0.57303891815,57.303891815,4.23104441559476,0.193711293535934,4.42475570913069,4.27913130665292,0.208595987173009,TRUE,48
"logistic",1,3,6,0,0.1,0.514622576502424,5.14622576502423,0.483786091111153,0.0205523354652708,0.504338426576424,0.490369021111368,0.0134935043641229,TRUE,48
"continuous",1,4,11,0,0.01,0.56519982534842,56.519982534842,3.99278215891638,0.0977894292283032,4.09057158814468,4.05282363031731,0.102749639024181,TRUE,48
"logistic",1,4,6,0,0.1,0.522004243550202,5.22004243550202,0.47923551502164,0.0135929434110555,0.492828458432696,0.483342497947775,0.00965582139856666,TRUE,48
"continuous",1,5,11,0,0.01,0.526741098490383,52.6741098490382,4.21547281273364,0.0945372433544412,4.31001005608809,4.21669905700388,0.109576974208721,TRUE,48
"logistic",1,5,6,0,0.1,0.513766015717245,5.13766015717245,0.488396328846377,0.0244435297386882,0.512839858585065,0.501166095683543,0.0233672287435614,TRUE,48
"continuous",1,6,11,0,0.01,0.56176871470175,56.176871470175,4.10435577483473,0.131387229534169,4.2357430043689,4.18026571028983,0.116299585823812,TRUE,48
"logistic",1,6,6,0,0.1,0.520271154839482,5.20271154839482,0.470340131866402,0.0211298485152631,0.491469980381665,0.481428116497354,0.0139385985545724,TRUE,48
"continuous",1,7,11,0,0.01,0.552281300482542,55.2281300482542,4.23478042468752,0.229857343363034,4.46463776805056,4.23478042468752,0.229857343363034,TRUE,48
"logistic",1,7,6,0,0.1,0.519912275719144,5.19912275719144,0.49241747618634,0.029451012694401,0.521868488880741,0.493435784455961,0.0214465170200037,TRUE,48
"continuous",1,8,11,0,0.01,0.57359596955855,57.3595969558549,4.0893616182362,0.228946948044057,4.31830856628025,4.12100038088144,0.201518558212143,TRUE,48
"logistic",1,8,13,0.5,0.01,0.0525756858372423,5.25756858372423,0.464645944054172,0.00927446652399299,0.473920410578165,0.470401941068379,0.0105692375462615,TRUE,48
"continuous",1,9,11,0,0.01,0.57042202242574,57.042202242574,4.23374332993939,0.132726989895158,4.36647031983455,4.25167367885196,0.177159596102088,TRUE,48
"logistic",1,9,6,0,0.1,0.530554921774342,5.30554921774341,0.486437667063057,0.0118601151817103,0.498297782244767,0.486437667063057,0.0118601151817103,TRUE,48
"continuous",1,10,11,0,0.01,0.54882365246114,54.882365246114,4.2555453650832,0.124004940820958,4.37955030590416,4.2555453650832,0.124004940820958,TRUE,48
"logistic",1,10,6,0,0.1,0.515245534716459,5.15245534716459,0.489291211957413,0.0171057382943612,0.506396950251774,0.494587240419145,0.0157988796377986,TRUE,48
"continuous",2,1,11,0,0.01,0.564587578697475,56.4587578697475,4.08888258669975,0.158092362380574,4.24697494908033,4.14475973684037,0.158645594212417,TRUE,48
"logistic",2,1,6,0,0.1,0.516402185672332,5.16402185672332,0.468369628700873,0.0346018473769169,0.50297147607779,0.484174197119072,0.0247199900560594,TRUE,48
"continuous",2,2,11,0,0.01,0.560418571595349,56.0418571595348,4.11984050447212,0.219432076798339,4.33927258127046,4.17354188041638,0.221831596621341,TRUE,48
"logistic",2,2,6,0,0.1,0.522813454957223,5.22813454957223,0.48230552638833,0.0334143503115474,0.515719876699877,0.489715247432597,0.0261627195505446,TRUE,48
"continuous",2,3,11,0,0.01,0.554109356281006,55.4109356281006,4.24457764912055,0.0686042387250223,4.31318188784557,4.26393931649562,0.0871308225630336,TRUE,48
"logistic",2,3,6,0,0.1,0.516102982292182,5.16102982292182,0.471612133441593,0.0176216272584034,0.489233760699996,0.484337159937887,0.015094881787436,TRUE,48
"continuous",2,4,11,0,0.01,0.559510372761705,55.9510372761704,4.12707360262034,0.0626812517852439,4.18975485440559,4.18454849011958,0.0591902501134534,TRUE,48
"logistic",2,4,6,0,0.1,0.515083856592694,5.15083856592694,0.491613784643826,0.0297260626075231,0.521339847251349,0.495892225524391,0.0257847978802577,TRUE,48
"continuous",2,5,11,0,0.01,0.559155432013372,55.9155432013372,4.13903664702876,0.215313965740599,4.35435061276936,4.16854467737362,0.203731534672466,TRUE,48
"logistic",2,5,6,0,0.1,0.527151041415163,5.27151041415163,0.483517581130314,0.00907331412375464,0.492590895254069,0.486116062971562,0.00664364181679281,TRUE,48
"continuous",2,6,11,0,0.01,0.560635522972102,56.0635522972101,4.20046110353951,0.147016807053598,4.34747791059311,4.23176463819238,0.184679375753315,TRUE,48
"logistic",2,6,6,0,0.1,0.517865084718751,5.17865084718751,0.488322573240063,0.0178965525383049,0.506219125778368,0.495034651202865,0.0129170126681983,TRUE,48
"continuous",2,7,11,0,0.01,0.56889755334656,56.8897553346559,4.12060202550295,0.151188149265758,4.27179017476871,4.18943123980582,0.168792920225873,TRUE,48
"logistic",2,7,6,0,0.1,0.538206335069727,5.38206335069727,0.481037458172511,0.0215930322173172,0.502630490389828,0.48757141158208,0.0152226946616464,TRUE,48
"continuous",2,8,11,0,0.01,0.577034989933833,57.7034989933833,4.22010297663047,0.0848904905949169,4.30499346722538,4.23038781420425,0.0896678422234987,TRUE,48
"logistic",2,8,6,0,0.1,0.529233480321278,5.29233480321278,0.468092402622239,0.0223979671050787,0.490490369727318,0.474464378360046,0.0194397706669513,TRUE,48
"continuous",2,9,11,0,0.01,0.564653033263185,56.4653033263185,4.21193198878174,0.171926288468861,4.3838582772506,4.23955924553381,0.193543349719451,TRUE,48
"logistic",2,9,6,0,0.1,0.518894426384338,5.18894426384338,0.4817500928196,0.0319372382636666,0.513687331083267,0.488416407638551,0.0226894865442129,TRUE,48
"continuous",2,10,11,0,0.01,0.551592674309308,55.1592674309308,4.15806039486366,0.0898898217033003,4.24795021656696,4.22452695725608,0.0788176401187567,TRUE,48
"logistic",2,10,6,0,0.1,0.516975352505174,5.16975352505174,0.473641651520825,0.0206940718142096,0.494335723335034,0.482400814886415,0.0169493381840989,TRUE,48
"continuous",3,1,11,0,0.01,0.580571599573314,58.0571599573314,4.17405908393063,0.112330965196734,4.28639004912736,4.20509871154991,0.118887622082514,TRUE,48
"logistic",3,1,6,0,0.1,0.529164079757497,5.29164079757497,0.469744159343054,0.0316984288341143,0.501442588177168,0.475937152806786,0.0223477202077767,TRUE,48
"continuous",3,2,11,0,0.01,0.553271522449934,55.3271522449934,4.21039253755344,0.122390297803764,4.33278283535721,4.2485424533625,0.0875153659135473,TRUE,48
"logistic",3,2,6,0,0.1,0.510276449855468,5.10276449855468,0.480730411420857,0.0226827610045993,0.503413172425456,0.48948498518069,0.0191240707971071,TRUE,48
"continuous",3,3,11,0,0.01,0.579705839510625,57.9705839510625,4.13459062620951,0.169463460227069,4.30405408643658,4.20337147435071,0.15816587773397,TRUE,48
"logistic",3,3,6,0,0.1,0.510306445331957,5.10306445331957,0.47589619037519,0.0184684403390799,0.49436463071427,0.487643066676124,0.0129830133226425,TRUE,48
"continuous",3,4,11,0,0.01,0.56787145571876,56.787145571876,4.17191640611177,0.130609864625949,4.30252627073772,4.17191640611177,0.130609864625949,TRUE,48
"logistic",3,4,6,0,0.1,0.536540962689274,5.36540962689274,0.474964381433345,0.0235805905565824,0.498544971989927,0.482983398340556,0.0187467495264926,TRUE,48
"continuous",3,5,11,0,0.01,0.554680294291891,55.468029429189,4.10556447528611,0.0881061341634766,4.19367060944959,4.148780923893,0.113626410969631,TRUE,48
"logistic",3,5,6,0,0.1,0.518301517656217,5.18301517656217,0.471102671865563,0.015801504569859,0.486904176435422,0.479795315436052,0.0157022173180782,TRUE,48
"continuous",3,6,16,0,0.001,0.0555408750172787,55.5408750172787,4.10985360871575,0.0735700925020809,4.18342370121784,4.12153998349084,0.0723015437622896,TRUE,48
"logistic",3,6,6,0,0.1,0.512762321179558,5.12762321179558,0.471798715881943,0.0281429266775813,0.499941642559524,0.485449258071794,0.0198642565124121,TRUE,48
"continuous",3,7,11,0,0.01,0.565408025400317,56.5408025400317,4.2167751905009,0.116899371728603,4.3336745622295,4.22940332097191,0.12157301273481,TRUE,48
"logistic",3,7,6,0,0.1,0.536627195628037,5.36627195628037,0.475954050075993,0.01531391547337,0.491267965549363,0.475954050075993,0.01531391547337,TRUE,48
"continuous",3,8,11,0,0.01,0.547445549588236,54.7445549588236,4.13532596512006,0.161537574680816,4.29686353980088,4.17958547146034,0.163656123790886,TRUE,48
"logistic",3,8,12,0.25,0.01,0.0508345076243009,5.08345076243009,0.47654752113285,0.00797621170685948,0.484523732839709,0.482837648594576,0.0102594259578698,TRUE,48
"continuous",3,9,11,0,0.01,0.555474606949749,55.5474606949749,4.19912294142248,0.0723707335688316,4.27149367499131,4.23181290495886,0.0550432325287762,TRUE,48
"logistic",3,9,6,0,0.1,0.523127132369774,5.23127132369774,0.478247802791703,0.0113361738753045,0.489583976667007,0.485519145901707,0.00714050688369308,TRUE,48
"continuous",3,10,11,0,0.01,0.560657541876135,56.0657541876134,4.23936663684918,0.0759399872369243,4.31530662408611,4.23936663684918,0.0759399872369243,TRUE,48
"logistic",3,10,6,0,0.1,0.535013558998316,5.35013558998316,0.488803236752427,0.0137716372456221,0.502574873998049,0.489333038785203,0.0129083983172885,TRUE,48
"continuous",4,1,11,0,0.01,0.564373672863813,56.4373672863813,4.15736202417897,0.115161962732814,4.27252398691178,4.22327563105703,0.0752408074882322,TRUE,48
"logistic",4,1,6,0,0.1,0.512693997848494,5.12693997848494,0.470795823995579,0.0283927940210189,0.499188618016598,0.480150515120215,0.0237127491631121,TRUE,48
"continuous",4,2,11,0,0.01,0.567530148267991,56.7530148267991,4.04721411480674,0.093853819179102,4.14106793398584,4.11727248656145,0.112698837168668,TRUE,48
"logistic",4,2,11,0,0.01,0.0520275481060403,5.20275481060403,0.479041891178501,0.00814703349389092,0.487188924672392,0.484544494058708,0.0118782725516872,TRUE,48
"continuous",4,3,11,0,0.01,0.561179485854657,56.1179485854656,4.30202988752126,0.190862144905479,4.49289203242674,4.30202988752126,0.190862144905479,TRUE,48
"logistic",4,3,6,0,0.1,0.509881485037735,5.09881485037735,0.497469207587355,0.0242835508109678,0.521752758398323,0.497469207587355,0.0242835508109678,TRUE,48
"continuous",4,4,11,0,0.01,0.538126591054594,53.8126591054593,4.11747443368634,0.189341660150356,4.3068160938367,4.16390025109703,0.194714106910456,TRUE,48
"logistic",4,4,6,0,0.1,0.522473995967382,5.22473995967382,0.487782117142604,0.0206597772645664,0.50844189440717,0.497353761596302,0.013454931119205,TRUE,48
"continuous",4,5,11,0,0.01,0.560660805241199,56.0660805241198,4.2090713974194,0.0907251607283307,4.29979655814773,4.23920401025608,0.11300462468748,TRUE,48
"logistic",4,5,6,0,0.1,0.510684157367141,5.10684157367141,0.494650534654141,0.00940957929208435,0.504060113946226,0.50081028648305,0.00967111573647108,TRUE,48
"continuous",4,6,11,0,0.01,0.556983725703894,55.6983725703893,4.16133969708892,0.140620156753099,4.30195985384201,4.19220345527881,0.139831796632847,TRUE,48
"logistic",4,6,6,0,0.1,0.525330054006337,5.25330054006337,0.469818805804471,0.0148760995666163,0.484694905371087,0.478918649914724,0.0108782567929872,TRUE,48
"continuous",4,7,11,0,0.01,0.571283727276241,57.128372727624,4.20310596536694,0.233891564841628,4.43699753020857,4.22951328776082,0.249109766387754,TRUE,48
"logistic",4,7,6,0,0.1,0.523070901859776,5.23070901859776,0.480281010201939,0.0235475146334278,0.503828524835367,0.486781930725194,0.0178049903716196,TRUE,48
"continuous",4,8,11,0,0.01,0.551472520970115,55.1472520970115,4.14651667589817,0.0915402400066424,4.23805691590481,4.18613545535285,0.05637876975532,TRUE,48
"logistic",4,8,6,0,0.1,0.524772505393528,5.24772505393528,0.468176688244351,0.0226437776961316,0.490820465940482,0.475882114045415,0.0132816957637916,TRUE,48
"continuous",4,9,11,0,0.01,0.576224413513175,57.6224413513175,4.07661230237181,0.17351829281762,4.25013059518943,4.10913098255579,0.140442307116465,TRUE,48
"logistic",4,9,6,0,0.1,0.529844890648157,5.29844890648157,0.479314619849966,0.0139228929472788,0.493237512797244,0.485211696389196,0.0143732174962352,TRUE,48
"continuous",4,10,11,0,0.01,0.571900468877007,57.1900468877007,4.08948850266487,0.140109569129725,4.2295980717946,4.14803354767522,0.12394227630705,TRUE,48
"logistic",4,10,6,0,0.1,0.537863507851458,5.37863507851458,0.454297993955754,0.0261918307306004,0.480489824686355,0.466251540007638,0.019562066219726,TRUE,48
"continuous",5,1,11,0,0.01,0.561867586108735,56.1867586108735,4.15457218351989,0.137522931320291,4.29209511484018,4.19855846964848,0.126480765949216,TRUE,48
"logistic",5,1,6,0,0.1,0.517093940542793,5.17093940542793,0.477223914090047,0.0225813237247485,0.499805237814796,0.486002709114362,0.0180480827603061,TRUE,48
"continuous",5,2,11,0,0.01,0.57271980099117,57.2719800991169,4.09518140938334,0.112785443830301,4.20796685321364,4.16078797460546,0.108512019973708,TRUE,48
"logistic",5,2,6,0,0.1,0.526394634087747,5.26394634087747,0.459968274764684,0.0158262765605751,0.475794551325259,0.474775470615421,0.0140768972810733,TRUE,48
"continuous",5,3,11,0,0.01,0.569866219005694,56.9866219005694,4.12514582930961,0.168880660201402,4.29402648951101,4.16475577715202,0.194686520378244,TRUE,48
"logistic",5,3,6,0,0.1,0.525588868225485,5.25588868225485,0.46733027683135,0.0130076793712556,0.480337956202606,0.479732166672958,0.0105612192420873,TRUE,48
"continuous",5,4,11,0,0.01,0.563544651010346,56.3544651010346,4.22665782660798,0.125834336195318,4.3524921628033,4.25455088356016,0.127650448792314,TRUE,48
"logistic",5,4,6,0,0.1,0.526022261001843,5.26022261001843,0.463737809625665,0.027648122306978,0.491385931932643,0.476606722503992,0.0229234742517595,TRUE,48
"continuous",5,5,11,0,0.01,0.54518590110422,54.518590110422,4.16823706674154,0.162185321277384,4.33042238801892,4.21407730336477,0.183118721834368,TRUE,48
"logistic",5,5,6,0,0.1,0.519017705804938,5.19017705804938,0.467840197998691,0.0171036675189225,0.484943865517613,0.484646845345157,0.0145233968227812,TRUE,48
"continuous",5,6,11,0,0.01,0.535873194635979,53.5873194635979,4.17633881750649,0.163847984680616,4.3401868021871,4.20356037443047,0.167515387280449,TRUE,48
"logistic",5,6,6,0,0.1,0.504795668806186,5.04795668806186,0.484378018192131,0.0241661367666836,0.508544154958815,0.487950983810964,0.0183250667152053,TRUE,48
"continuous",5,7,11,0,0.01,0.584737527410916,58.4737527410916,4.16462309241836,0.0966796634651947,4.26130275588355,4.17316393182899,0.0907731446818566,TRUE,48
"logistic",5,7,6,0,0.1,0.52561821582692,5.2561821582692,0.494192650627337,0.0155778226949513,0.509770473322288,0.494192650627337,0.0155778226949513,TRUE,48
"continuous",5,8,11,0,0.01,0.567119450829185,56.7119450829185,4.17559109991134,0.0512456716062352,4.22683677151757,4.19738357621319,0.0561729277280864,TRUE,48
"logistic",5,8,6,0,0.1,0.512140488470802,5.12140488470802,0.488262586206244,0.0188081330911373,0.507070719297381,0.492751969006766,0.0178320077575981,TRUE,48
"continuous",5,9,11,0,0.01,0.570421481790494,57.0421481790493,4.13043628263934,0.171153609039495,4.30158989167884,4.15643148512792,0.166646134739711,TRUE,48
"logistic",5,9,6,0,0.1,0.523647920081365,5.23647920081365,0.483778541326948,0.024701864367421,0.508480405694369,0.488926740139505,0.0174864871729199,TRUE,48
"continuous",5,10,11,0,0.01,0.548747737003174,54.8747737003174,4.21121662626392,0.0890170905320164,4.30023371679594,4.25399466094753,0.104707852466808,TRUE,48
"logistic",5,10,6,0,0.1,0.532919835407144,5.32919835407144,0.473015327519387,0.0135303525148688,0.486545680034256,0.484628633250746,0.00877221003690425,TRUE,48
