"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"componente","cifose_toracica__linear","continuous","cifose_toracica","linear",FALSE,50,1,0.126448464282555,0.128855907408881,50
"componente","cifose_toracica__linear","logistic","cifose_toracica","linear",FALSE,49,0.98,0.0737728874806482,0.0778362684543633,50
"componente","cifose_toracica__spline_1","continuous","cifose_toracica","spline",TRUE,50,1,1.81198010464649,1.78769472619063,50
"componente","cifose_toracica__spline_1","logistic","cifose_toracica","spline",TRUE,50,1,0.948004816389597,0.912235441811274,50
"componente","cifose_toracica__spline_2","continuous","cifose_toracica","spline",TRUE,50,1,0.545275908538867,0.515409884955158,50
"componente","cifose_toracica__spline_2","logistic","cifose_toracica","spline",TRUE,50,1,0.228647265818573,0.209046302733654,50
"componente","cifose_toracica__spline_3","continuous","cifose_toracica","spline",TRUE,50,1,0.817830371220024,0.815164206680899,50
"componente","cifose_toracica__spline_3","logistic","cifose_toracica","spline",TRUE,50,1,0.616517315431876,0.598010638473921,50
"componente","cobb_inicial_maior__linear","continuous","cobb_inicial_maior","linear",TRUE,50,1,0.29936422723585,0.297064743658844,50
"componente","cobb_inicial_maior__linear","logistic","cobb_inicial_maior","linear",TRUE,50,1,0.145511880426491,0.135862971770739,50
"componente","cobb_inicial_maior__spline_1","continuous","cobb_inicial_maior","spline",TRUE,50,1,0.601729973814199,0.621922683831136,50
"componente","cobb_inicial_maior__spline_1","logistic","cobb_inicial_maior","spline",TRUE,48,0.96,0.0662971074741197,0.0525611019820974,50
"componente","cobb_inicial_maior__spline_2","continuous","cobb_inicial_maior","spline",TRUE,50,1,1.97153689464735,1.96815270756443,50
"componente","cobb_inicial_maior__spline_2","logistic","cobb_inicial_maior","spline",TRUE,50,1,0.419123213992542,0.433826917477718,50
"componente","cobb_inicial_maior__spline_3","continuous","cobb_inicial_maior","spline",TRUE,50,1,1.09280717378246,1.08627789601186,50
"componente","cobb_inicial_maior__spline_3","logistic","cobb_inicial_maior","spline",TRUE,50,1,0.409195171150035,0.40857355375363,50
"componente","correcao_colete__linear","continuous","correcao_colete","linear",FALSE,50,1,0.704167210638736,0.70075938091191,50
"componente","correcao_colete__linear","logistic","correcao_colete","linear",FALSE,50,1,0.399431070493093,0.366518351314028,50
"componente","correcao_colete__spline_1","continuous","correcao_colete","spline",TRUE,50,1,3.27095786986264,3.22164423374227,50
"componente","correcao_colete__spline_1","logistic","correcao_colete","spline",TRUE,50,1,1.48879856786869,1.52275655876591,50
"componente","correcao_colete__spline_2","continuous","correcao_colete","spline",TRUE,50,1,0.444442504378468,0.407365663112933,50
"componente","correcao_colete__spline_2","logistic","correcao_colete","spline",TRUE,49,0.98,0.19683048277815,0.114059387576952,50
"componente","correcao_colete__spline_3","continuous","correcao_colete","spline",TRUE,50,1,1.34983531616424,1.36817806544722,50
"componente","correcao_colete__spline_3","logistic","correcao_colete","spline",TRUE,50,1,1.00869948783594,0.966781599143939,50
"componente","correcao_colete_x_flexibilidade__rigido","continuous","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,0.540713146509865,0.543725133013182,50
"componente","correcao_colete_x_flexibilidade__rigido","logistic","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,0.491592080424573,0.489576093365317,50
"componente","correcao_colete_x_lenke__2","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,1.49475716972732,1.43382605582427,50
