"failure_reason","n","model"
"non_convergence",0,"linear"
"separation_or_nonfinite_coefficients",0,"linear"
"invalid_predictions",0,"linear"
"missing_factor_level",0,"linear"
"calibration_failure",0,"linear"
"outcome_no_variation",0,"linear"
"fit_error",0,"linear"
"non_convergence",0,"logistic"
"separation_or_nonfinite_coefficients",0,"logistic"
"invalid_predictions",0,"logistic"
"missing_factor_level",0,"logistic"
"calibration_failure",0,"logistic"
"outcome_no_variation",0,"logistic"
"fit_error",0,"logistic"
