"model","escala","term","coefficient_apparent","shrinkage_factor","coefficient_shrunk","odds_ratio_apparent","odds_ratio_shrunk"
"linear","linear","(Intercept)",0.154000887786247,,-0.0477475326535348,,
"linear","linear","idade",0.065197340596463,0.958050229513248,0.0624623271220948,,
"linear","linear","imc",0.00609014530726535,0.958050229513248,0.0058346651093946,,
"linear","linear","cifose_toracica",-0.0351216354125182,0.958050229513248,-0.0336482908678437,,
"linear","linear","lordose_lombar",-0.0115428342899372,0.958050229513248,-0.0110586150407077,,
"linear","linear","correcao_colete",-0.123927873842495,0.958050229513248,-0.118729127977891,,
"linear","linear","sexomasculino",-0.612243441955467,0.958050229513248,-0.586559970083416,,
"linear","linear","lenke2",0.245509641487174,0.958050229513248,0.235210568374502,,
"linear","linear","lenke3",3.74935615317449,0.958050229513248,3.59207152307573,,
"linear","linear","lenke4",4.18611908574738,0.958050229513248,4.01051235087007,,
"linear","linear","lenke5",1.13048428564448,0.958050229513248,1.08306072932281,,
"linear","linear","lenke6",2.31443434759802,0.958050229513248,2.21734435790963,,
"linear","linear","risser1",-2.56891366122573,0.958050229513248,-2.46114832273703,,
"linear","linear","risser2",-1.99342886344444,0.958050229513248,-1.90980498014128,,
"linear","linear","risser3",-1.26711049716004,0.958050229513248,-1.21395550262282,,
"linear","linear","risser4",-0.913373954489576,0.958050229513248,-0.875058126730162,,
"linear","linear","flexibilidaderigido",0.827868480037586,0.958050229513248,0.793139587306793,,
"linear","linear","escoliometro_maior_10_graustoracica",-0.0525009055703781,0.958050229513248,-0.0502985046313542,,
"linear","linear","escoliometro_maior_10_grauslombar",-0.381654502303094,0.958050229513248,-0.365644183526244,,
"linear","linear","escoliometro_maior_10_graustoracica_lombar",2.69904565124078,0.958050229513248,2.58582130563796,,
