"model","escala","term","coefficient_apparent","shrinkage_factor","coefficient_shrunk","odds_ratio_apparent","odds_ratio_shrunk"
"linear","linear","(Intercept)",0.154000887786247,,-0.0477475326535348,,
"linear","linear","idade",0.065197340596463,0.958050229513248,0.0624623271220948,,
"linear","linear","imc",0.00609014530726535,0.958050229513248,0.0058346651093946,,
"linear","linear","cifose_toracica",-0.0351216354125182,0.958050229513248,-0.0336482908678437,,
"linear","linear","lordose_lombar",-0.0115428342899372,0.958050229513248,-0.0110586150407077,,
"linear","linear","correcao_colete",-0.123927873842495,0.958050229513248,-0.118729127977891,,
"linear","linear","sexomasculino",-0.612243441955467,0.958050229513248,-0.586559970083416,,
"linear","linear","lenke2",0.245509641487174,0.958050229513248,0.235210568374502,,
"linear","linear","lenke3",3.74935615317449,0.958050229513248,3.59207152307573,,
"linear","linear","lenke4",4.18611908574738,0.958050229513248,4.01051235087007,,
"linear","linear","lenke5",1.13048428564448,0.958050229513248,1.08306072932281,,
"linear","linear","lenke6",2.31443434759802,0.958050229513248,2.21734435790963,,
"linear","linear","risser1",-2.56891366122573,0.958050229513248,-2.46114832273703,,
"linear","linear","risser2",-1.99342886344444,0.958050229513248,-1.90980498014128,,
"linear","linear","risser3",-1.26711049716004,0.958050229513248,-1.21395550262282,,
"linear","linear","risser4",-0.913373954489576,0.958050229513248,-0.875058126730162,,
"linear","linear","flexibilidaderigido",0.827868480037586,0.958050229513248,0.793139587306793,,
"linear","linear","escoliometro_maior_10_graustoracica",-0.0525009055703781,0.958050229513248,-0.0502985046313542,,
"linear","linear","escoliometro_maior_10_grauslombar",-0.381654502303094,0.958050229513248,-0.365644183526244,,
"linear","linear","escoliometro_maior_10_graustoracica_lombar",2.69904565124078,0.958050229513248,2.58582130563796,,
"logistic","logit","(Intercept)",-3.23003250529996,,-2.85706216267901,0.039556212980933,0.0574372539490303
"logistic","logit","idade",-0.0816966921855274,0.883549380927767,-0.072183061804369,0.921551430061458,0.930360566737247
"logistic","logit","imc",0.0558978852735618,0.883549380927767,0.0493885419286269,1.05748969295227,1.05062848466402
"logistic","logit","cifose_toracica",0.0207899780986713,0.883549380927767,0.0183689722785829,1.02100759516163,1.01853871961832
"logistic","logit","lordose_lombar",-0.00984075907997545,0.883549380927767,-0.00869479659297161,0.99020750274891,0.991342893834953
"logistic","logit","correcao_colete",0.0956014397061875,0.883549380927767,0.0844685928682052,1.10032043255436,1.08813866838076
"logistic","logit","sexomasculino",1.09622819163554,0.883549380927767,0.96857174007515,2.99285622800882,2.63417947832466
"logistic","logit","lenke2",-0.902623677854922,0.883549380927767,-0.79751259177946,0.405504350053676,0.450448019873552
"logistic","logit","lenke3",-1.80828073701834,0.883549380927767,-1.59770532573616,0.16393574331036,0.202360336691348
"logistic","logit","lenke4",-2.0469481218535,0.883549380927767,-1.80857974585491,0.12912838695299,0.163886732402193
"logistic","logit","lenke5",-0.986303986811524,0.883549380927767,-0.87144827695391,0.372952584466468,0.418345230538745
"logistic","logit","lenke6",-1.59458414211578,0.883549380927767,-1.40889383160363,0.202992927161605,0.244413496160438
"logistic","logit","risser1",1.83345246640352,0.883549380927767,1.61994579165132,6.25544613805112,5.0528164043063
"logistic","logit","risser2",0.902247707835656,0.883549380927767,0.79718040370169,2.46513779819202,2.21927463988232
"logistic","logit","risser3",0.187033479963831,0.883549380927767,0.165253315434809,1.20566765008353,1.17969191503533
"logistic","logit","risser4",0.693525909402579,0.883549380927767,0.612764387910016,2.00075760113891,1.8455261037156
"logistic","logit","flexibilidaderigido",-0.436800700285599,0.883549380927767,-0.385934988326156,0.646100186162383,0.679814720136588
"logistic","logit","escoliometro_maior_10_graustoracica",-0.00270657026616162,0.883549380927767,-0.0023913884831046,0.997297089192869,0.997611468608408
"logistic","logit","escoliometro_maior_10_grauslombar",0.0183122863215969,0.883549380927767,0.0161798092428189,1.01848098441267,1.01631141116302
"logistic","logit","escoliometro_maior_10_graustoracica_lombar",-1.17273253385019,0.883549380927767,-1.03616710427718,0.30952001075263,0.354812036534993
