"model","term","gvif","df","gvif_adjusted"
"linear","idade",1.80170661234493,1,1.34227665268563
"linear","imc",1.09691231963025,1,1.04733581989267
"linear","cifose_toracica",1.46004580865128,1,1.20832355296554
"linear","lordose_lombar",1.37240231971464,1,1.17149576171433
"linear","correcao_colete",1.1122504417897,1,1.05463284691389
"linear","sexo",1.16680737335693,1,1.08018858231187
"linear","lenke",2.27572339911595,5,1.08570527401069
"linear","risser",1.97440142336356,4,1.08875316856128
"linear","flexibilidade",1.10964471321498,1,1.05339675014449
"linear","escoliometro_maior_10_graus",2.1781049694656,3,1.13853521426731
"logistic","idade",1.90650677744698,1,1.38076311416802
"logistic","imc",1.12657802393085,1,1.06140379871699
"logistic","cifose_toracica",1.45814165202699,1,1.20753536264036
"logistic","lordose_lombar",1.35546575957079,1,1.1642447163594
"logistic","correcao_colete",1.14446850556817,1,1.0697983480863
"logistic","sexo",1.23405429174087,1,1.11087996279565
"logistic","lenke",2.48380453139985,5,1.0952461658424
"logistic","risser",2.22937028043645,4,1.10540843931947
"logistic","flexibilidade",1.12561367818927,1,1.06094942301189
"logistic","escoliometro_maior_10_graus",2.35969813638782,3,1.15383243098589
