"resultado","preliminar_20260721","atual","diferenca","interpretacao"
"n_linear",618,615,-3,"mudança esperada após deduplicação e casos completos"
"r2_linear",0.400150827354268,0.402943114063757,0.00279228670948933,"recalcular; diferença decorre da nova coorte"
"rmse_linear",4.14558433359278,4.13251633220789,-0.0130680013848918,"recalcular; diferença decorre da nova coorte"
"mae_linear",3.29656988557089,3.28303126408354,-0.0135386214873505,"recalcular; diferença decorre da nova coorte"
"calibration_intercept_linear",-0.00000000000000579329088873458,0.0000000000000139998162521017,0.0000000000000197931071408363,"recalcular; diferença decorre da nova coorte"
"calibration_slope_linear",0.999999999999999,1,0.00000000000000277555756156289,"recalcular; diferença decorre da nova coorte"
"max_abs_coefficient_difference_linear",,0.277907561084697,,"diferença absoluta máxima dos coeficientes entre o ajuste atual e 21/07/2026"
"n_logistico",618,615,-3,"mudança esperada após deduplicação e casos completos"
"eventos_logistico",318,317,-1,"mudança esperada após deduplicação e casos completos"
"auc_logistico",0.867269392033542,0.86741790697182,0.000148514938278277,"recalcular; diferença decorre da nova coorte"
"brier_logistico",0.148322399430709,0.14771746002286,-0.000604939407848698,"recalcular; diferença decorre da nova coorte"
"log_loss_logistico",0.456581780011971,0.45481499881369,-0.00176678119828105,"recalcular; diferença decorre da nova coorte"
"calibration_intercept_logistic",0.000000000634045782029618,0.000000000756720780891315,0.000000000122674998861697,"recalcular; diferença decorre da nova coorte"
"calibration_slope_logistic",1.00000000306118,1.00000000331318,0.000000000252003085066121,"recalcular; diferença decorre da nova coorte"
"max_abs_coefficient_difference_logistic",,0.0876624310694605,,"diferença absoluta máxima dos coeficientes entre o ajuste atual e 21/07/2026"
