"etapa","variavel","n","n_ausentes","pct_ausentes"
"base bruta após derivação","idade",621,0,0
"base bruta após derivação","sexo",621,0,0
"base bruta após derivação","altura",621,0,0
"base bruta após derivação","peso",621,0,0
"base bruta após derivação","cobb_toracico_proximal",621,506,81.4814814814815
"base bruta após derivação","cobb_toracica",621,23,3.7037037037037
"base bruta após derivação","cobb_lombar",621,38,6.11916264090177
"base bruta após derivação","lenke",621,3,0.483091787439614
"base bruta após derivação","risser",621,0,0
"base bruta após derivação","cifose_toracica",621,0,0
"base bruta após derivação","lordose_lombar",621,0,0
"base bruta após derivação","escoliometro_cervical",621,266,42.8341384863124
"base bruta após derivação","escoliometro_torarica",621,17,2.73752012882448
"base bruta após derivação","escoliometro_lombar",621,32,5.15297906602254
"base bruta após derivação","flexibilidade",621,0,0
"base bruta após derivação","dif_colete",621,0,0
"base bruta após derivação","correcao_colete",621,0,0
"base bruta após derivação","maior_curva_6_meses",621,0,0
"base bruta após derivação","escoliometro_maior_10_graus",621,0,0
"base bruta após derivação","imc",621,0,0
"base bruta após derivação","cobb_inicial_maior",621,0,0
"base bruta após derivação","regiao_cobb_inicial",621,0,0
"base bruta após derivação","empate_cobb_inicial",621,0,0
"base bruta após derivação","regioes_cobb_inicial_empate",621,610,98.2286634460548
"base bruta após derivação","delta",621,0,0
"base bruta após derivação","delta_cat",621,0,0
"após deduplicação explícita","idade",618,0,0
"após deduplicação explícita","sexo",618,0,0
"após deduplicação explícita","altura",618,0,0
"após deduplicação explícita","peso",618,0,0
"após deduplicação explícita","cobb_toracico_proximal",618,503,81.3915857605178
"após deduplicação explícita","cobb_toracica",618,23,3.72168284789644
"após deduplicação explícita","cobb_lombar",618,38,6.14886731391586
"após deduplicação explícita","lenke",618,3,0.485436893203883
"após deduplicação explícita","risser",618,0,0
"após deduplicação explícita","cifose_toracica",618,0,0
"após deduplicação explícita","lordose_lombar",618,0,0
"após deduplicação explícita","escoliometro_cervical",618,263,42.5566343042071
"após deduplicação explícita","escoliometro_torarica",618,17,2.75080906148867
"após deduplicação explícita","escoliometro_lombar",618,32,5.17799352750809
"após deduplicação explícita","flexibilidade",618,0,0
"após deduplicação explícita","dif_colete",618,0,0
"após deduplicação explícita","correcao_colete",618,0,0
"após deduplicação explícita","maior_curva_6_meses",618,0,0
"após deduplicação explícita","escoliometro_maior_10_graus",618,0,0
"após deduplicação explícita","imc",618,0,0
"após deduplicação explícita","cobb_inicial_maior",618,0,0
"após deduplicação explícita","regiao_cobb_inicial",618,0,0
"após deduplicação explícita","empate_cobb_inicial",618,0,0
"após deduplicação explícita","regioes_cobb_inicial_empate",618,607,98.2200647249191
"após deduplicação explícita","delta",618,0,0
"após deduplicação explícita","delta_cat",618,0,0
"coorte analítica por caso completo","idade",615,0,0
"coorte analítica por caso completo","sexo",615,0,0
"coorte analítica por caso completo","altura",615,0,0
"coorte analítica por caso completo","peso",615,0,0
"coorte analítica por caso completo","cobb_toracico_proximal",615,502,81.6260162601626
"coorte analítica por caso completo","cobb_toracica",615,23,3.73983739837398
"coorte analítica por caso completo","cobb_lombar",615,38,6.17886178861789
"coorte analítica por caso completo","lenke",615,0,0
"coorte analítica por caso completo","risser",615,0,0
"coorte analítica por caso completo","cifose_toracica",615,0,0
"coorte analítica por caso completo","lordose_lombar",615,0,0
"coorte analítica por caso completo","escoliometro_cervical",615,263,42.7642276422764
"coorte analítica por caso completo","escoliometro_torarica",615,17,2.76422764227642
"coorte analítica por caso completo","escoliometro_lombar",615,32,5.20325203252033
"coorte analítica por caso completo","flexibilidade",615,0,0
"coorte analítica por caso completo","dif_colete",615,0,0
"coorte analítica por caso completo","correcao_colete",615,0,0
"coorte analítica por caso completo","maior_curva_6_meses",615,0,0
"coorte analítica por caso completo","escoliometro_maior_10_graus",615,0,0
"coorte analítica por caso completo","imc",615,0,0
"coorte analítica por caso completo","cobb_inicial_maior",615,0,0
"coorte analítica por caso completo","regiao_cobb_inicial",615,0,0
"coorte analítica por caso completo","empate_cobb_inicial",615,0,0
"coorte analítica por caso completo","regioes_cobb_inicial_empate",615,605,98.3739837398374
"coorte analítica por caso completo","delta",615,0,0
"coorte analítica por caso completo","delta_cat",615,0,0
