"medida","valor","fonte"
"Participantes na coorte analítica",615,"coorte/modelos recalculados — Tarefa 03"
"Participantes no modelo linear",615,"coorte/modelos recalculados — Tarefa 03"
"Participantes no modelo logístico",615,"coorte/modelos recalculados — Tarefa 03"
"Parâmetros candidatos — modelo linear",19,"coorte/modelos recalculados — Tarefa 03"
"Parâmetros candidatos — modelo logístico",19,"coorte/modelos recalculados — Tarefa 03"
"Eventos de melhora",317,"coorte/modelos recalculados — Tarefa 03"
"Não eventos",298,"coorte/modelos recalculados — Tarefa 03"
"Prevalência de melhora",0.515447154471545,"coorte/modelos recalculados — Tarefa 03"
"Média de delta",-4.65528455284553,"coorte/modelos recalculados — Tarefa 03"
"DP de delta",5.35254214089323,"coorte/modelos recalculados — Tarefa 03"
"R² linear aparente",0.402943114063757,"coorte/modelos recalculados — Tarefa 03"
"R² linear ajustado",0.382840188611358,"coorte/modelos recalculados — Tarefa 03"
"Cox–Snell aparente",0.378556171891982,"coorte/modelos recalculados — Tarefa 03"
"Cox–Snell máximo",0.749761233499952,"coorte/modelos recalculados — Tarefa 03"
"Nagelkerke aparente",0.504902300862967,"coorte/modelos recalculados — Tarefa 03"
"AUC aparente (somente sensibilidade)",0.86741790697182,"coorte/modelos recalculados — Tarefa 03"
"Eventos por parâmetro observado (descritivo)",16.6842105263158,"coorte/modelos recalculados — Tarefa 03"
"Não eventos por parâmetro observado (descritivo)",15.6842105263158,"coorte/modelos recalculados — Tarefa 03"
"Shrinkage desejado",0.9,"premissa dos cenários"
"Semente comum dos cenários AUC",20260906,"controle de reprodutibilidade"
