"scenario","model","scope","n","calibration_intercept","calibration_slope","calibration_status"
"principal","linear","fit_subset_aparente",615,0.0000000000000139998162521017,1,"ok"
"principal","linear","coorte_completa_615",615,0.0000000000000139998162521017,1,"ok"
"principal","logistic","fit_subset_aparente",615,0.000000000756720780891315,1.00000000331318,"ok"
"principal","logistic","coorte_completa_615",615,0.000000000756720780891315,1.00000000331318,"ok"
"influential_linear","linear","fit_subset_aparente",560,0.00000000000000099642516460108,1,"ok"
"influential_linear","linear","coorte_completa_615",615,-0.291180133628994,0.963758582290913,"ok"
"influential_linear","logistic","fit_subset_aparente",560,0.0000000019617308250571,1.00000001245575,"ok"
"influential_linear","logistic","coorte_completa_615",615,0.0687535820553253,0.883843983034286,"ok"
"influential_logistic","linear","fit_subset_aparente",516,-0.0000000000000180998249721708,0.999999999999999,"ok"
"influential_logistic","linear","coorte_completa_615",615,-0.547255993484525,0.875675529177856,"ok"
"influential_logistic","logistic","fit_subset_aparente",516,0.0000000000000076381033228428,0.999999994822559,"ok"
"influential_logistic","logistic","coorte_completa_615",615,0.114300214245254,0.365676993617959,"ok"
"influential_union","linear","fit_subset_aparente",482,-0.00000000000000287300261296313,1,"ok"
"influential_union","linear","coorte_completa_615",615,-0.737029832052217,0.858416491878052,"ok"
"influential_union","logistic","fit_subset_aparente",482,0.00000000000583713608998275,1.00000000005207,"ok_com_warning: glm.fit: fitted probabilities numerically 0 or 1 occurred"
"influential_union","logistic","coorte_completa_615",615,0.0883144510090697,0.330295536638639,"ok_com_warning: glm.fit: fitted probabilities numerically 0 or 1 occurred"
"hypercorrection","linear","fit_subset_aparente",612,0.00000000000000313840895114394,1,"ok"
"hypercorrection","linear","coorte_completa_615",615,-0.0494115383854606,0.986160575048895,"ok"
"hypercorrection","logistic","fit_subset_aparente",612,0.000000000387831558206085,1.00000000037156,"ok"
"hypercorrection","logistic","coorte_completa_615",615,0.0000014974181562634,1.00000903398095,"ok"
