"repeat_id","outer_fold","n_train","n_test","events_train","nonevents_train","events_test","nonevents_test"
1,1,553,62,285,268,32,30
1,2,553,62,285,268,32,30
1,3,553,62,285,268,32,30
1,4,553,62,285,268,32,30
1,5,553,62,285,268,32,30
1,6,553,62,285,268,32,30
1,7,553,62,285,268,32,30
1,8,554,61,286,268,31,30
1,9,555,60,286,269,31,29
1,10,555,60,286,269,31,29
2,1,553,62,285,268,32,30
2,2,553,62,285,268,32,30
2,3,553,62,285,268,32,30
2,4,553,62,285,268,32,30
2,5,553,62,285,268,32,30
2,6,553,62,285,268,32,30
2,7,553,62,285,268,32,30
2,8,554,61,286,268,31,30
2,9,555,60,286,269,31,29
2,10,555,60,286,269,31,29
3,1,553,62,285,268,32,30
3,2,553,62,285,268,32,30
3,3,553,62,285,268,32,30
3,4,553,62,285,268,32,30
3,5,553,62,285,268,32,30
3,6,553,62,285,268,32,30
3,7,553,62,285,268,32,30
3,8,554,61,286,268,31,30
3,9,555,60,286,269,31,29
3,10,555,60,286,269,31,29
4,1,553,62,285,268,32,30
4,2,553,62,285,268,32,30
4,3,553,62,285,268,32,30
4,4,553,62,285,268,32,30
4,5,553,62,285,268,32,30
4,6,553,62,285,268,32,30
4,7,553,62,285,268,32,30
4,8,554,61,286,268,31,30
4,9,555,60,286,269,31,29
4,10,555,60,286,269,31,29
5,1,553,62,285,268,32,30
5,2,553,62,285,268,32,30
5,3,553,62,285,268,32,30
5,4,553,62,285,268,32,30
5,5,553,62,285,268,32,30
5,6,553,62,285,268,32,30
5,7,553,62,285,268,32,30
5,8,554,61,286,268,31,30
5,9,555,60,286,269,31,29
5,10,555,60,286,269,31,29
