"repeat_id","outer_fold","inner_fold","n_train","n_validation","events_train","nonevents_train","events_validation","nonevents_validation"
1,1,1,442,111,228,214,57,54
1,1,2,442,111,228,214,57,54
1,1,3,442,111,228,214,57,54
1,1,4,443,110,228,215,57,53
1,1,5,443,110,228,215,57,53
1,2,1,442,111,228,214,57,54
1,2,2,442,111,228,214,57,54
1,2,3,442,111,228,214,57,54
1,2,4,443,110,228,215,57,53
1,2,5,443,110,228,215,57,53
1,3,1,442,111,228,214,57,54
1,3,2,442,111,228,214,57,54
1,3,3,442,111,228,214,57,54
1,3,4,443,110,228,215,57,53
1,3,5,443,110,228,215,57,53
1,4,1,442,111,228,214,57,54
1,4,2,442,111,228,214,57,54
1,4,3,442,111,228,214,57,54
1,4,4,443,110,228,215,57,53
1,4,5,443,110,228,215,57,53
1,5,1,442,111,228,214,57,54
1,5,2,442,111,228,214,57,54
1,5,3,442,111,228,214,57,54
1,5,4,443,110,228,215,57,53
1,5,5,443,110,228,215,57,53
1,6,1,442,111,228,214,57,54
1,6,2,442,111,228,214,57,54
1,6,3,442,111,228,214,57,54
1,6,4,443,110,228,215,57,53
1,6,5,443,110,228,215,57,53
1,7,1,442,111,228,214,57,54
1,7,2,442,111,228,214,57,54
1,7,3,442,111,228,214,57,54
1,7,4,443,110,228,215,57,53
1,7,5,443,110,228,215,57,53
1,8,1,442,112,228,214,58,54
1,8,2,443,111,229,214,57,54
1,8,3,443,111,229,214,57,54
1,8,4,444,110,229,215,57,53
1,8,5,444,110,229,215,57,53
1,9,1,443,112,228,215,58,54
1,9,2,444,111,229,215,57,54
1,9,3,444,111,229,215,57,54
1,9,4,444,111,229,215,57,54
1,9,5,445,110,229,216,57,53
1,10,1,443,112,228,215,58,54
1,10,2,444,111,229,215,57,54
1,10,3,444,111,229,215,57,54
1,10,4,444,111,229,215,57,54
1,10,5,445,110,229,216,57,53
2,1,1,442,111,228,214,57,54
2,1,2,442,111,228,214,57,54
2,1,3,442,111,228,214,57,54
2,1,4,443,110,228,215,57,53
2,1,5,443,110,228,215,57,53
2,2,1,442,111,228,214,57,54
2,2,2,442,111,228,214,57,54
2,2,3,442,111,228,214,57,54
2,2,4,443,110,228,215,57,53
2,2,5,443,110,228,215,57,53
2,3,1,442,111,228,214,57,54
2,3,2,442,111,228,214,57,54
2,3,3,442,111,228,214,57,54
2,3,4,443,110,228,215,57,53
2,3,5,443,110,228,215,57,53
2,4,1,442,111,228,214,57,54
2,4,2,442,111,228,214,57,54
2,4,3,442,111,228,214,57,54
2,4,4,443,110,228,215,57,53
2,4,5,443,110,228,215,57,53
2,5,1,442,111,228,214,57,54
2,5,2,442,111,228,214,57,54
2,5,3,442,111,228,214,57,54
2,5,4,443,110,228,215,57,53
2,5,5,443,110,228,215,57,53
2,6,1,442,111,228,214,57,54
2,6,2,442,111,228,214,57,54
2,6,3,442,111,228,214,57,54
2,6,4,443,110,228,215,57,53
2,6,5,443,110,228,215,57,53
2,7,1,442,111,228,214,57,54
2,7,2,442,111,228,214,57,54
2,7,3,442,111,228,214,57,54
2,7,4,443,110,228,215,57,53
2,7,5,443,110,228,215,57,53
2,8,1,442,112,228,214,58,54
2,8,2,443,111,229,214,57,54
2,8,3,443,111,229,214,57,54
2,8,4,444,110,229,215,57,53
2,8,5,444,110,229,215,57,53
2,9,1,443,112,228,215,58,54
2,9,2,444,111,229,215,57,54
2,9,3,444,111,229,215,57,54
2,9,4,444,111,229,215,57,54
2,9,5,445,110,229,216,57,53
2,10,1,443,112,228,215,58,54
2,10,2,444,111,229,215,57,54
2,10,3,444,111,229,215,57,54
2,10,4,444,111,229,215,57,54
2,10,5,445,110,229,216,57,53
3,1,1,442,111,228,214,57,54
3,1,2,442,111,228,214,57,54
3,1,3,442,111,228,214,57,54
3,1,4,443,110,228,215,57,53
3,1,5,443,110,228,215,57,53
3,2,1,442,111,228,214,57,54
3,2,2,442,111,228,214,57,54
3,2,3,442,111,228,214,57,54
3,2,4,443,110,228,215,57,53
3,2,5,443,110,228,215,57,53
3,3,1,442,111,228,214,57,54
3,3,2,442,111,228,214,57,54
3,3,3,442,111,228,214,57,54
3,3,4,443,110,228,215,57,53
3,3,5,443,110,228,215,57,53
3,4,1,442,111,228,214,57,54
3,4,2,442,111,228,214,57,54
3,4,3,442,111,228,214,57,54
3,4,4,443,110,228,215,57,53
3,4,5,443,110,228,215,57,53
3,5,1,442,111,228,214,57,54
3,5,2,442,111,228,214,57,54
3,5,3,442,111,228,214,57,54
3,5,4,443,110,228,215,57,53
3,5,5,443,110,228,215,57,53
3,6,1,442,111,228,214,57,54
3,6,2,442,111,228,214,57,54
3,6,3,442,111,228,214,57,54
3,6,4,443,110,228,215,57,53
3,6,5,443,110,228,215,57,53
3,7,1,442,111,228,214,57,54
3,7,2,442,111,228,214,57,54
3,7,3,442,111,228,214,57,54
3,7,4,443,110,228,215,57,53
3,7,5,443,110,228,215,57,53
3,8,1,442,112,228,214,58,54
3,8,2,443,111,229,214,57,54
3,8,3,443,111,229,214,57,54
3,8,4,444,110,229,215,57,53
3,8,5,444,110,229,215,57,53
3,9,1,443,112,228,215,58,54
3,9,2,444,111,229,215,57,54
3,9,3,444,111,229,215,57,54
3,9,4,444,111,229,215,57,54
3,9,5,445,110,229,216,57,53
3,10,1,443,112,228,215,58,54
3,10,2,444,111,229,215,57,54
3,10,3,444,111,229,215,57,54
3,10,4,444,111,229,215,57,54
