"term","preditor","contraste","multiplicador","beta","erro_padrao","ic95_inf","ic95_sup","beta_pos_shrinkage","metodo_ic","or","or_ic95_inf","or_ic95_sup","or_pos_shrinkage","interpretacao"
"(Intercept)","Intercepto","Todos os numéricos = 0; categorias de referência",1,0.154000887786247,2.40326065551798,-4.56590445730821,4.8739062328807,-0.0477475326535348,"HC3; t595; ajuste sem shrinkage",,,,,"Constante da equação; combinação numérica zero fora do domínio clínico. Não interpretar como paciente típico."
"idade","Idade","+1 ano",1,0.065197340596463,0.131608618716465,-0.193276587944782,0.323671269137708,0.0624623271220948,"HC3; t595; ajuste sem shrinkage",,,,,"+1 ano: delta médio ajustado 0.065° maior (menor redução); IC95% [-0.193; 0.324]°. Demais preditores constantes; associação não causal."
"imc","IMC","+1 kg/m²",1,0.00609014530726535,0.0598514449816416,-0.111455637515693,0.123635928130224,0.0058346651093946,"HC3; t595; ajuste sem shrinkage",,,,,"+1 kg/m²: delta médio ajustado 0.006° maior (menor redução); IC95% [-0.111; 0.124]°. Demais preditores constantes; associação não causal."
"cifose_toracica","Cifose torácica","+10°",10,-0.351216354125182,0.17362392955705,-0.692206629678958,-0.0102260785714066,-0.336482908678437,"HC3; t595; ajuste sem shrinkage",,,,,"+10°: delta médio ajustado 0.351° menor (maior redução); IC95% [-0.692; -0.010]°. Demais preditores constantes; associação não causal."
"lordose_lombar","Lordose lombar","+10°",10,-0.115428342899372,0.174431932701972,-0.458005503485287,0.227148817686544,-0.110586150407077,"HC3; t595; ajuste sem shrinkage",,,,,"+10°: delta médio ajustado 0.115° menor (maior redução); IC95% [-0.458; 0.227]°. Demais preditores constantes; associação não causal."
"correcao_colete","Correção pelo colete","+10 pontos percentuais",10,-1.23927873842495,0.0938743313676983,-1.42364407448296,-1.05491340236694,-1.18729127977891,"HC3; t595; ajuste sem shrinkage",,,,,"+10 pontos percentuais: delta médio ajustado 1.239° menor (maior redução); IC95% [-1.424; -1.055]°. Demais preditores constantes; associação não causal."
"sexomasculino","Sexo: masculino","versus feminino",1,-0.612243441955467,0.67478757140939,-1.93749855225146,0.713011668340521,-0.586559970083416,"HC3; t595; ajuste sem shrinkage",,,,,"versus feminino: delta médio ajustado 0.612° menor (maior redução); IC95% [-1.937; 0.713]°. Demais preditores constantes; associação não causal."
"lenke2","Lenke 2","versus Lenke 1",1,0.245509641487174,1.12106796391081,-1.9562218531502,2.44724113612454,0.235210568374502,"HC3; t595; ajuste sem shrinkage",,,,,"versus Lenke 1: delta médio ajustado 0.246° maior (menor redução); IC95% [-1.956; 2.447]°. Demais preditores constantes; associação não causal."
"lenke3","Lenke 3","versus Lenke 1",1,3.74935615317449,0.829963434058993,2.11934201398671,5.37937029236227,3.59207152307573,"HC3; t595; ajuste sem shrinkage",,,,,"versus Lenke 1: delta médio ajustado 3.749° maior (menor redução); IC95% [2.119; 5.379]°. Demais preditores constantes; associação não causal."
"lenke4","Lenke 4","versus Lenke 1",1,4.18611908574738,0.943646284882013,2.33283649084168,6.03940168065309,4.01051235087007,"HC3; t595; ajuste sem shrinkage",,,,,"versus Lenke 1: delta médio ajustado 4.186° maior (menor redução); IC95% [2.333; 6.039]°. Demais preditores constantes; associação não causal."
"lenke5","Lenke 5","versus Lenke 1",1,1.13048428564448,1.04303554689155,-0.917994742876003,3.17896331416495,1.08306072932281,"HC3; t595; ajuste sem shrinkage",,,,,"versus Lenke 1: delta médio ajustado 1.130° maior (menor redução); IC95% [-0.918; 3.179]°. Demais preditores constantes; associação não causal."
"lenke6","Lenke 6","versus Lenke 1",1,2.31443434759802,0.816704300189969,0.710460603436077,3.91840809175997,2.21734435790963,"HC3; t595; ajuste sem shrinkage",,,,,"versus Lenke 1: delta médio ajustado 2.314° maior (menor redução); IC95% [0.710; 3.918]°. Demais preditores constantes; associação não causal."
"risser1","Risser 1","versus Risser 0",1,-2.56891366122573,0.676285710804644,-3.89711105583995,-1.24071626661151,-2.46114832273703,"HC3; t595; ajuste sem shrinkage",,,,,"versus Risser 0: delta médio ajustado 2.569° menor (maior redução); IC95% [-3.897; -1.241]°. Demais preditores constantes; associação não causal."
"risser2","Risser 2","versus Risser 0",1,-1.99342886344444,0.633643729514719,-3.23787915598981,-0.748978570899077,-1.90980498014128,"HC3; t595; ajuste sem shrinkage",,,,,"versus Risser 0: delta médio ajustado 1.993° menor (maior redução); IC95% [-3.238; -0.749]°. Demais preditores constantes; associação não causal."
"risser3","Risser 3","versus Risser 0",1,-1.26711049716004,0.558375946671392,-2.36373795170406,-0.170483042616016,-1.21395550262282,"HC3; t595; ajuste sem shrinkage",,,,,"versus Risser 0: delta médio ajustado 1.267° menor (maior redução); IC95% [-2.364; -0.170]°. Demais preditores constantes; associação não causal."
"risser4","Risser 4","versus Risser 0",1,-0.913373954489576,0.697848468839661,-2.28391972137494,0.457171812395783,-0.875058126730162,"HC3; t595; ajuste sem shrinkage",,,,,"versus Risser 0: delta médio ajustado 0.913° menor (maior redução); IC95% [-2.284; 0.457]°. Demais preditores constantes; associação não causal."
"flexibilidaderigido","Flexibilidade: rígido","versus flexível",1,0.827868480037586,0.357745049831561,0.125271876958284,1.53046508311689,0.793139587306793,"HC3; t595; ajuste sem shrinkage",,,,,"versus flexível: delta médio ajustado 0.828° maior (menor redução); IC95% [0.125; 1.530]°. Demais preditores constantes; associação não causal."
"escoliometro_maior_10_graustoracica","Escoliômetro: torácica","versus normal",1,-0.0525009055703781,0.481990645420235,-0.999110761800964,0.894108950660207,-0.0502985046313542,"HC3; t595; ajuste sem shrinkage",,,,,"versus normal: delta médio ajustado 0.053° menor (maior redução); IC95% [-0.999; 0.894]°. Demais preditores constantes; associação não causal."
"escoliometro_maior_10_grauslombar","Escoliômetro: lombar","versus normal",1,-0.381654502303094,0.477472305431338,-1.3193905241389,0.556081519532714,-0.365644183526244,"HC3; t595; ajuste sem shrinkage",,,,,"versus normal: delta médio ajustado 0.382° menor (maior redução); IC95% [-1.319; 0.556]°. Demais preditores constantes; associação não causal."
"escoliometro_maior_10_graustoracica_lombar","Escoliômetro: torácica e lombar","versus normal",1,2.69904565124078,0.682015329526789,1.35959552048663,4.03849578199493,2.58582130563796,"HC3; t595; ajuste sem shrinkage",,,,,"versus normal: delta médio ajustado 2.699° maior (menor redução); IC95% [1.360; 4.038]°. Demais preditores constantes; associação não causal."
