"tree_id","repeat_id","outer_fold","fit_origin","node","depth","node_n","variable","split_role","split_rank","count","ncat","improve","index","adjusted_agreement","split_type","cutpoint","left_levels","right_levels","left_rule","right_rule"
1,1,1,"outer_training_saved_hyperparameters",1,0,553,"lenke","competitor",1,553,6,13.9070438870593,1,0,"categorical",,"3 | 4","1 | 2 | 5 | 6","lenke in {3 | 4}","lenke in {1 | 2 | 5 | 6}"
1,1,1,"outer_training_saved_hyperparameters",1,0,553,"risser","competitor",2,553,5,11.6746398391047,2,0,"categorical",,"0 | 3 | 4","1 | 2","risser in {0 | 3 | 4}","risser in {1 | 2}"
1,1,1,"outer_training_saved_hyperparameters",1,0,553,"flexibilidade","competitor",3,553,2,7.62207224570926,3,0,"categorical",,"rigido","flexivel","flexibilidade in {rigido}","flexibilidade in {flexivel}"
1,1,1,"outer_training_saved_hyperparameters",1,0,553,"cifose_toracica","competitor",4,553,1,5.66170357671257,49.5,0,"continuous",49.5,,,"cifose_toracica >= 49.5","cifose_toracica < 49.5"
1,1,1,"outer_training_saved_hyperparameters",2,1,334,"risser","competitor",1,334,5,5.1241903735781,6,0,"categorical",,"0 | 2 | 3 | 4","1","risser in {0 | 2 | 3 | 4}","risser in {1}"
1,1,1,"outer_training_saved_hyperparameters",2,1,334,"lenke","competitor",2,334,6,4.26962862791166,7,0,"categorical",,"3 | 4","1 | 2 | 5 | 6","lenke in {3 | 4}","lenke in {1 | 2 | 5 | 6}"
1,1,1,"outer_training_saved_hyperparameters",2,1,334,"cifose_toracica","competitor",3,334,-1,4.15253604939653,25.5,0,"continuous",25.5,,,"cifose_toracica < 25.5","cifose_toracica >= 25.5"
1,1,1,"outer_training_saved_hyperparameters",2,1,334,"flexibilidade","competitor",4,334,2,3.47856288305323,8,0,"categorical",,"rigido","flexivel","flexibilidade in {rigido}","flexibilidade in {flexivel}"
1,1,1,"outer_training_saved_hyperparameters",5,2,277,"imc","competitor",1,277,1,4.06468995540456,14.9555555555556,0,"continuous",14.9555555555556,,,"imc >= 14.955555555555556","imc < 14.955555555555556"
1,1,1,"outer_training_saved_hyperparameters",5,2,277,"cifose_toracica","competitor",2,277,-1,3.71271527889427,9.5,0,"continuous",9.5,,,"cifose_toracica < 9.5","cifose_toracica >= 9.5"
1,1,1,"outer_training_saved_hyperparameters",5,2,277,"lenke","competitor",3,277,6,3.08930524455819,10,0,"categorical",,"2 | 3 | 4 | 6","1 | 5","lenke in {2 | 3 | 4 | 6}","lenke in {1 | 5}"
1,1,1,"outer_training_saved_hyperparameters",5,2,277,"sexo","competitor",4,277,2,2.57220320166692,11,0,"categorical",,"feminino","masculino","sexo in {feminino}","sexo in {masculino}"
1,1,1,"outer_training_saved_hyperparameters",10,3,127,"lordose_lombar","competitor",1,127,-1,4.10249454112353,75.5,0,"continuous",75.5,,,"lordose_lombar < 75.5","lordose_lombar >= 75.5"
1,1,1,"outer_training_saved_hyperparameters",10,3,127,"lenke","competitor",2,127,6,3.01706036745406,14,0,"categorical",,"4","1 | 2 | 3 | 5 | 6","lenke in {4}","lenke in {1 | 2 | 3 | 5 | 6}"
1,1,1,"outer_training_saved_hyperparameters",10,3,127,"cifose_toracica","competitor",3,127,-1,2.36448304786642,30.5,0,"continuous",30.5,,,"cifose_toracica < 30.5","cifose_toracica >= 30.5"
1,1,1,"outer_training_saved_hyperparameters",10,3,127,"correcao_colete","competitor",4,127,1,1.26944131983502,47.2953216374269,0,"continuous",47.2953216374269,,,"correcao_colete >= 47.295321637426895","correcao_colete < 47.295321637426895"
1,1,1,"outer_training_saved_hyperparameters",21,4,32,"cifose_toracica","competitor",1,32,-1,3.20320048309179,30.5,0,"continuous",30.5,,,"cifose_toracica < 30.5","cifose_toracica >= 30.5"
1,1,1,"outer_training_saved_hyperparameters",21,4,32,"idade","competitor",2,32,1,2.76001082251082,11.5,0,"continuous",11.5,,,"idade >= 11.5","idade < 11.5"
1,1,1,"outer_training_saved_hyperparameters",21,4,32,"risser","competitor",3,32,5,2.39160628019324,16,0,"categorical",,"3","0","risser in {3}","risser in {0}"
1,1,1,"outer_training_saved_hyperparameters",21,4,32,"lenke","competitor",4,32,6,2.10113636363636,17,0,"categorical",,"2 | 4 | 5 | 6","1 | 3","lenke in {2 | 4 | 5 | 6}","lenke in {1 | 3}"
1,1,1,"outer_training_saved_hyperparameters",11,3,150,"imc","competitor",1,150,-1,4.10024691358025,18.5016174934993,0,"continuous",18.5016174934993,,,"imc < 18.501617493499317","imc >= 18.501617493499317"
1,1,1,"outer_training_saved_hyperparameters",11,3,150,"flexibilidade","competitor",2,150,2,3.84,18,0,"categorical",,"rigido","flexivel","flexibilidade in {rigido}","flexibilidade in {flexivel}"
1,1,1,"outer_training_saved_hyperparameters",11,3,150,"sexo","competitor",3,150,2,3.56024767801858,19,0,"categorical",,"feminino","masculino","sexo in {feminino}","sexo in {masculino}"
1,1,1,"outer_training_saved_hyperparameters",11,3,150,"correcao_colete","competitor",4,150,-1,3.54857142857145,45.3463203463204,0,"continuous",45.3463203463204,,,"correcao_colete < 45.346320346320354","correcao_colete >= 45.346320346320354"
1,1,1,"outer_training_saved_hyperparameters",22,4,47,"risser","competitor",1,47,5,2.46565349544073,21,0,"categorical",,"4","1 | 2","risser in {4}","risser in {1 | 2}"
1,1,1,"outer_training_saved_hyperparameters",22,4,47,"lordose_lombar","competitor",2,47,-1,1.73248724648501,71.5,0,"continuous",71.5,,,"lordose_lombar < 71.5","lordose_lombar >= 71.5"
1,1,1,"outer_training_saved_hyperparameters",22,4,47,"flexibilidade","competitor",3,47,2,1.47517730496454,22,0,"categorical",,"rigido","flexivel","flexibilidade in {rigido}","flexibilidade in {flexivel}"
1,1,1,"outer_training_saved_hyperparameters",22,4,47,"cifose_toracica","competitor",4,47,-1,1.45214700193424,25,0,"continuous",25,,,"cifose_toracica < 25","cifose_toracica >= 25"
1,1,1,"outer_training_saved_hyperparameters",23,4,103,"cifose_toracica","competitor",1,103,-1,5.49120104126545,9.5,0,"continuous",9.5,,,"cifose_toracica < 9.5","cifose_toracica >= 9.5"
1,1,1,"outer_training_saved_hyperparameters",23,4,103,"imc","competitor",2,103,-1,5.04043456044078,18.5016174934993,0,"continuous",18.5016174934993,,,"imc < 18.501617493499317","imc >= 18.501617493499317"
1,1,1,"outer_training_saved_hyperparameters",23,4,103,"flexibilidade","competitor",3,103,2,4.93583592915122,23,0,"categorical",,"rigido","flexivel","flexibilidade in {rigido}","flexibilidade in {flexivel}"
1,1,1,"outer_training_saved_hyperparameters",23,4,103,"lenke","competitor",4,103,6,4.67040760761292,24,0,"categorical",,"1 | 3 | 6","2 | 4 | 5","lenke in {1 | 3 | 6}","lenke in {2 | 4 | 5}"
1,1,1,"outer_training_saved_hyperparameters",3,1,219,"imc","competitor",1,219,-1,4.50019451868906,16.4133360721146,0,"continuous",16.4133360721146,,,"imc < 16.413336072114554","imc >= 16.413336072114554"
1,1,1,"outer_training_saved_hyperparameters",3,1,219,"cifose_toracica","competitor",2,219,1,4.01652370588487,52,0,"continuous",52,,,"cifose_toracica >= 52","cifose_toracica < 52"
1,1,1,"outer_training_saved_hyperparameters",3,1,219,"idade","competitor",3,219,-1,3.38699922460585,12.5,0,"continuous",12.5,,,"idade < 12.5","idade >= 12.5"
1,1,1,"outer_training_saved_hyperparameters",3,1,219,"escoliometro_maior_10_graus","competitor",4,219,4,2.29299449940492,26,0,"categorical",,"toracica_lombar","normal | toracica | lombar","escoliometro_maior_10_graus in {toracica_lombar}","escoliometro_maior_10_graus in {normal | toracica | lombar}"
1,1,1,"outer_training_saved_hyperparameters",6,2,59,"correcao_colete","competitor",1,59,1,5.29001883239171,53.529900332226,0,"continuous",53.529900332226,,,"correcao_colete >= 53.529900332225949","correcao_colete < 53.529900332225949"
