"scope","variable","n_splits","trees_with_cutpoint","denominator_trees","relative_trees","min","median","q25","q75","max"
"root","correcao_colete",50,50,50,1,45.3463203463204,49.4186046511628,49.4186046511628,49.4186046511628,54.858934169279
"non_root","cifose_toracica",25,21,50,0.42,9.5,19.5,9.5,30.5,52
"non_root","correcao_colete",83,49,50,0.98,29.4489611562782,29.8648648648648,29.4489611562782,61.7216117216117,61.8503118503118
"non_root","idade",10,10,50,0.2,11.5,12,11.5,12.5,12.5
"non_root","imc",30,23,50,0.46,15.4192646666809,15.8393962241586,15.8393962241586,16.6266216818838,24.1981283732501
"non_root","lordose_lombar",23,14,50,0.28,40.5,61.5,45.75,61.5,75.5
"all_levels","cifose_toracica",25,21,50,0.42,9.5,19.5,9.5,30.5,52
"all_levels","correcao_colete",133,50,50,1,29.4489611562782,49.4186046511628,29.4489611562782,54.858934169279,61.8503118503118
"all_levels","idade",10,10,50,0.2,11.5,12,11.5,12.5,12.5
"all_levels","imc",30,23,50,0.46,15.4192646666809,15.8393962241586,15.8393962241586,16.6266216818838,24.1981283732501
"all_levels","lordose_lombar",23,14,50,0.28,40.5,61.5,45.75,61.5,75.5
