"tree_id","repeat_id","outer_fold","fit_origin","leaf_node","depth","node_n","predicted_class","event_n","event_probability","rule"
1,1,1,"outer_training_saved_hyperparameters",4,2,57,"nao_melhora",2,0.0350877192982456,"correcao_colete < 49.418604651162795 & correcao_colete < 29.448961156278202"
1,1,1,"outer_training_saved_hyperparameters",20,4,95,"nao_melhora",16,0.168421052631579,"correcao_colete < 49.418604651162795 & correcao_colete >= 29.448961156278202 & risser in {0 | 3} & imc >= 16.895097252840038"
1,1,1,"outer_training_saved_hyperparameters",42,5,26,"nao_melhora",11,0.423076923076923,"correcao_colete < 49.418604651162795 & correcao_colete >= 29.448961156278202 & risser in {0 | 3} & imc < 16.895097252840038 & lordose_lombar < 71.5"
1,1,1,"outer_training_saved_hyperparameters",43,5,6,"melhora",6,1,"correcao_colete < 49.418604651162795 & correcao_colete >= 29.448961156278202 & risser in {0 | 3} & imc < 16.895097252840038 & lordose_lombar >= 71.5"
1,1,1,"outer_training_saved_hyperparameters",44,5,41,"nao_melhora",8,0.195121951219512,"correcao_colete < 49.418604651162795 & correcao_colete >= 29.448961156278202 & risser in {1 | 2 | 4} & lordose_lombar >= 61.5 & imc < 24.198128373250128"
1,1,1,"outer_training_saved_hyperparameters",45,5,6,"melhora",5,0.833333333333333,"correcao_colete < 49.418604651162795 & correcao_colete >= 29.448961156278202 & risser in {1 | 2 | 4} & lordose_lombar >= 61.5 & imc >= 24.198128373250128"
1,1,1,"outer_training_saved_hyperparameters",46,5,18,"nao_melhora",3,0.166666666666667,"correcao_colete < 49.418604651162795 & correcao_colete >= 29.448961156278202 & risser in {1 | 2 | 4} & lordose_lombar < 61.5 & lordose_lombar < 40.5"
1,1,1,"outer_training_saved_hyperparameters",47,5,85,"melhora",53,0.623529411764706,"correcao_colete < 49.418604651162795 & correcao_colete >= 29.448961156278202 & risser in {1 | 2 | 4} & lordose_lombar < 61.5 & lordose_lombar >= 40.5"
1,1,1,"outer_training_saved_hyperparameters",24,4,15,"nao_melhora",2,0.133333333333333,"correcao_colete >= 49.418604651162795 & correcao_colete < 54.858934169278953 & idade < 12.5 & escoliometro_maior_10_graus in {normal | toracica | toracica_lombar}"
1,1,1,"outer_training_saved_hyperparameters",25,4,3,"melhora",3,1,"correcao_colete >= 49.418604651162795 & correcao_colete < 54.858934169278953 & idade < 12.5 & escoliometro_maior_10_graus in {lombar}"
1,1,1,"outer_training_saved_hyperparameters",26,4,3,"nao_melhora",0,0,"correcao_colete >= 49.418604651162795 & correcao_colete < 54.858934169278953 & idade >= 12.5 & cifose_toracica >= 43"
1,1,1,"outer_training_saved_hyperparameters",27,4,38,"melhora",31,0.81578947368421,"correcao_colete >= 49.418604651162795 & correcao_colete < 54.858934169278953 & idade >= 12.5 & cifose_toracica < 43"
1,1,1,"outer_training_saved_hyperparameters",56,5,5,"nao_melhora",0,0,"correcao_colete >= 49.418604651162795 & correcao_colete >= 54.858934169278953 & lordose_lombar >= 67.5 & lenke in {6} & imc >= 18.210710705355623"
1,1,1,"outer_training_saved_hyperparameters",57,5,7,"melhora",5,0.714285714285714,"correcao_colete >= 49.418604651162795 & correcao_colete >= 54.858934169278953 & lordose_lombar >= 67.5 & lenke in {6} & imc < 18.210710705355623"
1,1,1,"outer_training_saved_hyperparameters",29,4,13,"melhora",13,1,"correcao_colete >= 49.418604651162795 & correcao_colete >= 54.858934169278953 & lordose_lombar >= 67.5 & lenke in {2 | 4 | 5}"
1,1,1,"outer_training_saved_hyperparameters",15,3,135,"melhora",127,0.940740740740741,"correcao_colete >= 49.418604651162795 & correcao_colete >= 54.858934169278953 & lordose_lombar < 67.5"
