"tree_id","repeat_id","outer_fold","fit_origin","node","depth","node_n","variable","split_role","split_rank","count","ncat","improve","index","adjusted_agreement","split_type","cutpoint","left_levels","right_levels","left_rule","right_rule"
1,1,1,"outer_training_saved_hyperparameters",1,0,553,"correcao_colete","primary",1,553,-1,70.1923796885903,49.4186046511628,0,"continuous",49.4186046511628,,,"correcao_colete < 49.418604651162795","correcao_colete >= 49.418604651162795"
1,1,1,"outer_training_saved_hyperparameters",2,1,334,"correcao_colete","primary",1,334,-1,10.4930173853319,29.4489611562782,0,"continuous",29.4489611562782,,,"correcao_colete < 29.448961156278202","correcao_colete >= 29.448961156278202"
1,1,1,"outer_training_saved_hyperparameters",5,2,277,"risser","primary",1,277,5,5.51047272520539,9,0,"categorical",,"0 | 3","1 | 2 | 4","risser in {0 | 3}","risser in {1 | 2 | 4}"
1,1,1,"outer_training_saved_hyperparameters",10,3,127,"imc","primary",1,127,1,6.30236738499792,16.89509725284,0,"continuous",16.89509725284,,,"imc >= 16.895097252840038","imc < 16.895097252840038"
1,1,1,"outer_training_saved_hyperparameters",21,4,32,"lordose_lombar","primary",1,32,-1,3.24519230769231,71.5,0,"continuous",71.5,,,"lordose_lombar < 71.5","lordose_lombar >= 71.5"
1,1,1,"outer_training_saved_hyperparameters",11,3,150,"lordose_lombar","primary",1,150,1,4.60469324519728,61.5,0,"continuous",61.5,,,"lordose_lombar >= 61.5","lordose_lombar < 61.5"
1,1,1,"outer_training_saved_hyperparameters",22,4,47,"imc","primary",1,47,-1,4.2637951911434,24.1981283732501,0,"continuous",24.1981283732501,,,"imc < 24.198128373250128","imc >= 24.198128373250128"
1,1,1,"outer_training_saved_hyperparameters",23,4,103,"lordose_lombar","primary",1,103,-1,6.20091376356368,40.5,0,"continuous",40.5,,,"lordose_lombar < 40.5","lordose_lombar >= 40.5"
1,1,1,"outer_training_saved_hyperparameters",3,1,219,"correcao_colete","primary",1,219,-1,7.55748877795836,54.858934169279,0,"continuous",54.858934169279,,,"correcao_colete < 54.858934169278953","correcao_colete >= 54.858934169278953"
1,1,1,"outer_training_saved_hyperparameters",6,2,59,"idade","primary",1,59,-1,5.72362316843508,12.5,0,"continuous",12.5,,,"idade < 12.5","idade >= 12.5"
1,1,1,"outer_training_saved_hyperparameters",12,3,18,"escoliometro_maior_10_graus","primary",1,18,4,3.75555555555556,33,0,"categorical",,"normal | toracica | toracica_lombar","lombar","escoliometro_maior_10_graus in {normal | toracica | toracica_lombar}","escoliometro_maior_10_graus in {lombar}"
1,1,1,"outer_training_saved_hyperparameters",13,3,41,"cifose_toracica","primary",1,41,1,3.70089858793325,43,0,"continuous",43,,,"cifose_toracica >= 43","cifose_toracica < 43"
1,1,1,"outer_training_saved_hyperparameters",7,2,160,"lordose_lombar","primary",1,160,1,2.05564814814815,67.5,0,"continuous",67.5,,,"lordose_lombar >= 67.5","lordose_lombar < 67.5"
1,1,1,"outer_training_saved_hyperparameters",14,3,25,"lenke","primary",1,25,6,4.24666666666667,39,0,"categorical",,"6","2 | 4 | 5","lenke in {6}","lenke in {2 | 4 | 5}"
1,1,1,"outer_training_saved_hyperparameters",28,4,12,"imc","primary",1,12,1,2.97619047619048,18.2107107053556,0,"continuous",18.2107107053556,,,"imc >= 18.210710705355623","imc < 18.210710705355623"
2,1,2,"outer_training_saved_hyperparameters",1,0,553,"correcao_colete","primary",1,553,-1,75.5906629567625,49.4186046511628,0,"continuous",49.4186046511628,,,"correcao_colete < 49.418604651162795","correcao_colete >= 49.418604651162795"
2,1,2,"outer_training_saved_hyperparameters",2,1,335,"correcao_colete","primary",1,335,-1,10.7471732247851,29.4489611562782,0,"continuous",29.4489611562782,,,"correcao_colete < 29.448961156278202","correcao_colete >= 29.448961156278202"
2,1,2,"outer_training_saved_hyperparameters",5,2,275,"risser","primary",1,275,5,5.69085127908657,8,0,"categorical",,"0 | 2 | 3 | 4","1","risser in {0 | 2 | 3 | 4}","risser in {1}"
2,1,2,"outer_training_saved_hyperparameters",10,3,238,"lenke","primary",1,238,6,5.39899345899939,11,0,"categorical",,"2 | 3 | 4 | 6","1 | 5","lenke in {2 | 3 | 4 | 6}","lenke in {1 | 5}"
2,1,2,"outer_training_saved_hyperparameters",20,4,199,"sexo","primary",1,199,2,7.56074857043839,14,0,"categorical",,"feminino","masculino","sexo in {feminino}","sexo in {masculino}"
2,1,2,"outer_training_saved_hyperparameters",3,1,218,"correcao_colete","primary",1,218,-1,6.44395921596394,61.7216117216117,0,"continuous",61.7216117216117,,,"correcao_colete < 61.721611721611694","correcao_colete >= 61.721611721611694"
2,1,2,"outer_training_saved_hyperparameters",6,2,117,"cifose_toracica","primary",1,117,-1,2.67032967032967,21.5,0,"continuous",21.5,,,"cifose_toracica < 21.5","cifose_toracica >= 21.5"
2,1,2,"outer_training_saved_hyperparameters",12,3,54,"imc","primary",1,54,-1,4.00238095238095,16.5929652318552,0,"continuous",16.5929652318552,,,"imc < 16.592965231855246","imc >= 16.592965231855246"
3,1,3,"outer_training_saved_hyperparameters",1,0,553,"correcao_colete","primary",1,553,-1,70.4812095315872,49.4186046511628,0,"continuous",49.4186046511628,,,"correcao_colete < 49.418604651162795","correcao_colete >= 49.418604651162795"
3,1,3,"outer_training_saved_hyperparameters",2,1,336,"correcao_colete","primary",1,336,-1,11.6625111773472,29.4489611562782,0,"continuous",29.4489611562782,,,"correcao_colete < 29.448961156278202","correcao_colete >= 29.448961156278202"
3,1,3,"outer_training_saved_hyperparameters",5,2,275,"risser","primary",1,275,5,7.75606574216744,9,0,"categorical",,"0 | 2 | 3 | 4","1","risser in {0 | 2 | 3 | 4}","risser in {1}"
3,1,3,"outer_training_saved_hyperparameters",3,1,217,"correcao_colete","primary",1,217,-1,6.47518223139651,61.7216117216117,0,"continuous",61.7216117216117,,,"correcao_colete < 61.721611721611694","correcao_colete >= 61.721611721611694"
3,1,3,"outer_training_saved_hyperparameters",6,2,116,"escoliometro_maior_10_graus","primary",1,116,4,3.72413793103448,16,0,"categorical",,"toracica_lombar","normal | toracica | lombar","escoliometro_maior_10_graus in {toracica_lombar}","escoliometro_maior_10_graus in {normal | toracica | lombar}"
4,1,4,"outer_training_saved_hyperparameters",1,0,553,"correcao_colete","primary",1,553,-1,70.1923796885903,49.4186046511628,0,"continuous",49.4186046511628,,,"correcao_colete < 49.418604651162795","correcao_colete >= 49.418604651162795"
4,1,4,"outer_training_saved_hyperparameters",2,1,334,"correcao_colete","primary",1,334,-1,9.95963264087661,29.4489611562782,0,"continuous",29.4489611562782,,,"correcao_colete < 29.448961156278202","correcao_colete >= 29.448961156278202"
4,1,4,"outer_training_saved_hyperparameters",5,2,279,"risser","primary",1,279,5,7.60199498337515,9,0,"categorical",,"0 | 2 | 3 | 4","1","risser in {0 | 2 | 3 | 4}","risser in {1}"
4,1,4,"outer_training_saved_hyperparameters",10,3,237,"lenke","primary",1,237,6,5.24941206708219,12,0,"categorical",,"2 | 3 | 4 | 6","1 | 5","lenke in {2 | 3 | 4 | 6}","lenke in {1 | 5}"
4,1,4,"outer_training_saved_hyperparameters",3,1,219,"correcao_colete","primary",1,219,-1,7.23960396832067,54.858934169279,0,"continuous",54.858934169279,,,"correcao_colete < 54.858934169278953","correcao_colete >= 54.858934169278953"
4,1,4,"outer_training_saved_hyperparameters",6,2,56,"risser","primary",1,56,5,6.05118411000764,16,0,"categorical",,"0 | 3","1 | 2 | 4","risser in {0 | 3}","risser in {1 | 2 | 4}"
5,1,5,"outer_training_saved_hyperparameters",1,0,553,"correcao_colete","primary",1,553,-1,64.4669740922748,54.858934169279,0,"continuous",54.858934169279,,,"correcao_colete < 54.858934169278953","correcao_colete >= 54.858934169278953"
5,1,5,"outer_training_saved_hyperparameters",2,1,393,"correcao_colete","primary",1,393,-1,17.1820710447848,29.4489611562782,0,"continuous",29.4489611562782,,,"correcao_colete < 29.448961156278202","correcao_colete >= 29.448961156278202"
5,1,5,"outer_training_saved_hyperparameters",5,2,332,"risser","primary",1,332,5,9.02836698908308,6,0,"categorical",,"0 | 2 | 3 | 4","1","risser in {0 | 2 | 3 | 4}","risser in {1}"
6,1,6,"outer_training_saved_hyperparameters",1,0,553,"correcao_colete","primary",1,553,-1,69.9130424474197,49.4186046511628,0,"continuous",49.4186046511628,,,"correcao_colete < 49.418604651162795","correcao_colete >= 49.418604651162795"
