"scope","variable","n_primary_splits","trees_with_variable","denominator_trees","relative_frequency"
"root","correcao_colete",50,50,50,1
"depths_1_2","correcao_colete",80,49,50,0.98
"depths_1_2","risser",44,43,50,0.86
"depths_1_2","imc",12,12,50,0.24
"depths_1_2","escoliometro_maior_10_graus",10,10,50,0.2
"depths_1_2","cifose_toracica",6,6,50,0.12
"depths_1_2","idade",5,5,50,0.1
"depths_1_2","lenke",3,2,50,0.04
"depths_1_2","lordose_lombar",1,1,50,0.02
"deeper_than_2","lenke",22,21,50,0.42
"deeper_than_2","lordose_lombar",22,14,50,0.28
"deeper_than_2","cifose_toracica",19,15,50,0.3
"deeper_than_2","imc",18,12,50,0.24
"deeper_than_2","sexo",6,6,50,0.12
"deeper_than_2","idade",5,5,50,0.1
"deeper_than_2","escoliometro_maior_10_graus",4,4,50,0.08
"deeper_than_2","correcao_colete",3,3,50,0.06
"deeper_than_2","risser",3,3,50,0.06
"all_levels","correcao_colete",133,50,50,1
"all_levels","risser",47,46,50,0.92
"all_levels","imc",30,23,50,0.46
"all_levels","cifose_toracica",25,21,50,0.42
"all_levels","lenke",25,22,50,0.44
"all_levels","lordose_lombar",23,14,50,0.28
"all_levels","escoliometro_maior_10_graus",14,14,50,0.28
"all_levels","idade",10,10,50,0.2
"all_levels","sexo",6,6,50,0.12
