"term","estimate","std_error","statistic","p_value","conf_low","conf_high","escala","covariance","reference_distribution","degrees_freedom","confidence_level"
"(Intercept)",0.154000887786247,2.35151540208959,0.0654900612810783,0.947805816839635,-4.46427890217788,4.77228067775037,"linear","classica_modelo","t",595,0.95
"idade",0.065197340596463,0.134669739106541,0.484127622352364,0.628473440509459,-0.199288502822982,0.329683184015908,"linear","classica_modelo","t",595,0.95
"imc",0.00609014530726535,0.0607702634411607,0.100215878003589,0.920206697870458,-0.11326015928003,0.12544044989456,"linear","classica_modelo","t",595,0.95
"cifose_toracica",-0.0351216354125182,0.0179080436038877,-1.96122123607592,0.0503191876919705,-0.070292298458203,0.0000490276331665609,"linear","classica_modelo","t",595,0.95
"lordose_lombar",-0.0115428342899372,0.0170637612601569,-0.67645310514799,0.499015877568587,-0.045055361445204,0.0219696928653297,"linear","classica_modelo","t",595,0.95
"correcao_colete",-0.123927873842495,0.0091195854171348,-13.5892004048393,0.000000000000000000000000000000000000795931225220258,-0.141838365514112,-0.106017382170877,"linear","classica_modelo","t",595,0.95
"sexomasculino",-0.612243441955467,0.59932860663981,-1.02154883843784,0.307409645525368,-1.78930024078928,0.56481335687835,"linear","classica_modelo","t",595,0.95
"lenke2",0.245509641487174,0.971848426059204,0.252621329524299,0.800648092157195,-1.66316080183177,2.15418008480612,"linear","classica_modelo","t",595,0.95
"lenke3",3.74935615317449,0.797302873265754,4.70254940612107,0.0000031966545541406,2.1834860156404,5.31522629070858,"linear","classica_modelo","t",595,0.95
"lenke4",4.18611908574738,0.894938186779372,4.67755108407212,0.00000359631067598482,2.42849719749711,5.94374097399766,"linear","classica_modelo","t",595,0.95
"lenke5",1.13048428564448,0.951570527906199,1.18801943995886,0.235299750795753,-0.738361197506333,2.99932976879528,"linear","classica_modelo","t",595,0.95
"lenke6",2.31443434759802,0.803153579782116,2.88168341131704,0.00409824191504615,0.737073662463217,3.89179503273283,"linear","classica_modelo","t",595,0.95
"risser1",-2.56891366122573,0.593172504302192,-4.33080367446869,0.0000174343700414025,-3.7338801275933,-1.40394719485816,"linear","classica_modelo","t",595,0.95
"risser2",-1.99342886344444,0.566745809274226,-3.51732439979966,0.000469154109654297,-3.10649438480661,-0.880363342082273,"linear","classica_modelo","t",595,0.95
"risser3",-1.26711049716004,0.56232158746177,-2.25335559831443,0.0246000250983336,-2.37148702836521,-0.162733965954869,"linear","classica_modelo","t",595,0.95
"risser4",-0.913373954489576,0.658075045023789,-1.38794801808137,0.165672366754151,-2.20580634851619,0.379058439537033,"linear","classica_modelo","t",595,0.95
"flexibilidaderigido",0.827868480037586,0.370509734796824,2.23440412568798,0.0258270717482243,0.100202559297021,1.55553440077815,"linear","classica_modelo","t",595,0.95
"escoliometro_maior_10_graustoracica",-0.0525009055703781,0.517548775177507,-0.101441464241456,0.919234196701707,-1.06894547004102,0.963943658900265,"linear","classica_modelo","t",595,0.95
"escoliometro_maior_10_grauslombar",-0.381654502303094,0.488155709289593,-0.781829434830356,0.434625817029121,-1.34037229108066,0.577063286474475,"linear","classica_modelo","t",595,0.95
"escoliometro_maior_10_graustoracica_lombar",2.69904565124078,0.734933356867708,3.67250394341078,0.000261819396264904,1.25566668549956,4.142424616982,"linear","classica_modelo","t",595,0.95
