"term","estimate","std_error","statistic","p_value","conf_low","conf_high","escala","covariance","reference_distribution","degrees_freedom","confidence_level"
"(Intercept)",0.154000887786247,2.40326065551798,0.0640799771063763,0.948928066985789,-4.56590445730821,4.8739062328807,"linear","HC3","t",595,0.95
"idade",0.065197340596463,0.131608618716465,0.495388077409452,0.620509110947713,-0.193276587944782,0.323671269137708,"linear","HC3","t",595,0.95
"imc",0.00609014530726535,0.0598514449816416,0.101754357127608,0.918985935929714,-0.111455637515693,0.123635928130224,"linear","HC3","t",595,0.95
"cifose_toracica",-0.0351216354125182,0.017362392955705,-2.02285684364596,0.043534635692975,-0.0692206629678958,-0.00102260785714066,"linear","HC3","t",595,0.95
"lordose_lombar",-0.0115428342899372,0.0174431932701972,-0.661738599758498,0.50839494887542,-0.0458005503485287,0.0227148817686544,"linear","HC3","t",595,0.95
"correcao_colete",-0.123927873842495,0.00938743313676983,-13.2014654098658,0.000000000000000000000000000000000043991191257997,-0.142364407448296,-0.105491340236694,"linear","HC3","t",595,0.95
"sexomasculino",-0.612243441955467,0.67478757140939,-0.907312860959649,0.364608682007843,-1.93749855225146,0.713011668340521,"linear","HC3","t",595,0.95
"lenke2",0.245509641487174,1.12106796391081,0.218996215564596,0.826728094948388,-1.9562218531502,2.44724113612454,"linear","HC3","t",595,0.95
"lenke3",3.74935615317449,0.829963434058993,4.51749558994184,0.00000754916509103579,2.11934201398671,5.37937029236227,"linear","HC3","t",595,0.95
"lenke4",4.18611908574738,0.943646284882013,4.4361103867121,0.0000109137384498277,2.33283649084168,6.03940168065309,"linear","HC3","t",595,0.95
"lenke5",1.13048428564448,1.04303554689155,1.08384061215702,0.278874463887189,-0.917994742876003,3.17896331416495,"linear","HC3","t",595,0.95
"lenke6",2.31443434759802,0.816704300189969,2.83387065191119,0.00475480161871309,0.710460603436077,3.91840809175997,"linear","HC3","t",595,0.95
"risser1",-2.56891366122573,0.676285710804644,-3.79856267873712,0.000160491017030576,-3.89711105583995,-1.24071626661151,"linear","HC3","t",595,0.95
"risser2",-1.99342886344444,0.633643729514719,-3.14597741694867,0.00173799017478441,-3.23787915598981,-0.748978570899077,"linear","HC3","t",595,0.95
"risser3",-1.26711049716004,0.558375946671392,-2.26927843993563,0.0236085344617637,-2.36373795170406,-0.170483042616016,"linear","HC3","t",595,0.95
"risser4",-0.913373954489576,0.697848468839661,-1.30884281512902,0.191092880672097,-2.28391972137494,0.457171812395783,"linear","HC3","t",595,0.95
"flexibilidaderigido",0.827868480037586,0.357745049831561,2.31412979837842,0.0210003139839453,0.125271876958284,1.53046508311689,"linear","HC3","t",595,0.95
"escoliometro_maior_10_graustoracica",-0.0525009055703781,0.481990645420235,-0.108925154604617,0.913298578453238,-0.999110761800964,0.894108950660207,"linear","HC3","t",595,0.95
"escoliometro_maior_10_grauslombar",-0.381654502303094,0.477472305431338,-0.799322804614429,0.424422228841743,-1.3193905241389,0.556081519532714,"linear","HC3","t",595,0.95
"escoliometro_maior_10_graustoracica_lombar",2.69904565124078,0.682015329526789,3.95745599019525,0.0000848996174724619,1.35959552048663,4.03849578199493,"linear","HC3","t",595,0.95
