"dimension","singular_value","condition_index","design"
1,40.0356678696491,1,"preditores_centrados_e_padronizados_sem_intercepto"
2,33.0228497356114,1.21236259711636,"preditores_centrados_e_padronizados_sem_intercepto"
3,31.0457264703877,1.28957097872509,"preditores_centrados_e_padronizados_sem_intercepto"
4,29.8213990976599,1.34251474045665,"preditores_centrados_e_padronizados_sem_intercepto"
5,29.294273922579,1.36667213447441,"preditores_centrados_e_padronizados_sem_intercepto"
6,27.7933729028676,1.44047532516352,"preditores_centrados_e_padronizados_sem_intercepto"
7,26.8656241494185,1.49021916062634,"preditores_centrados_e_padronizados_sem_intercepto"
8,26.7781877433026,1.49508503911593,"preditores_centrados_e_padronizados_sem_intercepto"
9,25.4876208829641,1.57078873910938,"preditores_centrados_e_padronizados_sem_intercepto"
10,25.4239194847826,1.57472445952373,"preditores_centrados_e_padronizados_sem_intercepto"
11,23.1792915148368,1.72721706545788,"preditores_centrados_e_padronizados_sem_intercepto"
12,22.7246007130377,1.76177651590946,"preditores_centrados_e_padronizados_sem_intercepto"
13,21.0937685050408,1.89798555246692,"preditores_centrados_e_padronizados_sem_intercepto"
14,18.4370502093291,2.17147902810348,"preditores_centrados_e_padronizados_sem_intercepto"
15,17.2682251870978,2.3184587550759,"preditores_centrados_e_padronizados_sem_intercepto"
16,16.4082511377953,2.43997166629353,"preditores_centrados_e_padronizados_sem_intercepto"
17,13.8583129792886,2.88892796182932,"preditores_centrados_e_padronizados_sem_intercepto"
18,10.3467261917516,3.86940440170975,"preditores_centrados_e_padronizados_sem_intercepto"
19,6.99580191936144,5.72281324301753,"preditores_centrados_e_padronizados_sem_intercepto"
