"variavel","categoria","n","eventos","nao_eventos","celula_problematic"
"sexo","feminino",551,275,276,FALSE
"sexo","masculino",64,42,22,FALSE
"lenke","1",37,27,10,FALSE
"lenke","2",41,29,12,FALSE
"lenke","3",137,49,88,FALSE
"lenke","4",60,21,39,FALSE
"lenke","5",55,36,19,FALSE
"lenke","6",285,155,130,FALSE
"risser","0",132,50,82,FALSE
"risser","1",92,65,27,FALSE
"risser","2",122,75,47,FALSE
"risser","3",127,58,69,FALSE
"risser","4",142,69,73,FALSE
"flexibilidade","flexivel",390,226,164,FALSE
"flexibilidade","rigido",225,91,134,FALSE
"escoliometro_maior_10_graus","normal",146,79,67,FALSE
"escoliometro_maior_10_graus","toracica",222,111,111,FALSE
"escoliometro_maior_10_graus","lombar",201,113,88,FALSE
"escoliometro_maior_10_graus","toracica_lombar",46,14,32,FALSE
