"order","theoretical_quantile","standardized_residual_quantile"
1,-3.15119906702207,-4.4574120640823
2,-2.81497856239491,-4.4574120640823
3,-2.64661933920864,-2.46443527888294
4,-2.53074322872746,-2.46443527888294
5,-2.44130852746013,-2.41099456966977
6,-2.36796601350488,-2.41099456966977
7,-2.30550671017834,-2.24683286917322
8,-2.25092569650279,-2.19504629016889
9,-2.20232617662477,-2.18285967887849
10,-2.15843137002339,-2.18285967887849
11,-2.11833931301367,-2.15733227214636
12,-2.0813883518297,-2.15733227214636
13,-2.04707820550413,-2.14179120652469
14,-2.01502109298799,-2.14179120652469
15,-1.9849101263866,-2.12203583042114
16,-1.95649811688115,-2.12203583042113
17,-1.92958292166868,-2.11158712596017
18,-1.90399704445073,-2.11158712596017
19,-1.87960008542096,-1.99186645484898
20,-1.85627315012545,-1.98653508829362
21,-1.83391463581591,-1.98653508829362
22,-1.81243700609099,-1.90099119830803
23,-1.79176428737852,-1.88854976569029
24,-1.77183010116998,-1.86046604520315
25,-1.75257609968605,-1.85132592172541
26,-1.73395070934527,-1.85132592172541
27,-1.71590811189923,-1.80437945789426
28,-1.69840741109728,-1.73440734836837
29,-1.68141194564332,-1.73440734836836
30,-1.66488871857845,-1.71748720451851
31,-1.64880792011748,-1.71748720451851
32,-1.633142526098,-1.66292871872439
33,-1.61786795806015,-1.66255632168825
34,-1.60296179390798,-1.66255632168825
35,-1.5884035203523,-1.65989916615769
36,-1.57417432007449,-1.65989916615769
37,-1.56025688790784,-1.63309464295946
38,-1.54663527139923,-1.60385268060421
39,-1.53329473195809,-1.59487666707336
40,-1.52022162347218,-1.59487666707336
41,-1.50740328580919,-1.58278637345461
42,-1.49482795105845,-1.58278637345461
43,-1.48248466072035,-1.57970235322644
44,-1.47036319233901,-1.55486159562806
45,-1.45845399431037,-1.53768917557248
46,-1.44674812779233,-1.53768917557248
47,-1.43523721480509,-1.53538365695884
48,-1.42391339174375,-1.52794531436859
49,-1.4127692676372,-1.51722264866691
50,-1.40179788658147,-1.50745941280712
51,-1.39099269385435,-1.50745941280712
52,-1.38034750528526,-1.48582357331535
53,-1.3698564795108,-1.46920286875964
54,-1.3595140927944,-1.46920286875964
55,-1.34931511613001,-1.46795104709459
56,-1.33925459438454,-1.39963894666054
57,-1.32932782726424,-1.36951285606967
58,-1.3195303519163,-1.36951285606967
59,-1.30985792699903,-1.35323705223861
60,-1.30030651807407,-1.27013352577557
61,-1.29087228419032,-1.2566833050714
62,-1.2815515655446,-1.2566833050714
63,-1.27234087211634,-1.25164283922535
64,-1.26323687318533,-1.25164283922535
65,-1.2542363876509,-1.22203887180385
66,-1.24533637508006,-1.20277357001686
67,-1.23653392741923,-1.19638722797047
68,-1.22782626131127,-1.19345393953776
69,-1.21921071096535,-1.19345393953776
70,-1.21068472153224,-1.18834786871851
71,-1.20224584294268,-1.18834786871851
72,-1.19389172417017,-1.17701533607599
