"file","width_px","height_px","sha256","assessment"
"linear_delta_distribution.png",1800,1200,"f142d79b5b023227b4fc1847b9b6a0a2","internal_resampling_or_descriptive"
"linear_delta_distribution.svg",NA,NA,"de2d3d809cac91e989b91ff97fdf9ada","internal_resampling_or_descriptive"
"linear_observed_predicted.png",1800,1200,"e9c19b6e2d7ec8035a4a1b15b3c06975","apparent_full_cohort_n615"
"linear_observed_predicted.svg",NA,NA,"497a9fcee9e0a25e8c11b4a9402ed930","apparent_full_cohort_n615"
"linear_diagnostics.png",1800,1200,"19ec5aa61fa299cdae8524e9382ebdab","apparent_full_cohort_n615"
"linear_diagnostics.svg",NA,NA,"56e1564e510d64942bc1182e389ad683","apparent_full_cohort_n615"
"linear_coefficients_hc3.png",1800,1200,"0663a8ced43724bf72045e4a94aa92c2","internal_resampling_or_descriptive"
"linear_coefficients_hc3.svg",NA,NA,"a207accced9b1ca2347a21f3688d84d0","internal_resampling_or_descriptive"
"logistic_roc_calibration.png",1800,1200,"814b9c7fae8f7f42dda380ab127dbeab","apparent_full_cohort_n615"
"logistic_roc_calibration.svg",NA,NA,"b53b069482c37fb828c35cdbeffdcd43","apparent_full_cohort_n615"
"logistic_coefficients_shrunk.png",1800,1200,"5983003cede2d0f5300510c2706cd482","internal_resampling_or_descriptive"
"logistic_coefficients_shrunk.svg",NA,NA,"198aac6007c1e297960e0381c66c6f6e","internal_resampling_or_descriptive"
"stability_repeated_predictions.png",1800,1200,"fb523dbfdfa6a35fab08f49695e69356","internal_resampling_or_descriptive"
"stability_repeated_predictions.svg",NA,NA,"1b88ed5c22a3a69ef61175f2a6d39c6e","internal_resampling_or_descriptive"
"flexible_selection_stability.png",1800,1200,"c33e6d5f8a7c3e6badb957717229861d","internal_resampling_or_descriptive"
"flexible_selection_stability.svg",NA,NA,"b9a0c3b072285bc630d953eaf5ce6782","internal_resampling_or_descriptive"
"flexible_clinical_relations.png",1800,1200,"961923e14acf557f3e555cd96feee452","internal_resampling_or_descriptive"
"flexible_clinical_relations.svg",NA,NA,"41971ebde5588e71b7d4fb7268dc471d","internal_resampling_or_descriptive"
"sensitivity_comparisons.png",1800,1200,"67028de3884fbe653fe8f0c8f34ad584","internal_resampling_or_descriptive"
"sensitivity_comparisons.svg",NA,NA,"5a90dcf63f3d1286649d6c5a4f3da9fb","internal_resampling_or_descriptive"
"cart_illustrative_tree.png",NA,NA,"05673e961259c76bd75cff93b4d0aaeb","internal_resampling_or_descriptive"
"cart_illustrative_tree.svg",NA,NA,"ca2e04e20871a7129b01b1240a6bd47f","internal_resampling_or_descriptive"
"cart_stability.png",NA,NA,"9f167134474b0b0c23cfbd7784bec21c","internal_resampling_or_descriptive"
"cart_stability.svg",NA,NA,"bbd4df5a368ce608b357404f011dde09","internal_resampling_or_descriptive"
