"family","feature","variable","component","additional","n_models","selection_frequency","mean_coefficient","mean_abs_coefficient","median_coefficient","q025","q975","sign_consistency"
"continuous","cifose_toracica__linear","cifose_toracica","linear",FALSE,50,1,-0.126179846340683,0.126448464282555,-0.128855907408881,-0.16454495922433,-0.0680071607964621,0.98
"logistic","cifose_toracica__linear","cifose_toracica","linear",FALSE,50,1,0.0859858798488253,0.0859858798488253,0.0886023654831243,0.0585546028388509,0.111505807513421,1
"continuous","cifose_toracica__spline_1","cifose_toracica","spline",TRUE,50,1,-1.81198010464649,1.81198010464649,-1.78769472619063,-1.96930716358992,-1.41131498720327,1
"logistic","cifose_toracica__spline_1","cifose_toracica","spline",TRUE,50,1,1.15663579820637,1.15663579820637,1.15373060755663,0.890829767095745,1.32290155063518,1
"continuous","cifose_toracica__spline_2","cifose_toracica","spline",TRUE,50,1,0.545275908538866,0.545275908538866,0.515409884955156,0.0629798921272005,1.42856584354338,1
"logistic","cifose_toracica__spline_2","cifose_toracica","spline",TRUE,50,1,0.183933227231953,0.216433926051765,0.175820333943429,-0.215378411625663,0.529757434808246,0.86
"continuous","cifose_toracica__spline_3","cifose_toracica","spline",TRUE,50,1,0.817830371220024,0.817830371220024,0.815164206680899,0.314911427236185,1.0806054100244,1
"logistic","cifose_toracica__spline_3","cifose_toracica","spline",TRUE,50,1,-0.810318889745168,0.810318889745168,-0.817258767284994,-1.0188584152183,-0.582477724774258,1
"continuous","cobb_inicial_maior__linear","cobb_inicial_maior","linear",TRUE,50,1,-0.29936422723585,0.29936422723585,-0.297064743658844,-0.346233272041553,-0.260375317542015,1
"logistic","cobb_inicial_maior__linear","cobb_inicial_maior","linear",TRUE,50,1,0.169736142833266,0.169736142833266,0.170114210610525,0.13850541165528,0.200564812611267,1
"continuous","cobb_inicial_maior__spline_1","cobb_inicial_maior","spline",TRUE,50,1,0.601729973814199,0.601729973814199,0.621922683831137,0.306600970130465,0.842554607144175,1
"logistic","cobb_inicial_maior__spline_1","cobb_inicial_maior","spline",TRUE,50,1,0.0585667098324254,0.0810396031135295,0.0560342481016236,-0.0648011562650724,0.205578649745022,0.64
"continuous","cobb_inicial_maior__spline_2","cobb_inicial_maior","spline",TRUE,50,1,-1.97153689464735,1.97153689464735,-1.96815270756443,-2.77437649318491,-1.26542310897981,1
"logistic","cobb_inicial_maior__spline_2","cobb_inicial_maior","spline",TRUE,50,1,0.585169174866775,0.585169174866775,0.610643183422046,0.0696875536367327,0.99407304545064,1
"continuous","cobb_inicial_maior__spline_3","cobb_inicial_maior","spline",TRUE,50,1,-1.09280717378246,1.09280717378246,-1.08627789601186,-1.33625115117858,-0.884596711983929,1
"logistic","cobb_inicial_maior__spline_3","cobb_inicial_maior","spline",TRUE,50,1,0.504571827542699,0.504571827542699,0.507527420586902,0.348719752116359,0.628583533503745,1
"continuous","correcao_colete__linear","correcao_colete","linear",FALSE,50,1,-0.704167210638736,0.704167210638736,-0.70075938091191,-0.731346893385716,-0.668174759657019,1
"logistic","correcao_colete__linear","correcao_colete","linear",FALSE,50,1,0.430613639581393,0.430613639581393,0.430840081662915,0.41631841674205,0.447767454638897,1
"continuous","correcao_colete__spline_1","correcao_colete","spline",TRUE,50,1,-3.27095786986264,3.27095786986264,-3.22164423374227,-3.52788948829471,-3.05935136089538,1
"logistic","correcao_colete__spline_1","correcao_colete","spline",TRUE,50,1,1.63437902465066,1.63437902465066,1.62769527065942,1.49822181107154,1.77036353199873,1
"continuous","correcao_colete__spline_2","correcao_colete","spline",TRUE,50,1,-0.400884738058392,0.444442504378468,-0.383876132541911,-0.961381774278309,0.214456373590656,0.92
"logistic","correcao_colete__spline_2","correcao_colete","spline",TRUE,50,1,0.444749843668254,0.445336211393783,0.450755488797529,0.102667599336761,0.711889391715924,0.98
"continuous","correcao_colete__spline_3","correcao_colete","spline",TRUE,50,1,-1.34983531616423,1.34983531616423,-1.36817806544722,-1.70839476196237,-0.934775970025242,1
"logistic","correcao_colete__spline_3","correcao_colete","spline",TRUE,50,1,1.15629146051355,1.15629146051355,1.14983890440024,1.01758715298573,1.3019406325363,1
"continuous","correcao_colete_x_flexibilidade__rigido","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,-0.540713146509865,0.540713146509865,-0.543725133013182,-0.660611215731821,-0.408521619902773,1
"logistic","correcao_colete_x_flexibilidade__rigido","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,0.540263103099934,0.540263103099934,0.53990481293917,0.472672670770674,0.617876838288257,1
"continuous","correcao_colete_x_lenke__2","correcao_colete_x_lenke","interaction",TRUE,50,1,-1.49475716972732,1.49475716972732,-1.43382605582427,-2.00085174341305,-1.25188942937252,1
"logistic","correcao_colete_x_lenke__2","correcao_colete_x_lenke","interaction",TRUE,50,1,0.30477503852457,0.30477503852457,0.295441037961249,0.163764043265299,0.448118329061848,1
"continuous","correcao_colete_x_lenke__3","correcao_colete_x_lenke","interaction",TRUE,50,1,-0.367846490858958,0.367846490858958,-0.370955774932548,-0.476944043474698,-0.285009441066124,1
"logistic","correcao_colete_x_lenke__3","correcao_colete_x_lenke","interaction",TRUE,50,1,0.2789990668319,0.2789990668319,0.275973717976649,0.196209187018628,0.393257001948562,1
"continuous","correcao_colete_x_lenke__4","correcao_colete_x_lenke","interaction",TRUE,50,1,-1.00082216919229,1.00082216919229,-0.993027609283428,-1.27028727773171,-0.756545618633123,1
"logistic","correcao_colete_x_lenke__4","correcao_colete_x_lenke","interaction",TRUE,50,1,0.570845154371735,0.570845154371735,0.572659416236713,0.469749334004778,0.69764858150907,1
"continuous","correcao_colete_x_lenke__5","correcao_colete_x_lenke","interaction",TRUE,50,1,-0.994497597332658,0.994497597332658,-0.980095368425188,-1.30980115880601,-0.742401870587623,1
"logistic","correcao_colete_x_lenke__5","correcao_colete_x_lenke","interaction",TRUE,50,1,0.466348538445388,0.466348538445388,0.47639228658412,0.356627573973939,0.581802874328339,1
"continuous","correcao_colete_x_lenke__6","correcao_colete_x_lenke","interaction",TRUE,50,1,-0.417555321768096,0.417555321768096,-0.420443407473994,-0.503784366384903,-0.277222603236202,1
"logistic","correcao_colete_x_lenke__6","correcao_colete_x_lenke","interaction",TRUE,50,1,0.49104045315337,0.49104045315337,0.485809808887252,0.448025677988473,0.552454301846143,1
"continuous","escoliometro_maior_10_graus__dummy_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,1,-0.3105630115066,0.3105630115066,-0.32573643183209,-0.419552696100681,-0.141073442982739,1
"logistic","escoliometro_maior_10_graus__dummy_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,1,-0.0789065663687029,0.0806206666228232,-0.0757715136695222,-0.185709776803116,0.0028342309957654,0.96
"continuous","escoliometro_maior_10_graus__dummy_toracica","escoliometro_maior_10_graus","dummy",FALSE,50,1,-0.0192039738684495,0.0560798254760171,-0.0111838038075667,-0.150290416123878,0.126949100065678,0.6
