"family","metric","n","mean","sd","median","q025","q975"
"continuous","r2",50,0.375032384888941,0.0840897841663014,0.3982010140377,0.216755980072132,0.505234498163281
"continuous","rmse",50,4.1865046659779,0.378626730680513,4.17102443144518,3.53128336022902,4.98691623617537
"continuous","mae",50,3.33911771726394,0.295378279924089,3.34147596416665,2.79604783842069,4.00663334876186
"continuous","auc",0,,,,,
"continuous","brier_score",0,,,,,
"continuous","log_loss",0,,,,,
"continuous","calibration_intercept",50,0.82222138272331,0.95334390815471,0.770326159569816,-1.00237097793137,2.60618478261984
"continuous","calibration_slope",50,1.17439313069007,0.191823851537684,1.1558999235321,0.771508738224045,1.57406545830138
"logistic","r2",0,,,,,
"logistic","rmse",0,,,,,
"logistic","mae",0,,,,,
"logistic","auc",50,0.851147722005932,0.0419663247550471,0.853112254356693,0.749434643817204,0.914348958333333
"logistic","brier_score",50,0.157741597888417,0.0222571145291249,0.155161894697346,0.123346851271648,0.213898868589226
"logistic","log_loss",50,0.47943953054312,0.0535349047971169,0.474626175011526,0.395397998063244,0.606636343825465
"logistic","calibration_intercept",50,-0.00204185865509973,0.205681468437245,0.0348218463892808,-0.320062526650832,0.384872004675773
"logistic","calibration_slope",50,1.20444052161246,0.292621572207897,1.18778587359932,0.657648733244082,1.76499477699983
