"family","scope","repeat_id","outer_fold","n","r2","rmse","mae","calibration_intercept","calibration_slope","auc","brier_score","log_loss"
"continuous","outer_fold",1,1,62,0.196671738454073,3.85404093235017,3.08572180097745,-1.18656198899557,0.68743206184421,,,
"logistic","outer_fold",1,1,62,,,,0.170376283562843,1.10753059876487,0.8625,0.147744577237437,0.453647963836174
"continuous","outer_fold",2,1,62,0.408661003863803,4.22905757201247,3.17667234810639,0.405735865869344,1.15368727115166,,,
"logistic","outer_fold",2,1,62,,,,0.214823197178479,1.01352568126994,0.857291666666667,0.152098188284949,0.466669814615325
"continuous","outer_fold",3,1,62,0.295767117220546,4.0128551786897,3.08744793041256,-0.0959840598623012,1.09954102707589,,,
"logistic","outer_fold",3,1,62,,,,0.118954592130137,0.912712024982075,0.795833333333333,0.185793149773983,0.550523416449437
"continuous","outer_fold",4,1,62,0.418072866193902,3.61416311605897,3.02429686290632,0.767461887185854,1.09044646716882,,,
"logistic","outer_fold",4,1,62,,,,-0.237454741380831,1.01353761015891,0.829166666666667,0.165848374196249,0.491814653139874
"continuous","outer_fold",5,1,62,0.395546736235381,4.16093778681551,3.25621604114455,0.583221322029252,1.12511277858004,,,
"logistic","outer_fold",5,1,62,,,,0.0783502735745563,1.09038380003807,0.875,0.143000092229407,0.447335705839808
"continuous","outer_fold",1,2,62,0.42449068406645,3.97226590455109,3.17675190833444,1.05506804714137,1.15543417098575,,,
"logistic","outer_fold",1,2,62,,,,0.0274084377269531,0.635169483305685,0.748958333333333,0.213692261522422,0.607527827396382
"continuous","outer_fold",2,2,62,0.421644226118544,4.29200693140243,3.56672625793428,2.18606739189417,1.59674765361259,,,
"logistic","outer_fold",2,2,62,,,,-0.00494543068905178,1.64453968996777,0.883333333333333,0.14525911153172,0.452694499547446
"continuous","outer_fold",3,2,62,0.524028404090558,3.86072424331668,3.08761817401962,2.01613617188712,1.41202985733901,,,
"logistic","outer_fold",3,2,62,,,,0.0482157177435517,1.49207739995331,0.8953125,0.137349330451062,0.423533156454389
"continuous","outer_fold",4,2,62,0.314524788255201,4.81064215878358,3.96713676149696,-0.270338021861555,1.29047431551076,,,
"logistic","outer_fold",4,2,62,,,,0.403252782154499,1.49047037470279,0.905208333333333,0.127780761957057,0.408169718375194
"continuous","outer_fold",5,2,62,0.297339162345719,4.54518067111462,3.5308687045545,0.01647980171384,0.969492653374776,,,
"logistic","outer_fold",5,2,62,,,,0.156750776818667,1.07894217501506,0.844791666666667,0.160737993058706,0.495409195530162
"continuous","outer_fold",1,3,62,0.434605571122264,3.41704392931788,2.77365470791769,2.5785952084963,1.37528465268336,,,
"logistic","outer_fold",1,3,62,,,,-0.282421115081623,1.38405038012461,0.877083333333333,0.151604170264523,0.461444429993828
"continuous","outer_fold",2,3,62,0.42981105986793,3.81455037395784,3.07997366607147,1.0551098719716,1.15602477814684,,,
"logistic","outer_fold",2,3,62,,,,-0.103665591324639,1.14173709844731,0.873958333333333,0.146938614207624,0.448342639610415
"continuous","outer_fold",3,3,62,0.255267449014271,3.79690706676635,3.02410453381459,-1.08064752298095,0.740973776513305,,,
"logistic","outer_fold",3,3,62,,,,-0.151136471259829,1.20213952053668,0.871875,0.148287183497509,0.445415709449178
"continuous","outer_fold",4,3,62,0.433402457270301,3.55251402993681,2.64696997480764,0.847537949032032,1.077397019347,,,
"logistic","outer_fold",4,3,62,,,,0.247910079087254,1.0962431822857,0.848958333333333,0.156658872780247,0.481424078137518
