"family","repeat_id","outer_fold","metric","flexible","frozen","difference_flexible_minus_frozen","absolute_difference"
"continuous",1,1,"r2",0.196671738454073,0.160369351018215,0.0363023874358582,0.0363023874358582
"continuous",1,1,"rmse",3.85404093235017,3.94016075906043,-0.086119826710263,0.086119826710263
"continuous",1,1,"mae",3.08572180097745,3.20216245910109,-0.116440658123637,0.116440658123637
"continuous",1,1,"auc",,,,
"continuous",1,1,"brier_score",,,,
"continuous",1,1,"log_loss",,,,
"continuous",1,1,"calibration_intercept",-1.18656198899557,-1.53763943203222,0.351077443036651,0.351077443036651
"continuous",1,1,"calibration_slope",0.68743206184421,0.609208172472533,0.0782238893716766,0.0782238893716766
"logistic",1,1,"r2",,,,
"logistic",1,1,"rmse",,,,
"logistic",1,1,"mae",,,,
"logistic",1,1,"auc",0.8625,0.865625,-0.00312499999999993,0.00312499999999993
"logistic",1,1,"brier_score",0.147744577237437,0.137381404743794,0.0103631724936427,0.0103631724936427
"logistic",1,1,"log_loss",0.453647963836174,0.435731627962676,0.0179163358734973,0.0179163358734973
"logistic",1,1,"calibration_intercept",0.170376283562843,0.140797269888298,0.0295790136745444,0.0295790136745444
"logistic",1,1,"calibration_slope",1.10753059876487,0.95426864026767,0.153261958497197,0.153261958497197
"continuous",2,1,"r2",0.408661003863803,0.333487901998627,0.0751731018651757,0.0751731018651757
"continuous",2,1,"rmse",4.22905757201247,4.48982440187377,-0.260766829861298,0.260766829861298
"continuous",2,1,"mae",3.17667234810639,3.25903872560805,-0.082366377501657,0.082366377501657
"continuous",2,1,"auc",,,,
"continuous",2,1,"brier_score",,,,
"continuous",2,1,"log_loss",,,,
"continuous",2,1,"calibration_intercept",0.405735865869344,-0.710452046534752,1.1161879124041,1.1161879124041
"continuous",2,1,"calibration_slope",1.15368727115166,0.93755601608076,0.216131255070901,0.216131255070901
"logistic",2,1,"r2",,,,
"logistic",2,1,"rmse",,,,
"logistic",2,1,"mae",,,,
"logistic",2,1,"auc",0.857291666666667,0.84375,0.0135416666666667,0.0135416666666667
"logistic",2,1,"brier_score",0.152098188284949,0.165885108760704,-0.0137869204757543,0.0137869204757543
