"family","metric","reference","n_repeats","mean_flexible","mean_reference","mean_difference_flexible_minus_reference","sd_difference_between_repeats","median_difference","min_difference","max_difference","dependence_note"
"continuous","r2","frozen",5,0.382642594821537,0.35600134274613,0.0266412520754066,0.00323031483866893,0.0278737927025837,0.0221078588826821,0.0304337699515713,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","rmse","frozen",5,4.20215310526557,4.29187265173575,-0.0897195464701806,0.0109645757113893,-0.0936535182912115,-0.103058016227467,-0.074494458788859,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","mae","frozen",5,3.33858231336086,3.41022047271303,-0.0716381593521706,0.0144760708481675,-0.0760433889007057,-0.0856327942615676,-0.0508145676533482,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","auc","frozen",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","brier_score","frozen",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","log_loss","frozen",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","calibration_intercept","frozen",5,0.68916223514753,-0.279984722878165,0.969146958025694,0.104466231104757,1.00518106017087,0.786871956670908,1.04641356562765,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","calibration_slope","frozen",5,1.14576472095648,0.938604628023294,0.207160092933189,0.0230133225473273,0.217787909543239,0.166608562460064,0.222352090421849,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","r2","frozen",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","rmse","frozen",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","mae","frozen",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","auc","frozen",5,0.84967289818559,0.843198611140516,0.00647428704507444,0.00144589658531846,0.00594923041094153,0.00466834628331891,0.00809815171596129,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","brier_score","frozen",5,0.157644463021428,0.161831919851916,-0.00418745683048772,0.000797709860483255,-0.0042101621452528,-0.00503291441551151,-0.00294172462827691,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","log_loss","frozen",5,0.479183581863032,0.494237128263658,-0.0150535464006258,0.00274764020831205,-0.0152495291835734,-0.0191157480856515,-0.011710515580465,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","calibration_intercept","frozen",5,-0.00467998151530843,-0.00706336092151133,0.00238337940620289,0.00530936873347264,0.000522688121217132,-0.00239773072754088,0.0111266211388976,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","calibration_slope","frozen",5,1.11108805128375,0.843967917012359,0.267120134271395,0.0134610424592265,0.260200573873886,0.253354879792808,0.282823423187345,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
