"family","scope","repeat_id","outer_fold","n","r2","rmse","mae","calibration_intercept","calibration_slope","auc","brier_score","log_loss"
"continuous","outer_fold",1,1,62,0.160369351018215,3.94016075906043,3.20216245910109,-1.53763943203222,0.609208172472533,,,
"logistic","outer_fold",1,1,62,,,,0.140797269888298,0.95426864026767,0.865625,0.137381404743794,0.435731627962676
"continuous","outer_fold",2,1,62,0.333487901998627,4.48982440187377,3.25903872560805,-0.710452046534752,0.93755601608076,,,
"logistic","outer_fold",2,1,62,,,,0.467116491947939,0.811063837226284,0.84375,0.165885108760704,0.504397777279034
"continuous","outer_fold",3,1,62,0.185337359904646,4.31602783515043,3.41860066885113,-1.39385031221974,0.731098812241356,,,
"logistic","outer_fold",3,1,62,,,,0.113941058302875,0.62052912353731,0.773958333333333,0.197071987919167,0.598106400829143
"continuous","outer_fold",4,1,62,0.373798347274424,3.74913043694664,3.11163635517915,-0.449542809252995,0.875376538257413,,,
"logistic","outer_fold",4,1,62,,,,-0.248501452607235,0.920067690427907,0.861458333333333,0.1530908417469,0.463270089227846
"continuous","outer_fold",5,1,62,0.2911631612655,4.50591504217865,3.52853285673112,-0.774707420990955,0.808031764679081,,,
"logistic","outer_fold",5,1,62,,,,-0.0333866955636537,0.853596794129852,0.866666666666667,0.145395631874353,0.469111321011252
"continuous","outer_fold",1,2,62,0.418442951556528,3.99308261294282,3.16227492188491,-0.346738805937516,0.873903438111709,,,
"logistic","outer_fold",1,2,62,,,,0.14887223960224,0.559388094467411,0.773958333333333,0.202994990677788,0.60519046148122
"continuous","outer_fold",2,2,62,0.435425735656462,4.24056198262718,3.45123653959545,0.383650530493581,1.20941983083546,,,
"logistic","outer_fold",2,2,62,,,,-0.158322070550578,1.15502924938007,0.88125,0.140161781344505,0.434681079638798
"continuous","outer_fold",3,2,62,0.545121140505157,3.77421069718158,2.98102699563725,1.42554127302255,1.28015109274426,,,
"logistic","outer_fold",3,2,62,,,,-0.166142056899249,1.19683085281307,0.888020833333333,0.13920404992593,0.429848989831822
"continuous","outer_fold",4,2,62,0.247717205498841,5.03961941474428,4.23421527039201,-1.05028474476961,1.12724517541058,,,
"logistic","outer_fold",4,2,62,,,,0.479125432891318,1.24164469413976,0.883333333333333,0.143909142797642,0.438727056776505
"continuous","outer_fold",5,2,62,0.253141042534117,4.68594917285869,3.68610677200268,-0.991120757670178,0.77294030247503,,,
"logistic","outer_fold",5,2,62,,,,0.267499130360548,0.856289248099501,0.848958333333333,0.15975228268463,0.490237868319035
"continuous","outer_fold",1,3,62,0.376456829587036,3.58845961579175,2.92547631249286,0.9797683892254,1.02897185971281,,,
"logistic","outer_fold",1,3,62,,,,-0.234712107268999,1.19097855943414,0.873958333333333,0.144139172923763,0.440165680691481
"continuous","outer_fold",2,3,62,0.375337993366409,3.99260646699542,3.21341777432807,-0.291396524478869,0.866510421564156,,,
"logistic","outer_fold",2,3,62,,,,-0.121875370948401,0.768856383363765,0.847916666666667,0.157365963768551,0.494388206458489
"continuous","outer_fold",3,3,62,0.102340032033107,4.16855684434119,3.48916230305112,-1.91853830903151,0.578552103694238,,,
"logistic","outer_fold",3,3,62,,,,-0.182335380658796,0.772047547138372,0.81875,0.178711265598371,0.515338708044312
"continuous","outer_fold",4,3,62,0.434905004628887,3.54780048665344,2.71826167863807,-0.0285325831480682,0.892282585160994,,,
"logistic","outer_fold",4,3,62,,,,0.403540400863285,0.612933923565429,0.805208333333333,0.189229311220695,0.576725241677313
"continuous","outer_fold",5,3,62,0.374929189727206,4.17349687912894,3.41631348783824,0.529416373396847,1.10504746794262,,,
"logistic","outer_fold",5,3,62,,,,-0.091210270290656,1.10527218411295,0.872916666666667,0.149665429244669,0.455814643756005
"continuous","outer_fold",1,4,62,0.308246403402188,5.03967958761717,3.82570861828321,-0.97207709538981,0.995407840470211,,,
"logistic","outer_fold",1,4,62,,,,0.155545684947466,0.925070064781,0.847916666666667,0.156650019322113,0.472974919981391
"continuous","outer_fold",2,4,62,0.398241308092541,4.05538409911994,3.17860361670913,0.258615439631462,1.05517331852458,,,
"logistic","outer_fold",2,4,62,,,,0.201275931585763,0.986310926946392,0.855208333333333,0.152687999164568,0.466264384934662
"continuous","outer_fold",3,4,62,0.330227113429922,4.60836874693191,3.48632673784077,0.113676207304412,1.04268358178012,,,
"logistic","outer_fold",3,4,62,,,,-0.0394569618919964,0.710551905229126,0.803125,0.183856401382118,0.543616161284085
"continuous","outer_fold",4,4,62,0.424911035533992,4.33025770028315,3.54873700362452,-0.591654756003797,0.837008308220618,,,
"logistic","outer_fold",4,4,62,,,,0.0868993398510907,0.731577647043339,0.829166666666667,0.165288083733118,0.507830002485942
"continuous","outer_fold",5,4,62,0.354638712592582,3.78102668264467,3.08642381203034,0.175000081924717,0.923967233025834,,,
"logistic","outer_fold",5,4,62,,,,-0.541280926082104,0.838894658600462,0.823958333333333,0.174017575012669,0.528456844375399
"continuous","outer_fold",1,5,62,0.482458056871074,4.63027911227923,3.8137250521721,1.60954251848703,1.22431894231833,,,
"logistic","outer_fold",1,5,62,,,,-0.333590471453325,1.29799648484618,0.902083333333333,0.130812140409998,0.398906006413716
"continuous","outer_fold",2,5,62,0.376205419274191,4.5742998143102,3.8301783309826,0.178852875582028,0.91549892070658,,,
"logistic","outer_fold",2,5,62,,,,0.0260996100201629,0.851449786320963,0.85,0.156178880656723,0.468024563518371
"continuous","outer_fold",3,5,62,0.319560028215377,4.44631926513192,3.40436678675741,-0.373288889357426,0.89894773763133,,,
"logistic","outer_fold",3,5,62,,,,0.0922280435562858,0.978055074833955,0.842708333333333,0.160218298291293,0.489501834314465
"continuous","outer_fold",4,5,62,0.428591715351378,4.12760868001135,3.10260835880837,-0.608013888933966,1.00946666925684,,,
"logistic","outer_fold",4,5,62,,,,0.125118827053362,1.19122249338223,0.904166666666667,0.12131685798176,0.393445107206905
"continuous","outer_fold",5,5,62,0.473349120604958,3.98484502007258,3.29917143512152,0.755509865238232,1.16632224730875,,,
"logistic","outer_fold",5,5,62,,,,-0.109174534614076,0.590505702082739,0.80625,0.183321980886075,0.584430071910529
"continuous","outer_fold",1,6,62,0.24867393020304,4.41493752365757,3.40098799453601,-0.234169901049709,0.924723585735182,,,
"logistic","outer_fold",1,6,62,,,,-0.198356182907828,0.962916740844273,0.838541666666667,0.165083789895211,0.494199919887303
"continuous","outer_fold",2,6,62,0.417229419720582,4.03116155926638,3.27173288398232,-0.617475276113303,1.03961746611681,,,
"logistic","outer_fold",2,6,62,,,,0.112777315289844,1.1412035900689,0.894791666666667,0.12631222408754,0.407261064948156
"continuous","outer_fold",3,6,62,0.463161747260681,4.08110191316292,3.39755761990736,1.09472512882553,1.10995708302139,,,
"logistic","outer_fold",3,6,62,,,,-0.29306339976367,0.977007658858309,0.886458333333333,0.141184696226373,0.431037176254263
"continuous","outer_fold",4,6,62,0.480253853797515,3.87195728920941,3.2620127877812,1.05450986366463,1.21978311680913,,,
"logistic","outer_fold",4,6,62,,,,0.061230650969928,1.41731526314808,0.882291666666667,0.141085978615318,0.428542188410242
"continuous","outer_fold",5,6,62,0.468175661523264,4.07390261660371,3.26903651901876,1.13677303750575,1.31089459299774,,,
"logistic","outer_fold",5,6,62,,,,-0.20261335170501,1.34291335684753,0.903125,0.128466818749656,0.396643909852436
"continuous","outer_fold",1,7,62,0.483205585818003,3.87207353391216,3.32597328546945,0.805552852208112,1.1526212746171,,,
"logistic","outer_fold",1,7,62,,,,-0.0837783775534662,0.893362902707811,0.876041666666667,0.145786420786332,0.455951232494059
"continuous","outer_fold",2,7,62,0.332218612895377,4.40166942070018,3.5175441952788,-0.448259716609863,1.00002114171483,,,
"logistic","outer_fold",2,7,62,,,,0.100106925484551,0.847121314115806,0.826041666666667,0.173903615419589,0.530465653812561
"continuous","outer_fold",3,7,62,0.295335597676279,4.15836007129213,3.41485255275935,-0.455399539733521,0.78372018407347,,,
"logistic","outer_fold",3,7,62,,,,-0.224714449679974,0.695765804413316,0.80625,0.183747341869227,0.538936632735454
"continuous","outer_fold",4,7,62,0.385476641833746,3.81541103171754,2.99846068574716,0.870343324966166,1.11089821040205,,,
"logistic","outer_fold",4,7,62,,,,-0.00503587386494721,1.18258354405679,0.88125,0.141162578238102,0.442579534046753
"continuous","outer_fold",5,7,62,0.225513936818227,4.83366677619928,3.62697305675366,-1.53211867064402,0.83827824428893,,,
"logistic","outer_fold",5,7,62,,,,0.136180360826936,1.06343189621974,0.852083333333333,0.160306992475559,0.481686703331988
"continuous","outer_fold",1,8,61,0.220764635433057,4.91283858787766,3.66928585809148,-0.81762469223339,0.963775239369748,,,
"logistic","outer_fold",1,8,61,,,,0.145455025340558,0.649553358936183,0.767741935483871,0.2063810712195,0.595665575257464
"continuous","outer_fold",2,8,61,0.169973146669648,4.74225906530608,3.58185972559279,-0.403324518236039,0.774189418383177,,,
"logistic","outer_fold",2,8,61,,,,-0.347169884461267,0.708091470648065,0.771505376344086,0.204779519582252,0.578960500559146
"continuous","outer_fold",3,8,61,0.381686468789183,4.57296312504607,3.85679578958133,0.16544487730394,1.08357308603932,,,
"logistic","outer_fold",3,8,61,,,,-0.207435596317747,1.42942340210242,0.904301075268817,0.127080613165958,0.397460008359501
"continuous","outer_fold",4,8,61,0.399292283970383,4.46293573496672,3.61532212112279,1.45086881794478,1.04355300390539,,,
"logistic","outer_fold",4,8,61,,,,-0.188951662861778,0.667184081921777,0.801075268817204,0.189586185760572,0.5469362637113
"continuous","outer_fold",5,8,61,0.289714811121719,4.32517828314465,3.58473468793085,0.143037424769603,0.820884031553438,,,
"logistic","outer_fold",5,8,61,,,,-0.166215150539065,0.827085376376302,0.844086021505376,0.160145613831244,0.48270352089687
"continuous","outer_fold",1,9,60,0.140936534696739,4.1242522489543,3.34164329319394,-0.500434085631335,0.705874546658938,,,
"logistic","outer_fold",1,9,60,,,,-0.00955112602464244,0.657714307068198,0.794215795328142,0.186736654896472,0.59088484742206
"continuous","outer_fold",2,9,60,0.321960578389487,4.27779506429803,3.52900181473897,0.0971068854642659,0.914392243708416,,,
"logistic","outer_fold",2,9,60,,,,-0.32423094668986,0.925052129583713,0.825361512791991,0.169228398702997,0.507171653354078
"continuous","outer_fold",3,9,60,0.393458196505605,4.34280001014959,3.15882002730175,-0.377063189256273,1.06464366032064,,,
"logistic","outer_fold",3,9,60,,,,0.471017458179571,1.03722822770355,0.882091212458287,0.141336626983169,0.461039518864451
"continuous","outer_fold",4,9,60,0.0905139716475594,5.48972519571768,4.27044062477097,-1.69709121498889,0.814312540645046,,,
"logistic","outer_fold",4,9,60,,,,-0.185811979903165,0.944860973996779,0.826473859844271,0.178310362174991,0.52815816640688
"continuous","outer_fold",5,9,60,0.311496878670329,4.34556318102378,3.22564878706719,-0.910254877100046,0.850693378950496,,,
"logistic","outer_fold",5,9,60,,,,0.0664924162759014,1.02942592144942,0.862068965517241,0.154308141361837,0.465080923377042
"continuous","outer_fold",1,10,60,0.44456559951886,4.29097845352506,3.47373203077486,-0.999635132836877,1.03983043841753,,,
"logistic","outer_fold",1,10,60,,,,0.311308834281817,0.944391030614675,0.885428253615128,0.136487523964027,0.431826847736868
"continuous","outer_fold",2,10,60,0.41892848683448,3.85207322521909,3.15722671254456,-0.337626645151724,0.920095797626148,,,
"logistic","outer_fold",2,10,60,,,,0.0108252959439791,0.74773979378106,0.825361512791991,0.165864855783152,0.519675092639309
"continuous","outer_fold",3,10,60,0.401568712985256,4.28972750599655,3.41435632412836,-0.114362149764861,1.06469993781164,,,
"logistic","outer_fold",3,10,60,,,,0.365670965840814,0.676387964453776,0.829810901001112,0.172927447668411,0.548093876741157
"continuous","outer_fold",4,10,60,0.20617198196333,4.35928442759437,3.52314036271876,-0.658426228423115,0.744822531986844,,,
"logistic","outer_fold",4,10,60,,,,-0.665308118955122,0.466400203680852,0.75194660734149,0.217508576567945,0.689747690226507
"continuous","outer_fold",5,10,60,0.479427387823939,4.03542663629191,3.27959849388695,-0.324339208309687,0.99425859021542,,,
"logistic","outer_fold",5,10,60,,,,0.631308995734665,0.705767098964654,0.806451612903226,0.189879456972856,0.569980872790346
"continuous","repeat_pooled",1,,615,0.352558245980584,4.30335401621652,3.41372372797718,-0.291317003059072,0.93814215200195,,,
"logistic","repeat_pooled",1,,615,,,,-0.00319633474993794,0.852671612372915,0.844282599030339,0.161169541917199,0.491856475500448
"continuous","repeat_pooled",2,,615,0.361097036171389,4.27488242262032,3.39905005369139,-0.255558131787714,0.944469834517131,,,
"logistic","repeat_pooled",2,,615,,,,-0.00950286387744266,0.857845253357583,0.844541951601634,0.161124994312555,0.490841178195602
"continuous","repeat_pooled",3,,615,0.35910303825317,4.28154811883598,3.40219923815958,-0.235775706996497,0.948024056497043,,,
"logistic","repeat_pooled",3,,615,,,,-0.00898401600276024,0.843749393435689,0.842202485550357,0.162626654369743,0.495396732114578
"continuous","repeat_pooled",4,,615,0.349615117878797,4.31312397717207,3.43521512411129,-0.305697317404196,0.929658182926215,,,
"logistic","repeat_pooled",4,,615,,,,-0.0103396605378568,0.820419943675919,0.839836554950988,0.163787035617317,0.500824154656823
"continuous","repeat_pooled",5,,615,0.357633275446713,4.28645472383385,3.4009142196257,-0.311575455143344,0.932728914174134,,,
"logistic","repeat_pooled",5,,615,,,,-0.00329392943955902,0.845153382219692,0.845129464569263,0.160451373042763,0.492267100850836
"continuous","pooled_external_repeated",,,3075,0.356001342746123,4.29189613928289,3.41022047271303,-0.280210976579138,0.938550170262154,,,
"logistic","pooled_external_repeated",,,3075,,,,-0.0070675412783342,0.843823354247775,0.843118582347088,0.161831919851916,0.494237128263658
