"family","repeat_id","outer_fold","feature","variable","component","interaction","additional","coefficient"
"continuous",,,"idade__linear","idade","linear",FALSE,FALSE,-0.0518875227290749
"continuous",,,"idade__spline_1","idade","spline",FALSE,TRUE,-0.850014138504797
"continuous",,,"idade__spline_2","idade","spline",FALSE,TRUE,-0.922503495424708
"continuous",,,"idade__spline_3","idade","spline",FALSE,TRUE,0.782671916219434
"continuous",,,"imc__linear","imc","linear",FALSE,FALSE,-0.0223481514151613
"continuous",,,"imc__spline_1","imc","spline",FALSE,TRUE,0.506886920392061
"continuous",,,"imc__spline_2","imc","spline",FALSE,TRUE,-0.511395011716443
"continuous",,,"imc__spline_3","imc","spline",FALSE,TRUE,-0.605896730209835
"continuous",,,"cifose_toracica__linear","cifose_toracica","linear",FALSE,FALSE,-0.128723825413514
"continuous",,,"cifose_toracica__spline_1","cifose_toracica","spline",FALSE,TRUE,-1.77924924082258
"continuous",,,"cifose_toracica__spline_2","cifose_toracica","spline",FALSE,TRUE,0.521878205691835
"continuous",,,"cifose_toracica__spline_3","cifose_toracica","spline",FALSE,TRUE,0.82167797364709
"continuous",,,"lordose_lombar__linear","lordose_lombar","linear",FALSE,FALSE,-0.138598557960473
"continuous",,,"lordose_lombar__spline_1","lordose_lombar","spline",FALSE,TRUE,0.113895006187509
"continuous",,,"lordose_lombar__spline_2","lordose_lombar","spline",FALSE,TRUE,-2.67190133320102
"continuous",,,"lordose_lombar__spline_3","lordose_lombar","spline",FALSE,TRUE,-0.065714408796254
"continuous",,,"correcao_colete__linear","correcao_colete","linear",FALSE,FALSE,-0.698677433495913
"continuous",,,"correcao_colete__spline_1","correcao_colete","spline",FALSE,TRUE,-3.2429745245827
"continuous",,,"correcao_colete__spline_2","correcao_colete","spline",FALSE,TRUE,-0.355040234635339
"continuous",,,"correcao_colete__spline_3","correcao_colete","spline",FALSE,TRUE,-1.37031881379168
"continuous",,,"cobb_inicial_maior__linear","cobb_inicial_maior","linear",FALSE,TRUE,-0.298718752226298
"continuous",,,"cobb_inicial_maior__spline_1","cobb_inicial_maior","spline",FALSE,TRUE,0.601176873965024
"continuous",,,"cobb_inicial_maior__spline_2","cobb_inicial_maior","spline",FALSE,TRUE,-1.95730016899897
"continuous",,,"cobb_inicial_maior__spline_3","cobb_inicial_maior","spline",FALSE,TRUE,-1.08453452949507
"continuous",,,"sexo__dummy_masculino","sexo","dummy",FALSE,FALSE,-0.600068777522143
"continuous",,,"lenke__dummy_2","lenke","dummy",FALSE,FALSE,-1.03776665933065
"continuous",,,"lenke__dummy_3","lenke","dummy",FALSE,FALSE,1.12100375690444
"continuous",,,"lenke__dummy_4","lenke","dummy",FALSE,FALSE,1.39553137013689
"continuous",,,"lenke__dummy_5","lenke","dummy",FALSE,FALSE,-0.991421186801316
"continuous",,,"lenke__dummy_6","lenke","dummy",FALSE,FALSE,0.065023786979997
"continuous",,,"risser__dummy_1","risser","dummy",FALSE,FALSE,-0.908176582610897
"continuous",,,"risser__dummy_2","risser","dummy",FALSE,FALSE,-0.596462071705735
"continuous",,,"risser__dummy_3","risser","dummy",FALSE,FALSE,-0.184736486134257
"continuous",,,"risser__dummy_4","risser","dummy",FALSE,FALSE,-0.0114949607392482
"continuous",,,"flexibilidade__dummy_rigido","flexibilidade","dummy",FALSE,FALSE,0.764308047122439
"continuous",,,"escoliometro_maior_10_graus__dummy_toracica","escoliometro_maior_10_graus","dummy",FALSE,FALSE,-0.0200572718393498
"continuous",,,"escoliometro_maior_10_graus__dummy_lombar","escoliometro_maior_10_graus","dummy",FALSE,FALSE,-0.315332284274968
"continuous",,,"escoliometro_maior_10_graus__dummy_toracica_lombar","escoliometro_maior_10_graus","dummy",FALSE,FALSE,2.16072589257717
"continuous",,,"correcao_colete_x_flexibilidade__rigido","correcao_colete_x_flexibilidade","interaction",TRUE,TRUE,-0.547436567501471
"continuous",,,"correcao_colete_x_lenke__2","correcao_colete_x_lenke","interaction",TRUE,TRUE,-1.47046069063216
"continuous",,,"correcao_colete_x_lenke__3","correcao_colete_x_lenke","interaction",TRUE,TRUE,-0.372348169640796
"continuous",,,"correcao_colete_x_lenke__4","correcao_colete_x_lenke","interaction",TRUE,TRUE,-0.993099880860085
"continuous",,,"correcao_colete_x_lenke__5","correcao_colete_x_lenke","interaction",TRUE,TRUE,-0.994679267287674
"continuous",,,"correcao_colete_x_lenke__6","correcao_colete_x_lenke","interaction",TRUE,TRUE,-0.421579543719994
"continuous",,,"idade_x_risser__1","idade_x_risser","interaction",TRUE,TRUE,0.581396218931603
"continuous",,,"idade_x_risser__2","idade_x_risser","interaction",TRUE,TRUE,-0.134516438315715
"continuous",,,"idade_x_risser__3","idade_x_risser","interaction",TRUE,TRUE,-0.00366283231698193
"continuous",,,"idade_x_risser__4","idade_x_risser","interaction",TRUE,TRUE,0.0999045641242018
