"family","repeat_id","outer_fold","feature","variable","component","interaction","additional","coefficient"
"logistic",,,"idade__linear","idade","linear",FALSE,FALSE,0.0323518149493899
"logistic",,,"idade__spline_1","idade","spline",FALSE,TRUE,0.338377293778676
"logistic",,,"idade__spline_2","idade","spline",FALSE,TRUE,0.445426096149684
"logistic",,,"idade__spline_3","idade","spline",FALSE,TRUE,-0.287486001872218
"logistic",,,"imc__linear","imc","linear",FALSE,FALSE,0.0525779695157392
"logistic",,,"imc__spline_1","imc","spline",FALSE,TRUE,-0.262565525396077
"logistic",,,"imc__spline_2","imc","spline",FALSE,TRUE,0.0520270360629141
"logistic",,,"imc__spline_3","imc","spline",FALSE,TRUE,0.856980648439356
"logistic",,,"cifose_toracica__linear","cifose_toracica","linear",FALSE,FALSE,0.085903451844373
"logistic",,,"cifose_toracica__spline_1","cifose_toracica","spline",FALSE,TRUE,1.16147212481555
"logistic",,,"cifose_toracica__spline_2","cifose_toracica","spline",FALSE,TRUE,0.184715708473175
"logistic",,,"cifose_toracica__spline_3","cifose_toracica","spline",FALSE,TRUE,-0.847108657547789
"logistic",,,"lordose_lombar__linear","lordose_lombar","linear",FALSE,FALSE,0.0386573063713172
"logistic",,,"lordose_lombar__spline_1","lordose_lombar","spline",FALSE,TRUE,-0.416628963823756
"logistic",,,"lordose_lombar__spline_2","lordose_lombar","spline",FALSE,TRUE,2.14253123168522
"logistic",,,"lordose_lombar__spline_3","lordose_lombar","spline",FALSE,TRUE,-0.00177445896388673
"logistic",,,"correcao_colete__linear","correcao_colete","linear",FALSE,FALSE,0.42950980597441
"logistic",,,"correcao_colete__spline_1","correcao_colete","spline",FALSE,TRUE,1.62504619706268
"logistic",,,"correcao_colete__spline_2","correcao_colete","spline",FALSE,TRUE,0.441343538402869
"logistic",,,"correcao_colete__spline_3","correcao_colete","spline",FALSE,TRUE,1.16485633085154
"logistic",,,"cobb_inicial_maior__linear","cobb_inicial_maior","linear",FALSE,TRUE,0.170156381112262
"logistic",,,"cobb_inicial_maior__spline_1","cobb_inicial_maior","spline",FALSE,TRUE,0.0550312877862125
"logistic",,,"cobb_inicial_maior__spline_2","cobb_inicial_maior","spline",FALSE,TRUE,0.58812768441066
"logistic",,,"cobb_inicial_maior__spline_3","cobb_inicial_maior","spline",FALSE,TRUE,0.504292705990672
"logistic",,,"sexo__dummy_masculino","sexo","dummy",FALSE,FALSE,0.777967979741233
"logistic",,,"lenke__dummy_2","lenke","dummy",FALSE,FALSE,0.214556241524114
"logistic",,,"lenke__dummy_3","lenke","dummy",FALSE,FALSE,-0.50239425646342
"logistic",,,"lenke__dummy_4","lenke","dummy",FALSE,FALSE,-0.650945136612136
"logistic",,,"lenke__dummy_5","lenke","dummy",FALSE,FALSE,0.422040265840561
"logistic",,,"lenke__dummy_6","lenke","dummy",FALSE,FALSE,-0.219795335707299
"logistic",,,"risser__dummy_1","risser","dummy",FALSE,FALSE,0.935021715439851
"logistic",,,"risser__dummy_2","risser","dummy",FALSE,FALSE,0.278781193971479
"logistic",,,"risser__dummy_3","risser","dummy",FALSE,FALSE,-0.175072649451326
"logistic",,,"risser__dummy_4","risser","dummy",FALSE,FALSE,0.223840688468391
"logistic",,,"flexibilidade__dummy_rigido","flexibilidade","dummy",FALSE,FALSE,-0.377202580481112
"logistic",,,"escoliometro_maior_10_graus__dummy_toracica","escoliometro_maior_10_graus","dummy",FALSE,FALSE,0.0199306361613423
"logistic",,,"escoliometro_maior_10_graus__dummy_lombar","escoliometro_maior_10_graus","dummy",FALSE,FALSE,-0.0789229585380028
"logistic",,,"escoliometro_maior_10_graus__dummy_toracica_lombar","escoliometro_maior_10_graus","dummy",FALSE,FALSE,-0.946671132462957
"logistic",,,"correcao_colete_x_flexibilidade__rigido","correcao_colete_x_flexibilidade","interaction",TRUE,TRUE,0.538665309558947
"logistic",,,"correcao_colete_x_lenke__2","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.30173111763379
"logistic",,,"correcao_colete_x_lenke__3","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.278344483207571
"logistic",,,"correcao_colete_x_lenke__4","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.567066183852139
"logistic",,,"correcao_colete_x_lenke__5","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.465869749357445
"logistic",,,"correcao_colete_x_lenke__6","correcao_colete_x_lenke","interaction",TRUE,TRUE,0.490497114284044
"logistic",,,"idade_x_risser__1","idade_x_risser","interaction",TRUE,TRUE,0.01326050172364
"logistic",,,"idade_x_risser__2","idade_x_risser","interaction",TRUE,TRUE,-0.0488734398233928
"logistic",,,"idade_x_risser__3","idade_x_risser","interaction",TRUE,TRUE,-0.053400569848282
"logistic",,,"idade_x_risser__4","idade_x_risser","interaction",TRUE,TRUE,-0.163643074288186
