"repeat_id","outer_fold","n_train","n_test","outer_disjoint","outer_complete","n_inner_folds","all_inner_disjoint","all_inner_complete_within_outer_train","minimum_test_coverage","maximum_test_coverage"
1,1,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
1,2,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
1,3,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
1,4,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
1,5,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
1,6,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
1,7,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
1,8,554,61,TRUE,TRUE,5,TRUE,TRUE,5,5
1,9,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
1,10,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
2,1,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
2,2,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
2,3,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
2,4,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
2,5,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
2,6,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
2,7,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
2,8,554,61,TRUE,TRUE,5,TRUE,TRUE,5,5
2,9,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
2,10,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
3,1,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
3,2,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
3,3,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
3,4,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
3,5,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
3,6,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
3,7,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
3,8,554,61,TRUE,TRUE,5,TRUE,TRUE,5,5
3,9,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
3,10,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
4,1,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
4,2,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
4,3,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
4,4,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
4,5,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
4,6,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
4,7,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
4,8,554,61,TRUE,TRUE,5,TRUE,TRUE,5,5
4,9,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
4,10,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
5,1,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
5,2,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
5,3,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
5,4,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
5,5,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
5,6,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
5,7,553,62,TRUE,TRUE,5,TRUE,TRUE,5,5
5,8,554,61,TRUE,TRUE,5,TRUE,TRUE,5,5
5,9,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
5,10,555,60,TRUE,TRUE,5,TRUE,TRUE,5,5
