"family","repeat_id","outer_fold","config_id","alpha","lambda_fraction","lambda","lambda_max","best_mean_metric","best_se_metric","one_se_threshold","selected_mean_metric","selected_se_metric","converged","objective","kkt_max","failure_reason","n_features"
"continuous",1,1,11,0,0.01,0.590281774101897,59.0281774101896,4.23818791551634,0.0807921097048381,4.31898002522117,4.23818791551634,0.0807921097048381,TRUE,9.2047108615249,0.00000000965467508501003,,48
"logistic",1,1,11,0,0.01,0.0519377785540155,5.19377785540155,0.484263058507186,0.00731566077603996,0.491578719283226,0.484263058507186,0.00731566077603996,TRUE,0.468614979698223,0.00000000010277742719389,,48
"continuous",1,2,11,0,0.01,0.558444237746931,55.8444237746931,4.12891726925316,0.0762795814054517,4.20519685065861,4.18830141767948,0.112440763069605,TRUE,9.11931144128322,0.00000000922017257334873,,48
"logistic",1,2,11,0,0.01,0.0540778824570695,5.40778824570694,0.449072188470666,0.0167512472699616,0.465823435740627,0.456886918490502,0.014820573312462,TRUE,0.455647182409648,0.0000000000053496686247545,,48
"continuous",1,3,11,0,0.01,0.57303891815,57.303891815,4.23104441559476,0.193711293535934,4.42475570913069,4.27913130665292,0.208595987173009,TRUE,9.38277500513852,0.00000000787630860532573,,48
"logistic",1,3,11,0,0.01,0.0514622576502424,5.14622576502423,0.485730311672239,0.0163039084884244,0.502034220160663,0.485730311672239,0.0163039084884244,TRUE,0.469180609379552,0.00000000000728901574514884,,48
"continuous",1,4,11,0,0.01,0.56519982534842,56.519982534842,3.99278215891638,0.0977894292283033,4.09057158814468,4.05282363031731,0.102749639024181,TRUE,8.63325393368646,0.0000000060114392318178,,48
"logistic",1,4,11,0,0.01,0.0522004243550203,5.22004243550202,0.477656205479655,0.0113544650362471,0.489010670515903,0.477656205479655,0.0113544650362471,TRUE,0.469235561258827,0.00000000013612034763244,,48
"continuous",1,5,11,0,0.01,0.526741098490383,52.6741098490382,4.21669905700388,0.10957697420872,4.3262760312126,4.21669905700388,0.10957697420872,TRUE,8.80613801132677,0.0000000044622510964043,,48
"logistic",1,5,11,0,0.01,0.0513766015717245,5.13766015717245,0.49312556118377,0.0267791183658673,0.519904679549637,0.498066199604161,0.025558094444596,TRUE,0.475877367097456,0.0000000000323959418319086,,48
"continuous",1,6,11,0,0.01,0.56176871470175,56.176871470175,4.10700456834189,0.128519110891012,4.2355236792329,4.18026571028983,0.116299585823812,TRUE,9.04580218719942,0.00000000867850410285476,,48
"logistic",1,6,11,0,0.01,0.0520271154839482,5.20271154839482,0.471877742915699,0.0247601823131383,0.496637925228838,0.475723736659775,0.0169915439151706,TRUE,0.467633978512239,0.000000000122776176378347,,48
"continuous",1,7,11,0,0.01,0.552281300482542,55.2281300482542,4.23478042468752,0.229857343363034,4.46463776805056,4.23478042468752,0.229857343363034,TRUE,9.18940611738775,0.00000000627060897651077,,48
"logistic",1,7,11,0,0.01,0.0519912275719145,5.19912275719144,0.488822249222244,0.0240786107981185,0.512900860020362,0.488822249222244,0.0240786107981185,TRUE,0.472060985227129,0.000000000131073275497218,,48
