"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"componente","cifose_toracica__linear","continuous","cifose_toracica","linear",FALSE,50,1,0.126448464282555,0.128855907408881,50
"componente","cifose_toracica__linear","logistic","cifose_toracica","linear",FALSE,50,1,0.0859858798488253,0.0886023654831243,50
"componente","cifose_toracica__spline_1","continuous","cifose_toracica","spline",TRUE,50,1,1.81198010464649,1.78769472619063,50
"componente","cifose_toracica__spline_1","logistic","cifose_toracica","spline",TRUE,50,1,1.15663579820637,1.15373060755663,50
"componente","cifose_toracica__spline_2","continuous","cifose_toracica","spline",TRUE,50,1,0.545275908538866,0.515409884955156,50
"componente","cifose_toracica__spline_2","logistic","cifose_toracica","spline",TRUE,50,1,0.216433926051765,0.194406875659129,50
"componente","cifose_toracica__spline_3","continuous","cifose_toracica","spline",TRUE,50,1,0.817830371220024,0.815164206680899,50
"componente","cifose_toracica__spline_3","logistic","cifose_toracica","spline",TRUE,50,1,0.810318889745168,0.817258767284994,50
"componente","cobb_inicial_maior__linear","continuous","cobb_inicial_maior","linear",TRUE,50,1,0.29936422723585,0.297064743658844,50
"componente","cobb_inicial_maior__linear","logistic","cobb_inicial_maior","linear",TRUE,50,1,0.169736142833266,0.170114210610525,50
"componente","cobb_inicial_maior__spline_1","continuous","cobb_inicial_maior","spline",TRUE,50,1,0.601729973814199,0.621922683831137,50
"componente","cobb_inicial_maior__spline_1","logistic","cobb_inicial_maior","spline",TRUE,50,1,0.0810396031135295,0.0602009604763408,50
"componente","cobb_inicial_maior__spline_2","continuous","cobb_inicial_maior","spline",TRUE,50,1,1.97153689464735,1.96815270756443,50
"componente","cobb_inicial_maior__spline_2","logistic","cobb_inicial_maior","spline",TRUE,50,1,0.585169174866775,0.610643183422046,50
"componente","cobb_inicial_maior__spline_3","continuous","cobb_inicial_maior","spline",TRUE,50,1,1.09280717378246,1.08627789601186,50
"componente","cobb_inicial_maior__spline_3","logistic","cobb_inicial_maior","spline",TRUE,50,1,0.504571827542699,0.507527420586902,50
"componente","correcao_colete__linear","continuous","correcao_colete","linear",FALSE,50,1,0.704167210638736,0.70075938091191,50
"componente","correcao_colete__linear","logistic","correcao_colete","linear",FALSE,50,1,0.430613639581393,0.430840081662915,50
"componente","correcao_colete__spline_1","continuous","correcao_colete","spline",TRUE,50,1,3.27095786986264,3.22164423374227,50
"componente","correcao_colete__spline_1","logistic","correcao_colete","spline",TRUE,50,1,1.63437902465066,1.62769527065942,50
"componente","correcao_colete__spline_2","continuous","correcao_colete","spline",TRUE,50,1,0.444442504378468,0.407365663112934,50
"componente","correcao_colete__spline_2","logistic","correcao_colete","spline",TRUE,50,1,0.445336211393783,0.450755488797529,50
"componente","correcao_colete__spline_3","continuous","correcao_colete","spline",TRUE,50,1,1.34983531616423,1.36817806544722,50
"componente","correcao_colete__spline_3","logistic","correcao_colete","spline",TRUE,50,1,1.15629146051355,1.14983890440024,50
"componente","correcao_colete_x_flexibilidade__rigido","continuous","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,0.540713146509865,0.543725133013182,50
"componente","correcao_colete_x_flexibilidade__rigido","logistic","correcao_colete_x_flexibilidade","interaction",TRUE,50,1,0.540263103099934,0.53990481293917,50
"componente","correcao_colete_x_lenke__2","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,1.49475716972732,1.43382605582427,50
"componente","correcao_colete_x_lenke__2","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.30477503852457,0.295441037961249,50
"componente","correcao_colete_x_lenke__3","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,0.367846490858958,0.370955774932548,50
"componente","correcao_colete_x_lenke__3","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.2789990668319,0.275973717976649,50
"componente","correcao_colete_x_lenke__4","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,1.00082216919229,0.993027609283428,50
"componente","correcao_colete_x_lenke__4","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.570845154371735,0.572659416236713,50
"componente","correcao_colete_x_lenke__5","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,0.994497597332658,0.980095368425188,50
"componente","correcao_colete_x_lenke__5","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.466348538445388,0.47639228658412,50
"componente","correcao_colete_x_lenke__6","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,0.417555321768096,0.420443407473994,50
"componente","correcao_colete_x_lenke__6","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.49104045315337,0.485809808887252,50
"componente","escoliometro_maior_10_graus__dummy_lombar","continuous","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.3105630115066,0.32573643183209,50
"componente","escoliometro_maior_10_graus__dummy_lombar","logistic","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.0806206666228232,0.0757715136695222,50
"componente","escoliometro_maior_10_graus__dummy_toracica","continuous","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.0560798254760171,0.043823504847162,50
"componente","escoliometro_maior_10_graus__dummy_toracica","logistic","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.043899263848835,0.0349266486797054,50
"componente","escoliometro_maior_10_graus__dummy_toracica_lombar","continuous","escoliometro_maior_10_graus","dummy",FALSE,50,1,2.1790137327282,2.16021884220421,50
"componente","escoliometro_maior_10_graus__dummy_toracica_lombar","logistic","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.948993938355805,0.937126407041546,50
"componente","flexibilidade__dummy_rigido","continuous","flexibilidade","dummy",FALSE,50,1,0.7709114542144,0.769301799284912,50
"componente","flexibilidade__dummy_rigido","logistic","flexibilidade","dummy",FALSE,50,1,0.376787694243773,0.380400778209538,50
"componente","idade__linear","continuous","idade","linear",FALSE,50,1,0.0547494170541797,0.0519180537142577,50
