"family","metric","reference","n_repeats","mean_flexible","mean_reference","mean_difference_flexible_minus_reference","sd_difference_between_repeats","median_difference","min_difference","max_difference","dependence_note"
"continuous","r2","previous_solver",5,0.382642594821537,0.382642594821537,0.0000000000000000888178419700125,0.000000000000000327468745536855,0,-0.000000000000000111022302462516,0.000000000000000666133814775094,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","rmse","previous_solver",5,4.20215310526557,4.20215310526557,0,0.00000000000000062803698347351,0,-0.000000000000000888178419700125,0.000000000000000888178419700125,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","mae","previous_solver",5,3.33858231336086,3.33858231336086,0.000000000000000177635683940025,0.000000000000000243237677779525,0,0,0.000000000000000444089209850063,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","auc","previous_solver",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","brier_score","previous_solver",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","log_loss","previous_solver",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","calibration_intercept","previous_solver",5,0.68916223514753,0.689162235147529,0.000000000000000399680288865056,0.00000000000000234412227559275,0.00000000000000122124532708767,-0.00000000000000344169137633799,0.00000000000000233146835171283,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"continuous","calibration_slope","previous_solver",5,1.14576472095648,1.14576472095648,-0.000000000000000133226762955019,0.000000000000000534754222183067,0,-0.000000000000000888178419700125,0.000000000000000444089209850063,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","r2","previous_solver",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","rmse","previous_solver",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","mae","previous_solver",0,,,,,,,,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","auc","previous_solver",5,0.84967289818559,0.849486587767027,0.000186310418563318,0.00124394862239147,0.000878622996633771,-0.00119619757373024,0.00133381322380544,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","brier_score","previous_solver",5,0.157644463021428,0.158765238983328,-0.00112077596189977,0.000785744814037535,-0.00142836254004153,-0.0018124221052743,-0.000255825505831753,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","log_loss","previous_solver",5,0.479183581863032,0.483001018016896,-0.00381743615386396,0.00202005622037188,-0.00493577989571864,-0.00577955304132904,-0.00125196650390763,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","calibration_intercept","previous_solver",5,-0.00467998151530843,-0.00198483781588899,-0.00269514369941944,0.00456944821531626,-0.00144953336529562,-0.0105787485969384,0.00136371687991589,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
"logistic","calibration_slope","previous_solver",5,1.11108805128375,1.23891212255507,-0.127824071271315,0.0245252171012841,-0.131245598616576,-0.152355910425234,-0.0947345355161482,"As 5 repeticoes reutilizam os mesmos participantes; o DP entre repeticoes nao e IC."
