"family","variable","basis","degrees_of_freedom","n_internal_knots","internal_knots","lower_boundary","upper_boundary","learned_on"
"continuous","idade","natural_spline",3,2,"12;14",10,18,"full_cohort_global_illustrative_fit_after_external_evaluation"
"continuous","imc","natural_spline",3,2,"17.67456830;20.11390032",13.2590930940554,34.0650437868909,"full_cohort_global_illustrative_fit_after_external_evaluation"
"continuous","cifose_toracica","natural_spline",3,2,"18;27",0,68,"full_cohort_global_illustrative_fit_after_external_evaluation"
"continuous","lordose_lombar","natural_spline",3,2,"50;60",17,82,"full_cohort_global_illustrative_fit_after_external_evaluation"
"continuous","correcao_colete","natural_spline",3,2,"35.48387097;51.72413793",3.7037037037037,142.424242424242,"full_cohort_global_illustrative_fit_after_external_evaluation"
"continuous","cobb_inicial_maior","natural_spline",3,2,"34;40",25,45,"full_cohort_global_illustrative_fit_after_external_evaluation"
"logistic","idade","natural_spline",3,2,"12;14",10,18,"full_cohort_global_illustrative_fit_after_external_evaluation"
"logistic","imc","natural_spline",3,2,"17.67456830;20.11390032",13.2590930940554,34.0650437868909,"full_cohort_global_illustrative_fit_after_external_evaluation"
"logistic","cifose_toracica","natural_spline",3,2,"18;27",0,68,"full_cohort_global_illustrative_fit_after_external_evaluation"
"logistic","lordose_lombar","natural_spline",3,2,"50;60",17,82,"full_cohort_global_illustrative_fit_after_external_evaluation"
"logistic","correcao_colete","natural_spline",3,2,"35.48387097;51.72413793",3.7037037037037,142.424242424242,"full_cohort_global_illustrative_fit_after_external_evaluation"
"logistic","cobb_inicial_maior","natural_spline",3,2,"34;40",25,45,"full_cohort_global_illustrative_fit_after_external_evaluation"
