"scenario_id","modelo","classe","cenario","medida_desempenho","valor_desempenho","parametros","prevalencia","shrinkage","n_minimo","participantes_disponiveis","margem_n","suficiente","base_do_cenario","aplicabilidade"
"linear_r2_adjusted","linear","referencia_principal","R² ajustado recalculado","R² esperado",0.382840188611358,19,,0.9,312,615,303,TRUE,"aparente da própria coorte; referência","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"linear_r2_035","linear","conservador","R² esperado 0,35","R² esperado",0.35,19,,0.9,350,615,265,TRUE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"linear_r2_030","linear","conservador","R² esperado 0,30","R² esperado",0.3,19,,0.9,422,615,193,TRUE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"linear_r2_025","linear","conservador","R² esperado 0,25","R² esperado",0.25,19,,0.9,524,615,91,TRUE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"linear_r2_020","linear","conservador","R² esperado 0,20","R² esperado",0.2,19,,0.9,676,615,-61,FALSE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"logistic_cs_100","logistic","referencia_otimista","Cox–Snell aparente (100%)","Cox–Snell esperado",0.378556171891982,19,0.515447154471545,0.9,392,615,223,TRUE,"aparente da própria coorte; otimista","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"logistic_cs_080","logistic","conservador","80% do Cox–Snell aparente","Cox–Snell esperado",0.302844937513586,19,0.515447154471545,0.9,464,615,151,TRUE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"logistic_cs_070","logistic","conservador","70% do Cox–Snell aparente","Cox–Snell esperado",0.264989320324388,19,0.515447154471545,0.9,545,615,70,TRUE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"logistic_cs_060","logistic","conservador","60% do Cox–Snell aparente","Cox–Snell esperado",0.227133703135189,19,0.515447154471545,0.9,654,615,-39,FALSE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
"logistic_cs_050","logistic","conservador","50% do Cox–Snell aparente","Cox–Snell esperado",0.189278085945991,19,0.515447154471545,0.9,805,615,-190,FALSE,"premissa conservadora","Somente modelos principais lineares/logísticos de 19 parâmetros; não justifica complexidade flexível exploratória."
