"scenario","model","scope","n","events","nonevents","prevalence","r2","r2_adjusted","rmse","mae","mean_error","auc","brier_score","log_loss"
"principal","linear","fit_subset_aparente",615,,,,0.402943114063757,0.382840188611358,4.13251633220789,3.28303126408354,-0.000000000000000209859230264511,,,
"principal","linear","coorte_completa_615",615,,,,0.402943114063757,0.382840188611358,4.13251633220789,3.28303126408354,-0.000000000000000209859230264511,,,
"principal","logistic","fit_subset_aparente",615,317,298,0.515447154471545,,,,,,0.86741790697182,0.14771746002286,0.45481499881369
"principal","logistic","coorte_completa_615",615,317,298,0.515447154471545,,,,,,0.86741790697182,0.14771746002286,0.45481499881369
"influential_linear","linear","fit_subset_aparente",560,,,,0.504154688865922,0.485755976022357,3.36284661711615,2.73453996161448,0.00000000000000653207646702672,,,
"influential_linear","linear","coorte_completa_615",615,,,,0.387956496276761,0.367348970898874,4.18405966736702,3.24009577083193,-0.127071264365347,,,
"influential_linear","logistic","fit_subset_aparente",560,282,278,0.503571428571429,,,,,,0.884815551813868,0.13566004211605,0.427468270265382
"influential_linear","logistic","coorte_completa_615",615,317,298,0.515447154471545,,,,,,0.863395295661931,0.148946544332654,0.46212003270673
"influential_logistic","linear","fit_subset_aparente",516,,,,0.514464267970861,0.49484666263635,3.8477269967233,2.96584338804897,-0.0000000000000200720684689946,,,
"influential_logistic","linear","coorte_completa_615",615,,,,0.382604100252514,0.361816359520275,4.20231490242348,3.30327158101302,0.0359834139753538,,,
"influential_logistic","logistic","fit_subset_aparente",516,267,249,0.517441860465117,,,,,,0.970970022411744,0.068051277827346,0.220386913968207
"influential_logistic","logistic","coorte_completa_615",615,317,298,0.515447154471545,,,,,,0.864231575381619,0.15313208517033,0.64174793955536
"influential_union","linear","fit_subset_aparente",482,,,,0.607714665763598,0.59069577924575,3.1182479411975,2.5128664994979,-0.0000000000000115030161514067,,,
"influential_union","linear","coorte_completa_615",615,,,,0.369845096614031,0.348627759799689,4.24551503152736,3.28203213119526,-0.0907698238461912,,,
"influential_union","logistic","fit_subset_aparente",482,244,238,0.506224066390041,,,,,,0.975771456123433,0.0603639976259082,0.202752566210648
"influential_union","logistic","coorte_completa_615",615,317,298,0.515447154471545,,,,,,0.863257680011856,0.152269005130084,0.690324907109882
"hypercorrection","linear","fit_subset_aparente",612,,,,0.392214661758759,0.371646630007786,4.13299461203706,3.28757388681241,0.00000000000000426964201104211,,,
"hypercorrection","linear","coorte_completa_615",615,,,,0.402672209231169,0.382560162403936,4.13345375685659,3.28676257789153,0.0152256368684493,,,
"hypercorrection","logistic","fit_subset_aparente",612,314,298,0.513071895424837,,,,,,0.866151199076647,0.148441579852699,0.45704425962778
"hypercorrection","logistic","coorte_completa_615",615,317,298,0.515447154471545,,,,,,0.86741790697182,0.147717474605271,0.454814998829152
