"repeat_id","fold","n_train","n_test","n_influence_excluded_linear","n_influence_excluded_logistic","n_hypercorrection_excluded","maximum_prediction_difference_delta_vs_final_reconverted","maximum_coefficient_difference_after_algebraic_conversion","same_design_matrix","test_used_for_fit","test_used_for_exclusion","comparator_estimated_in_training","n_warnings_primary_linear","n_warnings_primary_logistic","n_warnings_influence_linear","n_warnings_influence_logistic","n_warnings_hypercorrection_linear","n_warnings_hypercorrection_logistic","influence_logistic_warning"
1,1,553,62,48,85,3,0.000000000000092370555648813,0.0000000000000461852778244065,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
1,2,553,62,48,83,3,0.0000000000000959232693276135,0.000000000000012490009027033,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
1,3,553,62,47,85,2,0.000000000000103028696685215,0.0000000000000150990331349021,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
1,4,553,62,50,86,2,0.000000000000100364161426114,0.0000000000000168753899743024,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
1,5,553,62,50,85,3,0.0000000000000976996261670138,0.0000000000000123234755733392,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
1,6,553,62,52,86,3,0.000000000000119904086659517,0.000000000000102140518265514,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
1,7,553,62,49,82,3,0.0000000000000746069872548105,0.0000000000000248689957516035,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
1,8,554,61,50,87,3,0.0000000000000679456491070596,0.00000000000000799360577730113,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
1,9,555,60,50,89,3,0.0000000000000728306304154103,0.0000000000000220934381900406,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
1,10,555,60,47,91,2,0.0000000000000799360577730113,0.0000000000000941469124882133,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,1,553,62,47,87,3,0.0000000000000905941988094128,0.0000000000000381916720471054,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,2,553,62,49,89,3,0.000000000000104805053524615,0.0000000000000861533067109121,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,3,553,62,52,83,3,0.00000000000013944401189292,0.000000000000158539847916472,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,4,553,62,46,89,3,0.000000000000109245945623115,0.000000000000056843418860808,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,5,553,62,50,89,1,0.000000000000103916875104915,0.0000000000000417443857259059,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
2,6,553,62,47,92,3,0.000000000000115463194561016,0.000000000000136779476633819,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
2,7,553,62,54,80,3,0.000000000000122568621918617,0.00000000000013944401189292,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,8,554,61,54,75,3,0.0000000000000310862446895044,0.0000000000000390798504668055,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,9,555,60,47,89,3,0.000000000000056843418860808,0.0000000000000266453525910038,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
2,10,555,60,50,84,2,0.0000000000000390798504668055,0.0000000000000116573417585641,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
3,1,553,62,47,87,3,0.000000000000092370555648813,0.0000000000000879296635503124,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
3,2,553,62,50,86,2,0.00000000000007061018436616,0.000000000000056843418860808,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
3,3,553,62,49,93,3,0.0000000000000959232693276135,0.0000000000000515143483426073,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
3,4,553,62,47,75,3,0.000000000000101252339845814,0.0000000000000932587340685131,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
3,5,553,62,49,86,2,0.000000000000105693231944315,0.0000000000000266453525910038,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
3,6,553,62,52,85,3,0.000000000000124344978758018,0.0000000000000417443857259059,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
3,7,553,62,44,86,3,0.000000000000101252339845814,0.0000000000000142386102908176,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
3,8,554,61,49,86,3,0.000000000000035527136788005,0.0000000000000168753899743024,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
3,9,555,60,55,86,3,0.0000000000000870414851306123,0.000000000000103916875104915,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
3,10,555,60,46,81,2,0.0000000000000767719221528296,0.000000000000111910480882216,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,1,553,62,51,89,2,0.000000000000115463194561016,0.000000000000084821039081362,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,2,553,62,51,84,3,0.000000000000129674049276218,0.0000000000000910382880192628,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,3,553,62,47,84,3,0.000000000000099475983006414,0.000000000000134114941374719,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,4,553,62,47,89,2,0.0000000000000941469124882133,0.0000000000000128785870856518,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,5,553,62,46,87,3,0.000000000000108801856413265,0.0000000000000186517468137026,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,6,553,62,48,88,3,0.0000000000000941469124882133,0.000000000000103028696685215,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
4,7,553,62,48,86,2,0.0000000000000799360577730113,0.0000000000000168753899743024,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,8,554,61,49,85,3,0.0000000000000941469124882133,0.000000000000049737991503207,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
4,9,555,60,50,88,3,0.0000000000000675015598972095,0.0000000000000408562073062058,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
4,10,555,60,51,78,3,0.0000000000000670574706873595,0.00000000000000954791801177635,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,1,553,62,50,88,1,0.0000000000000941469124882133,0.000000000000028421709430404,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,2,553,62,51,82,3,0.0000000000000888178419700125,0.0000000000000754951656745106,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,3,553,62,52,86,3,0.0000000000000830446822419617,0.0000000000000976996261670138,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,4,553,62,49,91,3,0.000000000000108357767203415,0.0000000000000131006316905768,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,5,553,62,53,96,3,0.000000000000108357767203415,0.000000000000105249142734465,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
5,6,553,62,50,82,2,0.000000000000111910480882216,0.0000000000000383026943495679,TRUE,FALSE,FALSE,TRUE,0,0,0,1,0,0,"glm.fit: fitted probabilities numerically 0 or 1 occurred"
5,7,553,62,50,79,3,0.000000000000063948846218409,0.0000000000000435207425653061,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,8,554,61,51,81,3,0.0000000000000319744231092045,0.0000000000000186517468137026,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,9,555,60,54,83,3,0.0000000000000834887714518118,0.000000000000108357767203415,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
5,10,555,60,53,91,3,0.0000000000000603961325396085,0.0000000000000159872115546023,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,
