"scenario","model","metric","unit","evaluation_set","mean_across_repeats","minimum_across_repeats","maximum_across_repeats","n_repeats","n_repeats_available","interval_status"
"primary","linear","r2","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.353324859414382,0.346534217248649,0.35868113852383,5,5,"range_across_repeats_not_confidence_interval"
"primary","linear","rmse","degrees_delta","same_complete_test_folds_615_per_repeat",4.30078373618162,4.28295714939345,4.3233276327997,5,5,"range_across_repeats_not_confidence_interval"
"primary","linear","mae","degrees_delta","same_complete_test_folds_615_per_repeat",3.41348814446142,3.39335155292513,3.4302194409463,5,5,"range_across_repeats_not_confidence_interval"
"primary","linear","mean_error","degrees_delta","same_complete_test_folds_615_per_repeat",-0.00480526945111242,-0.02882507964709,0.0204966031616583,5,5,"range_across_repeats_not_confidence_interval"
"primary","linear","calibration_intercept","degrees_delta","same_complete_test_folds_615_per_repeat",-0.306441906831735,-0.376692568452726,-0.271037681520893,5,5,"range_across_repeats_not_confidence_interval"
"primary","linear","calibration_slope","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.93512765989291,0.924809135188394,0.942922326172937,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","linear","r2","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.33222892753707,0.328714147191478,0.340171130152736,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","linear","rmse","degrees_delta","same_complete_test_folds_615_per_repeat",4.37037307131793,4.34432572214432,4.38187990102159,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","linear","mae","degrees_delta","same_complete_test_folds_615_per_repeat",3.40295759431313,3.37346021473751,3.42358939036876,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","linear","mean_error","degrees_delta","same_complete_test_folds_615_per_repeat",-0.189084597697733,-0.211290848718045,-0.168681787704272,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","linear","calibration_intercept","degrees_delta","same_complete_test_folds_615_per_repeat",-0.590308559262831,-0.633065488625697,-0.548793478042578,5,5,"range_across_repeats_not_confidence_interval"
"influence_excluded_train_only","linear","calibration_slope","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.910168388876054,0.902196852735656,0.916458057154227,5,5,"range_across_repeats_not_confidence_interval"
"hypercorrection_excluded_train_only","linear","r2","proportion_or_slope","same_complete_test_folds_615_per_repeat",0.352767257790962,0.346648384853832,0.357801485433264,5,5,"range_across_repeats_not_confidence_interval"
