"stratum_variable","stratum","n","n_events","n_nonevents","small_stratum","descriptive_eligible","mean_delta_observed","mean_delta_predicted","delta_rmse","delta_mae","delta_mean_error","delta_calibration_intercept","delta_calibration_slope","delta_calibration_status","probability_observed","probability_predicted","probability_auc","probability_brier","probability_log_loss","probability_calibration_intercept","probability_calibration_slope","probability_calibration_status","mean_delta_ci_lower_approx","mean_delta_ci_upper_approx","improvement_prevalence_wilson_lower","improvement_prevalence_wilson_upper","uncertainty_note"
"faixa_previsao_delta","Q1",153,140,13,FALSE,TRUE,-9.15686274509804,-8.9608637785517,4.02915471024601,3.39086600877205,-0.195998966546335,-2.77102094136278,0.71263685751145,"ok",0.915032679738562,0.907255402361338,0.797527472527473,0.065164991794332,0.237381768153381,0.105596498984098,1.26710780791319,"ok",-9.79529720343098,-8.5184282867651,0.860061397145811,0.949673483892182,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"faixa_previsao_delta","Q2",154,103,51,FALSE,TRUE,-5.98701298701299,-5.71684696526643,4.32711034790663,3.44898143354649,-0.270166021746556,-4.41172631183127,0.275551660688594,"ok",0.668831168831169,0.651819806092688,0.55644393679802,0.230211591839733,0.658015488940072,0.0836743496832581,0.277590134422822,"ok",-6.67042986653483,-5.30359610749114,0.591186323711992,0.738258173244105,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"faixa_previsao_delta","Q4",154,21,133,FALSE,TRUE,-0.506493506493507,-0.437152621530695,3.66231482290777,2.79737413093853,-0.0693408849628113,-0.0825742257106241,0.969728328057426,"ok",0.136363636363636,0.134290979253827,0.623881131399928,0.124247150617834,0.40238437450727,0.0193597716433824,0.432394835663973,"ok",-1.08491364530718,0.0719266323201668,0.0909502826445909,0.19947695468074,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"faixa_previsao_delta","Q3",154,53,101,FALSE,TRUE,-3,-3.53423315269371,4.46483655854693,3.49560370869194,0.534233152693712,2.05280687479797,1.42967559198714,"ok",0.344155844155844,0.370966639129368,0.813469082757332,0.170710050851046,0.52006645955884,-0.130827041557631,2.00916500246722,"ok",-3.70516913669497,-2.29483086330503,0.273735116107591,0.422162271317551,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"faixa_previsao_probabilidade","Q4",154,143,11,FALSE,TRUE,-9.27922077922078,-8.79598425400606,4.13107058701292,3.46574814253039,-0.483236525214714,-3.37301880862691,0.67146572800013,"ok",0.928571428571429,0.924051005055881,0.707565162110617,0.064273901083219,0.239223843055649,0.0694902212446472,0.77524650357693,"ok",-9.9316754528176,-8.62676610562396,0.876631929144334,0.959650255436526,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"faixa_previsao_probabilidade","Q3",154,106,48,FALSE,TRUE,-5.92207792207792,-5.53956282039618,4.3025814400539,3.47289606315253,-0.382515101681741,-4.20585633247861,0.309811738803707,"ok",0.688311688311688,0.667941416366813,0.555424528301887,0.215268859280901,0.623339707958878,0.0968232775255843,0.443326924476782,"ok",-6.60162074517066,-5.24253509898519,0.611324728886387,0.756132594641567,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"faixa_previsao_probabilidade","Q1",153,21,132,FALSE,TRUE,-0.888888888888889,-0.680141412434519,3.39297251040096,2.60561027499718,-0.208747476454369,-0.27030925383629,0.909486797515292,"ok",0.137254901960784,0.108324318747517,0.682720057720058,0.114339026512602,0.375554635051546,0.281012291205188,1.11524153620565,"ok",-1.42651792589455,-0.351259851883229,0.0915569370605964,0.200722025181788,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"faixa_previsao_probabilidade","Q2",154,47,107,FALSE,TRUE,-2.50649350649351,-3.57963710675047,4.60265272385654,3.58347173806258,1.07314360025696,1.63822111940858,1.15785888409917,"ok",0.305194805194805,0.358828222487699,0.702127659574468,0.196771310139978,0.580627131501921,-0.249847183888435,2.02839075638673,"ok",-3.23342910765804,-1.77955790532898,0.237941027026986,0.381930707254441,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"sexo","feminino",551,275,276,FALSE,TRUE,-4.57894736842105,-4.57894736842105,4.02555564797329,3.20093196060239,-0.000000000000000219022219195562,-0.00895874095963477,0.998043493353641,"ok",0.499092558983666,0.499092558889467,0.867733860342556,0.146719124094613,0.455103443103984,0.000000000627348950009408,1.01393715446794,"ok",-4.91507028720338,-4.24282444963873,0.457495048125682,0.540702635223134,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"sexo","masculino",64,42,22,FALSE,TRUE,-5.3125,-5.3125,4.95884777542912,3.98985495499152,-0.000000000000000267147415300428,0.07845479518604,1.01476796144678,"ok",0.65625,0.656249999726161,0.842532467532468,0.156312508405113,0.45233167375194,0.00000000194368780548753,0.863454704858056,"ok",-6.52739538058221,-4.09760461941779,0.534036402099182,0.760768579215567,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
