"variavel","incluido_n","excluido_n","media_incluidos","media_excluidos"
"Idade (anos)",615,3,13.1821138211382,16
"IMC (kg/m²)",615,3,19.217268676415,18.4019603769482
"Cifose torácica (graus)",615,3,22.8617886178862,19
"Lordose lombar (graus)",615,3,54.5642276422764,56.3333333333333
"Correção pelo colete (%)",615,3,47.0571292202975,49.9909031838856
"Maior Cobb basal (graus)",615,3,36.6829268292683,30
"Maior Cobb aos 6 meses (graus)",615,3,32.0276422764228,27
"Delta: maior Cobb aos 6 meses − maior Cobb basal (graus)",615,3,-4.65528455284553,-3
"Sexo",615,3,,
"Classificação Lenke",615,3,,
"Risser",615,3,,
"Flexibilidade",615,3,,
"Classe do escoliômetro",615,3,,
"Melhora radiográfica ≥5°",615,3,,
