"scenario","seed","family","alpha","lambda","expected_convergence","converged","objective","kkt_max","intercept_gradient","n_zero","zero_kkt_max","reference_objective","objective_difference","coefficient_max_difference","failure_reason","passed"
"parecer_seed71_ridge",71,"logistic",0,0.08,TRUE,TRUE,0.519361835726638,1.26507476716498e-11,1.26507476716498e-11,0,0,0.519361835726638,0,5.03110902938531e-09,"",TRUE
"correlated_ridge",7,"logistic",0,0.005,TRUE,TRUE,0.628703004241752,1.91930620702108e-11,9.20066492129637e-14,0,0,0.62870300424263,8.77964367873574e-13,1.14132531820466e-05,"",TRUE
"correlated_ridge",7,"logistic",0,0.08,TRUE,TRUE,0.642953844200412,1.38796300841459e-11,-1.45905509896238e-13,0,0,0.642953844200433,2.17603712826531e-14,5.04622077970862e-07,"",TRUE
"correlated_ridge",7,"logistic",0,0.5,TRUE,TRUE,0.666728310022687,5.11402725722476e-12,-1.28657578418117e-13,0,0,0.666728310022689,1.22124532708767e-15,3.16406467693042e-08,"",TRUE
"correlated_elastic_kkt",7,"logistic",0.5,0.02,TRUE,TRUE,0.63914858141462,1.09374315160338e-14,4.73448440945706e-15,2,0,,,,"",TRUE
"correlated_elastic_kkt",7,"logistic",0.5,0.2,TRUE,TRUE,0.682330168964076,1.41553435639707e-15,1.26627103864191e-15,3,0,,,,"",TRUE
"correlated_elastic_kkt",7,"logistic",0.5,0.8,TRUE,TRUE,0.686961576597323,8.51170985545953e-17,8.51170985545953e-17,4,0,,,,"",TRUE
"correlated_elastic_kkt",7,"logistic",1,0.02,TRUE,TRUE,0.644937198061903,4.77742845284013e-15,2.13039462614183e-15,2,0,,,,"",TRUE
"correlated_elastic_kkt",7,"logistic",1,0.2,TRUE,TRUE,0.686961576597323,8.51170985545953e-17,8.51170985545953e-17,4,0,,,,"",TRUE
"correlated_elastic_kkt",7,"logistic",1,0.8,TRUE,TRUE,0.686961576597323,8.51170985545953e-17,8.51170985545953e-17,4,0,,,,"",TRUE
"correlated_ridge",71,"logistic",0,0.005,TRUE,TRUE,0.623554544388321,2.000774838775e-11,4.40007289862857e-13,0,0,0.623554544388456,1.35003119794419e-13,4.64209408657101e-06,"",TRUE
"correlated_ridge",71,"logistic",0,0.08,TRUE,TRUE,0.636027298559504,1.07971704493837e-11,-1.76335489420075e-13,0,0,0.636027298559512,7.88258347483861e-15,2.23056645376474e-07,"",TRUE
"correlated_ridge",71,"logistic",0,0.5,TRUE,TRUE,0.656899201288398,6.58104820638883e-12,-6.94506180959959e-14,0,0,0.656899201288405,7.105427357601e-15,1.30800616351956e-07,"",TRUE
"correlated_elastic_kkt",71,"logistic",0.5,0.02,TRUE,TRUE,0.634074444330057,2.06644857475569e-11,-1.84938484279782e-14,0,0,,,,"",TRUE
"correlated_elastic_kkt",71,"logistic",0.5,0.2,TRUE,TRUE,0.670852120286748,1.25085127441101e-15,1.25085127441101e-15,3,0,,,,"",TRUE
"correlated_elastic_kkt",71,"logistic",0.5,0.8,TRUE,TRUE,0.673011667009256,1.46796155478215e-16,-1.46796155478215e-16,4,0,,,,"",TRUE
"correlated_elastic_kkt",71,"logistic",1,0.02,TRUE,TRUE,0.640367997047738,2.21611999584592e-11,1.51755151654874e-14,0,0,,,,"",TRUE
"correlated_elastic_kkt",71,"logistic",1,0.2,TRUE,TRUE,0.673011667009256,1.46796155478215e-16,-1.46796155478215e-16,4,0,,,,"",TRUE
"correlated_elastic_kkt",71,"logistic",1,0.8,TRUE,TRUE,0.673011667009256,1.46796155478215e-16,-1.46796155478215e-16,4,0,,,,"",TRUE
"correlated_ridge",193,"logistic",0,0.005,TRUE,TRUE,0.636095919126633,2.05886143095184e-11,-2.65731880944031e-14,0,0,0.63609591912811,1.47681866735638e-12,1.46524587689434e-05,"",TRUE
"correlated_ridge",193,"logistic",0,0.08,TRUE,TRUE,0.641612637192604,1.61311745211501e-11,2.24179933875727e-13,0,0,0.641612637192608,3.99680288865056e-15,8.89531711900649e-08,"",TRUE
"correlated_ridge",193,"logistic",0,0.5,TRUE,TRUE,0.651774133901176,2.25407886800255e-12,-6.7970320729829e-14,0,0,0.651774133901177,3.33066907387547e-16,2.66366519900002e-08,"",TRUE
"correlated_elastic_kkt",193,"logistic",0.5,0.02,TRUE,TRUE,0.642542410397325,2.05672388842171e-11,-4.53285557237374e-14,1,0,,,,"",TRUE
"correlated_elastic_kkt",193,"logistic",0.5,0.2,TRUE,TRUE,0.660127800814159,1.97372982155583e-17,1.97372982155583e-17,4,0,,,,"",TRUE
"correlated_elastic_kkt",193,"logistic",0.5,0.8,TRUE,TRUE,0.660127800814159,1.97372982155583e-17,1.97372982155583e-17,4,0,,,,"",TRUE
"correlated_elastic_kkt",193,"logistic",1,0.02,TRUE,TRUE,0.646926974642209,2.20354463842387e-11,4.02085772085078e-15,1,0,,,,"",TRUE
"correlated_elastic_kkt",193,"logistic",1,0.2,TRUE,TRUE,0.660127800814159,1.97372982155583e-17,1.97372982155583e-17,4,0,,,,"",TRUE
"correlated_elastic_kkt",193,"logistic",1,0.8,TRUE,TRUE,0.660127800814159,1.97372982155583e-17,1.97372982155583e-17,4,0,,,,"",TRUE
"gaussian_shared_path",311,"continuous",0.5,0.15,TRUE,TRUE,0.259643619618992,2.39858410910898e-11,1.21014309684142e-16,1,0,,,,"",TRUE
"forced_nonconvergence",991,"logistic",1,1e-05,FALSE,FALSE,0.432488614904291,0.0795166875040916,0.0134261458576318,0,0,,,,"maximum_iterations_or_kkt_not_met",TRUE
